ROW,CFU,STY09,Unstained,DAPI
1,4.00E+08,6.83E+05,1.00E+01,1.35E+04
1,4.00E+08,6.30E+05,0.00E+00,4.97E+04
1,4.00E+08,6.71E+05,1.00E+01,1.13E+05
2,4.00E+07,8.66E+05,4.97E+05,2.14E+05
2,4.00E+07,8.49E+05,4.10E+05,2.04E+05
2,4.00E+07,8.24E+05,3.79E+05,2.07E+05
3,4.00E+06,3.67E+05,1.19E+05,1.60E+05
3,4.00E+06,3.92E+05,8.13E+04,1.58E+05
3,4.00E+06,3.81E+05,5.70E+04,1.55E+05
4,4.00E+05,8.80E+04,1.04E+04,1.42E+05
4,4.00E+05,9.18E+04,6.30E+03,1.44E+05
4,4.00E+05,9.37E+04,3.81E+03,1.43E+05
5,4.00E+04,1.28E+04,1.61E+03,1.14E+05
5,4.00E+04,1.23E+04,9.10E+02,1.19E+05
5,4.00E+04,1.39E+04,8.50E+02,1.06E+05
6,4.00E+03,2.62E+03,6.00E+02,8.99E+04
6,4.00E+03,2.63E+03,4.60E+02,9.20E+04
6,4.00E+03,2.35E+03,4.30E+02,9.00E+04
7,4.00E+02,1.18E+03,7.60E+02,8.94E+04
7,4.00E+02,1.33E+03,6.70E+02,8.52E+04
7,4.00E+02,2.35E+03,2.50E+02,8.24E+04
8,4.00E+01,1.19E+03,4.50E+02,8.56E+04
8,4.00E+01,1.00E+03,3.70E+02,9.38E+04
8,4.00E+01,9.20E+02,1.50E+02,8.81E+04
9,4.00E+00,2.00E+03,3.50E+02,8.06E+04
9,4.00E+00,1.85E+03,2.00E+02,8.39E+04
9,4.00E+00,1.89E+03,1.10E+02,8.48E+04
10,0.00E+00,6.60E+02,2.40E+02,1.02E+05
10,0.00E+00,9.00E+02,2.20E+02,1.05E+05
10,0.00E+00,1.36E+03,2.30E+02,1.06E+05
