ROW,CFU,STY09,Unstained,DAPI,DS_Dead,DS_Live,DS
1,0.00E+00,5.49E+03,2.77E+02,8.23E+03,1890,16763.33333,1.87E+04
2,4.00E+00,9.86E+03,2.62E+03,9.62E+03,2700,13883.33333,1.66E+04
3,4.00E+01,2.25E+04,1.21E+04,4.09E+03,1100,5043.333333,6.14E+03
4,4.00E+02,1.69E+04,5.98E+03,3.05E+03,520,5683.333333,6.20E+03
5,4.00E+03,2.02E+04,9.64E+03,1.20E+04,4060,6366.666667,1.04E+04
6,4.00E+04,4.40E+04,1.79E+04,1.21E+04,743.3333333,23423.33333,2.42E+04
7,4.00E+05,2.35E+05,1.10E+05,1.04E+05,360,213603.3333,2.14E+05
8,4.00E+06,2.39E+06,8.11E+05,9.95E+05,56.66666667,1891740,1.89E+06
9,4.00E+07,4.94E+06,2.60E+06,3.56E+06,790,5217230,5.22E+06
10,4.00E+08,2.37E+06,8.23E+05,7.56E+05,356.6666667,1010753.333,1.01E+06
