ROW,CFU,STY09_R1,STY09_LIVE,Unstained_R1,DAPI_LD,DS_R1,DS_Live
1,0.00E+00,17570,10760,810,81720,8450,48910
1,0.00E+00,6440,3500,780,38270,13400,49910
1,0.00E+00,5010,2660,1030,25100,10330,53800
2,4.00E+00,21720,11570,4020,14060,9060,42660
2,4.00E+00,14610,9120,2420,82780,14820,57110
2,4.00E+00,17790,10030,1910,10760,7470,45840
3,4.00E+01,17080,11770,11590,22080,2010,26300
3,4.00E+01,62080,44380,28220,23450,3260,29330
3,4.00E+01,23190,14160,5740,14750,5110,39110
4,4.00E+02,17810,12120,7020,17130,2170,23730
4,4.00E+02,39810,31060,4490,16620,4010,33690
4,4.00E+02,20810,10330,3050,13620,5050,42580
5,4.00E+03,27090,17220,17300,43330,4170,21840
5,4.00E+03,33350,20760,7030,19950,5290,29970
5,4.00E+03,31400,25100,5120,62840,6930,41260
6,4.00E+04,61910,44950,35320,29990,22770,35590
6,4.00E+04,82270,63330,24970,30620,24020,39160
6,4.00E+04,42070,28070,11080,44170,19700,33700
7,4.00E+05,260940,239590,234810,216980,216480,199010
7,4.00E+05,250000,236070,154550,209730,203100,125160
7,4.00E+05,250510,233120,95930,210180,204470,138900
8,4.00E+06,2171670,2130120,1716600,1655920,1836550,1249840
8,4.00E+06,2108020,2071670,1272110,1617520,1886980,1964860
8,4.00E+06,2106820,2072980,991150,1687920,1865670,1611130
9,4.00E+07,4791660,4793360,4380410,3843180,4615650,3094640
9,4.00E+07,4952640,4953060,3593410,3927680,4740770,4401210
9,4.00E+07,5087590,5086210,3007130,3782620,4592160,2988160
10,4.00E+08,1442330,2321690,1444930,837860,593670,473190
10,4.00E+08,1588120,2414440,992280,803860,769260,545620
10,4.00E+08,1519200,2356420,618690,888000,663840,679730
