COL,ROW,CONC,CFU,Unstained_R1
1,A,BLANK,0,70000
2,A,LOW,5000,78640
3,A,LOW,5000,68480
4,A,LOW,5000,64080
5,A,LOW,5000,66510
6,A,LOW,5000,70900
7,A,LOW,5000,63910
8,A,LOW,5000,64280
9,A,LOW,5000,55330
10,A,LOW,5000,62550
11,A,LOW,5000,72870
12,A,LOW,5000,59050
1,B,BLANK,0,56140
2,B,LOW,50000,74730
3,B,LOW,50000,80060
4,B,LOW,50000,73770
5,B,LOW,50000,67040
6,B,LOW,50000,80620
7,B,LOW,50000,64000
8,B,LOW,50000,70920
9,B,LOW,50000,62430
10,B,LOW,50000,66420
11,B,LOW,50000,55960
12,B,LOW,50000,50340
1,C,BLANK,0,47010
2,C,LOW,500000,79440
3,C,LOW,500000,84140
4,C,LOW,500000,68130
5,C,LOW,500000,79990
6,C,LOW,500000,66200
7,C,LOW,500000,75080
8,C,LOW,500000,74630
9,C,LOW,500000,70630
10,C,LOW,500000,68910
11,C,LOW,500000,55490
12,C,LOW,500000,60400
1,D,BLANK,0,50460
2,D,LOW,5000000,69280
3,D,LOW,5000000,71990
4,D,LOW,5000000,69760
5,D,LOW,5000000,68420
6,D,LOW,5000000,65160
7,D,LOW,5000000,73930
8,D,LOW,5000000,85600
9,D,LOW,5000000,74340
10,D,LOW,5000000,68660
11,D,LOW,5000000,69720
12,D,LOW,5000000,59670
1,E,BLANK,0,51890
2,E,HIGH,5000,78310
3,E,HIGH,5000,81150
4,E,HIGH,5000,82020
5,E,HIGH,5000,58880
6,E,HIGH,5000,68760
7,E,HIGH,5000,59670
8,E,HIGH,5000,74690
9,E,HIGH,5000,74130
10,E,HIGH,5000,61030
11,E,HIGH,5000,67650
12,E,HIGH,5000,60450
1,F,BLANK,0,86330
2,F,HIGH,50000,83010
3,F,HIGH,50000,69910
4,F,HIGH,50000,63300
5,F,HIGH,50000,71680
6,F,HIGH,50000,58320
7,F,HIGH,50000,57770
8,F,HIGH,50000,56000
9,F,HIGH,50000,74680
10,F,HIGH,50000,73640
11,F,HIGH,50000,52040
12,F,HIGH,50000,59500
1,G,BLANK,0,86610
2,G,HIGH,500000,74290
3,G,HIGH,500000,78070
4,G,HIGH,500000,57260
5,G,HIGH,500000,66280
6,G,HIGH,500000,68520
7,G,HIGH,500000,65260
8,G,HIGH,500000,70060
9,G,HIGH,500000,69660
10,G,HIGH,500000,82190
11,G,HIGH,500000,53520
12,G,HIGH,500000,48250
1,H,BLANK,0,77770
2,H,HIGH,5000000,50280
3,H,HIGH,5000000,78560
4,H,HIGH,5000000,68790
5,H,HIGH,5000000,52260
6,H,HIGH,5000000,82000
7,H,HIGH,5000000,69720
8,H,HIGH,5000000,53180
9,H,HIGH,5000000,61550
10,H,HIGH,5000000,62340
11,H,HIGH,5000000,82030
12,H,HIGH,5000000,62420
