		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00359138559852356	4	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	-1000	1	0
rxn00189_c0	L-Glutamine amidohydrolase	995.885335911248	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0690689568852014	-1	0
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)	0.125480851620976	1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.993721632151	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00359138559852357	1	0
rxn05466_c0	TRANS-RXN-173.ce	4.41812397972862	1	-1
rxn07456_c0	R07641	0.270124592521818	-1	0
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	999.987443264303	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.993721632151	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	-999.987443264303	1	0
EX_cpd00013_e0	Exchange of Ammonium	-4.41812397972862	0	-1
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00359138559875094	-1	0
rxn00340_c0	L-aspartate:ammonia ligase (AMP-forming)	0.104112735584071	-1	0
