		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00415337331378256	4	0
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	995.646486936293	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0798770152828963	-1	0
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)	0.145116364205394	1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.130805077553417	-1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.992739179695	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00415337331381511	1	0
rxn05466_c0	TRANS-RXN-173.ce	4.83526408633299	1	-1
rxn07456_c0	R07641	0.312394267673882	-1	0
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-1000	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.992739179695	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	1000	1	0
rxn38279_c0	Nicotinamidase	-5.04870979341448e-29	1	0
EX_cpd00013_e0	Exchange of Ammonium	-4.83526408633299	0	-1
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00415337331433509	-1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.120404519576214	-1	0
