		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00154496369393607	4	0
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	0.938532913799655	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0297124961489907	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0105613242558053	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0486566172923708	-1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.997299134243	1	0
rxn01715_c0	Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing)	6.7652711231754e-26	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00154496369393607	1	0
rxn05466_c0	TRANS-RXN-173.ce	0.962521556406624	1	-1
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.005401732	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.9973	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.005401732	1	0
EX_cpd00013_e0	Exchange of Ammonium	-0.9625216	0	-1
rxn00114_c0	ATP:carbamate phosphotransferase	0.06124581	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.001544964	-1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.04478784	-1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.08239779	1	0
rxn01640_c0	N-Formimino-L-glutamate iminohydrolase	0.08239779	1	0
