"compounds","names","filtered_full","filtered_1","filtered_2","filtered_3","filtered_4","filtered_5","filtered_6"
"cpd00001","H2O","rxn00001_c0, rxn00137_c0, rxn00141_c0, rxn00790_c0, rxn00832_c0, rxn00834_c0, rxn01000_c0, rxn01537_c0, rxn01640_c0, rxn01642_c0, rxn02200_c0, rxn02213_c0, rxn02264_c0, rxn02331_c0, rxn02374_c0, rxn02404_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05275_c0, rxn05276_c0, rxn09106_c0, rxn09427_c0, rxn10265_c0, rxn10266_c0, rxn15947_c0, rxn00420_c0, rxn02160_c0, rxn02834_c0, rxn02835_c0, rxn01462_c0, rxn00220_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0, rxn01107_c0","rxn00001_c0, rxn00137_c0, rxn00141_c0, rxn00414_c0, rxn00790_c0, rxn00832_c0, rxn00834_c0, rxn01462_c0, rxn01537_c0, rxn01640_c0, rxn01642_c0, rxn02200_c0, rxn02213_c0, rxn02264_c0, rxn02331_c0, rxn02404_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05275_c0, rxn05276_c0, rxn09106_c0, rxn09427_c0, rxn10265_c0, rxn10266_c0, rxn15055_c0, rxn15947_c0, rxn00490_c0, rxn00420_c0, rxn02160_c0, rxn02834_c0, rxn02835_c0, rxn00220_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0, rxn01107_c0","rxn00137_c0, rxn00141_c0, rxn00190_c0, rxn00395_c0, rxn00832_c0, rxn00834_c0, rxn01640_c0, rxn01642_c0, rxn02200_c0, rxn02213_c0, rxn02227_c0, rxn02264_c0, rxn02331_c0, rxn02404_c0, rxn02466_c0, rxn03034_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05144_c0, rxn05275_c0, rxn05276_c0, rxn05557_c0, rxn08291_c0, rxn08797_c0, rxn09106_c0, rxn09427_c0, rxn10265_c0, rxn10266_c0, rxn15055_c0, rxn15147_c0, rxn15947_c0, rxn00490_c0, rxn07441_c0, rxn02160_c0, rxn02834_c0, rxn02835_c0, rxn01462_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0, rxn43573_c0, rxn00220_c0","rxn00001_c0, rxn00137_c0, rxn00141_c0, rxn00790_c0, rxn00832_c0, rxn00834_c0, rxn00912_c0, rxn01000_c0, rxn01792_c0, rxn02160_c0, rxn02200_c0, rxn02213_c0, rxn02264_c0, rxn02331_c0, rxn02374_c0, rxn02404_c0, rxn02834_c0, rxn02835_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05275_c0, rxn05276_c0, rxn08131_c0, rxn09106_c0, rxn09427_c0, rxn10265_c0, rxn10266_c0, rxn15947_c0, rxn27289_c0, rxn01462_c0, rxn00220_c0, rxn01640_c0, rxn01642_c0, rxn00420_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0, rxn01107_c0","rxn00001_c0, rxn00137_c0, rxn00141_c0, rxn00147_c0, rxn00490_c0, rxn00790_c0, rxn00832_c0, rxn00834_c0, rxn00912_c0, rxn01792_c0, rxn02160_c0, rxn02200_c0, rxn02213_c0, rxn02264_c0, rxn02331_c0, rxn02374_c0, rxn02404_c0, rxn02834_c0, rxn02835_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05275_c0, rxn05276_c0, rxn08131_c0, rxn09106_c0, rxn09427_c0, rxn10265_c0, rxn10266_c0, rxn15947_c0, rxn27289_c0, rxn01462_c0, rxn00220_c0, rxn01640_c0, rxn01642_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0","rxn00147_c0, rxn00001_c0, rxn02213_c0, rxn01000_c0, rxn02374_c0, rxn01462_c0, rxn00220_c0, rxn01640_c0, rxn01642_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0","rxn00147_c0, rxn00001_c0, rxn02213_c0, rxn01000_c0, rxn02374_c0, rxn01462_c0, rxn00220_c0, rxn01640_c0, rxn01642_c0, rxn01805_c0, rxn00374_c0, rxn01023_c0"
"cpd00971","Sodium","rxn10857_c0","rxn10857_c0","rxn05313_c0, rxn10537_c0, rxn10857_c0","rxn05313_c0, rxn10857_c0","rxn10857_c0","rxn05313_c0","rxn05313_c0"
"cpd00205","K+","","","","","","",""
"cpd00099","Cl-","","","","","","",""
"cpd10515","Fe2+","rxn12221_c0","rxn10623_c0","rxn02056_c0","rxn12221_c0","rxn10623_c0","",""
"cpd10516","Fe3+","","","rxn05557_c0","","","",""
"cpd00009","Phosphate","rxn00001_c0, rxn00137_c0, rxn00285_c0, rxn00339_c0, rxn00646_c0, rxn00851_c0, rxn02008_c0, rxn02212_c0, rxn02331_c0, rxn02404_c0, rxn02895_c0, rxn03080_c0, rxn03084_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn07456_c0, rxn09106_c0, rxn10003_c0, rxn10265_c0, rxn10266_c0, rxn00420_c0, rxn02160_c0, rxn00220_c0, rxn09120_c0","rxn00001_c0, rxn00137_c0, rxn00339_c0, rxn00414_c0, rxn00646_c0, rxn00851_c0, rxn02008_c0, rxn02212_c0, rxn02331_c0, rxn02404_c0, rxn02895_c0, rxn03080_c0, rxn03084_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn09106_c0, rxn10003_c0, rxn10265_c0, rxn10266_c0, rxn00285_c0, rxn00420_c0, rxn02160_c0, rxn00220_c0","rxn00137_c0, rxn00230_c0, rxn00339_c0, rxn00646_c0, rxn00851_c0, rxn01731_c0, rxn02008_c0, rxn02212_c0, rxn02331_c0, rxn02404_c0, rxn02895_c0, rxn03080_c0, rxn03084_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05144_c0, rxn05557_c0, rxn09106_c0, rxn10003_c0, rxn10265_c0, rxn10266_c0, rxn15112_c0, rxn02160_c0, rxn05035_c0, rxn05313_c0, rxn00220_c0","rxn00001_c0, rxn00137_c0, rxn00339_c0, rxn00646_c0, rxn00851_c0, rxn01731_c0, rxn02008_c0, rxn02160_c0, rxn02212_c0, rxn02331_c0, rxn02404_c0, rxn02895_c0, rxn03080_c0, rxn03084_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn07456_c0, rxn09106_c0, rxn10003_c0, rxn10265_c0, rxn10266_c0, rxn00220_c0, rxn00420_c0, rxn05313_c0","rxn00001_c0, rxn00137_c0, rxn00147_c0, rxn00285_c0, rxn00339_c0, rxn00646_c0, rxn00851_c0, rxn02008_c0, rxn02160_c0, rxn02212_c0, rxn02331_c0, rxn02404_c0, rxn02895_c0, rxn03080_c0, rxn03084_c0, rxn03150_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn09106_c0, rxn10003_c0, rxn10265_c0, rxn10266_c0, rxn00220_c0, rxn05035_c0","rxn00147_c0, rxn00001_c0, rxn00285_c0, rxn02212_c0, rxn05313_c0, rxn00220_c0","rxn00147_c0, rxn00001_c0, rxn00285_c0, rxn02212_c0, rxn05313_c0, rxn00220_c0"
"cpd00149","Cobalt","","","","","","",""
"cpd00254","Mg","","","","","","",""
"cpd00244","Nickel","","","","","","",""
