		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.000330910297565249	4	0
rxn00278_c0	L-Alanine:NAD+ oxidoreductase (deaminating)	0.381745153725741	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0063640142358424	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.00226209260831744	-1	0
rxn00926_c0	Adenine aminohydrolase	1.0097419586829e-27	1	0
rxn00950_c0	Cystathionine L-homocysteine-lyase (deaminating)	0.0366193122595353	1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.999421511137	1	0
rxn01715_c0	Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing)	0.0945123308946373	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.000330910297565249	1	0
rxn05466_c0	TRANS-RXN-173.ce	-0.688771984545772	1	-1
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.0011569777268475	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.999421511137	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.0011569777268475	1	0
EX_cpd00013_e0	Exchange of Ammonium	0.688771984545772	0	-1
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.00959294828342027	-1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.0962298456528043	1	0
rxn01640_c0	N-Formimino-L-glutamate iminohydrolase	0.0962298456528043	1	0
