		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00168403211114469	-1	0
rxn00908_c0	glycine synthase	0.355565594687982	1	0
rxn05466_c0	TRANS-RXN-173.ce	2.20833297985862	1	-1
EX_cpd00013_e0	Exchange of Ammonium	-2.20833297985862	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.0016840321110865	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.126663783467837	-1	0
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	0.803849127599306	-1	0
rxn00268_c0	glycine:NAD+ oxidoreductase (deaminating)	-0.715148981333829	1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.0488193721021523	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0323870378390294	-1	0
rxn00487_c0	L-phenylalanine:NAD+ oxidoreductase (deaminating)	-0.0375205654584227	1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0115119916747433	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0530363957799183	-1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00168403211108605	1	0
rxn02930_c0	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)	-0.0615890258259546	1	0
rxn04953_c0	L-aspartate:NADP+ oxidoreductase (deaminating)	-0.496389517629564	1	0
rxn10484_c0	diaminopimelate dehydrogenase	0.0724423016942562	-1	0
rxn13141_c0	Glucosamine-6-phosphate deaminase	-0.011775926335075	1	0
rxn15112_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.0995006762508013	-1	0
