"compounds","names","filtered_full","filtered_1","filtered_2","filtered_3","filtered_4"
"cpd00001","H2O","","rxn00029_c0, rxn00060_c0, rxn00126_c0, rxn00131_c0, rxn00137_c0, rxn00278_c0, rxn00299_c0, rxn00300_c0, rxn00342_c0, rxn00395_c0, rxn00412_c0, rxn00456_c0, rxn00473_c0, rxn00708_c0, rxn00832_c0, rxn00834_c0, rxn00912_c0, rxn00913_c0, rxn00917_c0, rxn00949_c0, rxn00950_c0, rxn00979_c0, rxn01299_c0, rxn01465_c0, rxn01504_c0, rxn01642_c0, rxn01644_c0, rxn01792_c0, rxn01997_c0, rxn02085_c0, rxn02264_c0, rxn02475_c0, rxn02911_c0, rxn02928_c0, rxn02930_c0, rxn02988_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03146_c0, rxn03150_c0, rxn03168_c0, rxn03173_c0, rxn03240_c0, rxn03241_c0, rxn03245_c0, rxn03247_c0, rxn03250_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05144_c0, rxn05275_c0, rxn05276_c0, rxn05557_c0, rxn05909_c0, rxn07189_c0, rxn08892_c0, rxn08893_c0, rxn08894_c0, rxn08927_c0, rxn08928_c0, rxn09106_c0, rxn09232_c0, rxn09427_c0, rxn10053_c0, rxn10074_c0, rxn10265_c0, rxn10266_c0, rxn11036_c0, rxn11676_c0, rxn12955_c0, rxn13141_c0, rxn15494_c0, rxn15947_c0, rxn33589_c0, rxn90014_c0, rxn90015_c0, rxn90055_c0, rxn90109_c0, rxn01445_c0, rxn00506_c0, rxn00503_c0, rxn38862_c0, rxn33927_c0, rxn00076_c0, rxn01670_c0, rxn09115_c0","rxn00029_c0, rxn00060_c0, rxn00126_c0, rxn00137_c0, rxn00268_c0, rxn00299_c0, rxn00300_c0, rxn00487_c0, rxn00548_c0, rxn00691_c0, rxn00726_c0, rxn00832_c0, rxn00834_c0, rxn00859_c0, rxn00898_c0, rxn00902_c0, rxn00912_c0, rxn00979_c0, rxn01000_c0, rxn01286_c0, rxn01454_c0, rxn01465_c0, rxn01644_c0, rxn01792_c0, rxn01997_c0, rxn02160_c0, rxn02213_c0, rxn02264_c0, rxn02331_c0, rxn02374_c0, rxn02404_c0, rxn02473_c0, rxn02475_c0, rxn02507_c0, rxn02749_c0, rxn02751_c0, rxn02834_c0, rxn02835_c0, rxn02911_c0, rxn02928_c0, rxn02930_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03146_c0, rxn03150_c0, rxn03167_c0, rxn03245_c0, rxn03437_c0, rxn03901_c0, rxn03919_c0, rxn04953_c0, rxn05039_c0, rxn05109_c0, rxn05144_c0, rxn05153_c0, rxn05275_c0, rxn05276_c0, rxn05744_c0, rxn08131_c0, rxn08797_c0, rxn09106_c0, rxn09421_c0, rxn10029_c0, rxn10053_c0, rxn10091_c0, rxn10265_c0, rxn10266_c0, rxn11196_c0, rxn12955_c0, rxn13141_c0, rxn13812_c0, rxn15107_c0, rxn15947_c0, rxn27289_c0, rxn90013_c0, rxn90014_c0, rxn90015_c0, rxn90016_c0, rxn38862_c0, rxn33927_c0, rxn00076_c0, rxn01670_c0, rxn09115_c0","","rxn00029_c0, rxn00060_c0, rxn00126_c0, rxn00137_c0, rxn00182_c0, rxn00196_c0, rxn00299_c0, rxn00300_c0, rxn00487_c0, rxn00548_c0, rxn00726_c0, rxn00804_c0, rxn00832_c0, rxn00834_c0, rxn00859_c0, rxn00898_c0, rxn00901_c0, rxn00902_c0, rxn00912_c0, rxn00937_c0, rxn00953_c0, rxn01000_c0, rxn01024_c0, rxn01187_c0, rxn01286_c0, rxn01465_c0, rxn01573_c0, rxn01644_c0, rxn01792_c0, rxn01997_c0, rxn02160_c0, rxn02213_c0, rxn02264_c0, rxn02374_c0, rxn02473_c0, rxn02475_c0, rxn02507_c0, rxn02622_c0, rxn02834_c0, rxn02835_c0, rxn02911_c0, rxn02928_c0, rxn02930_c0, rxn03080_c0, rxn03084_c0, rxn03130_c0, rxn03146_c0, rxn03150_c0, rxn03168_c0, rxn03173_c0, rxn03240_c0, rxn03241_c0, rxn03245_c0, rxn03247_c0, rxn03250_c0, rxn03437_c0, rxn03840_c0, rxn03901_c0, rxn03919_c0, rxn04953_c0, rxn04996_c0, rxn05039_c0, rxn05144_c0, rxn05275_c0, rxn05276_c0, rxn05293_c0, rxn08756_c0, rxn09106_c0, rxn09222_c0, rxn09231_c0, rxn09232_c0, rxn09233_c0, rxn09234_c0, rxn09427_c0, rxn09519_c0, rxn10053_c0, rxn10265_c0, rxn10266_c0, rxn11196_c0, rxn12955_c0, rxn13141_c0, rxn13812_c0, rxn15947_c0, rxn16048_c0, rxn00504_c0, rxn38862_c0, rxn31363_c0, rxn33927_c0, rxn00076_c0, rxn01670_c0, rxn09115_c0"
"cpd00971","Sodium","","rxn05210_c0, rxn90055_c0","rxn09165_c0","","rxn09165_c0"
"cpd00205","K+","","rxn05596_c0","","",""
"cpd00099","Cl-","","rxn08233_c0","rxn08233_c0","","rxn08233_c0"
"cpd10515","Fe2+","","rxn00224_c0, rxn12221_c0, rxn13702_c0","rxn00224_c0, rxn12221_c0","","rxn00224_c0, rxn10623_c0"
"cpd10516","Fe3+","","rxn05557_c0, rxn13702_c0","","",""
"cpd00009","Phosphate","rxn00173_c0, rxn00781_c0","rxn00126_c0, rxn00137_c0, rxn00173_c0, rxn00230_c0, rxn00252_c0, rxn00285_c0, rxn00351_c0, rxn00412_c0, rxn00461_c0, rxn00646_c0, rxn00708_c0, rxn00774_c0, rxn00781_c0, rxn00838_c0, rxn00913_c0, rxn01018_c0, rxn01366_c0, rxn01603_c0, rxn01643_c0, rxn02008_c0, rxn02011_c0, rxn02286_c0, rxn02895_c0, rxn02937_c0, rxn02988_c0, rxn03080_c0, rxn03084_c0, rxn03147_c0, rxn03150_c0, rxn03164_c0, rxn03168_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05144_c0, rxn05210_c0, rxn05557_c0, rxn09106_c0, rxn10003_c0, rxn10053_c0, rxn10265_c0, rxn10266_c0, rxn11036_c0, rxn11676_c0, rxn15112_c0, rxn15494_c0, rxn33589_c0, rxn39250_c0, rxn90055_c0, rxn01445_c0, rxn00187_c0, rxn33927_c0, rxn01670_c0, rxn09115_c0","rxn00126_c0, rxn00137_c0, rxn00173_c0, rxn00187_c0, rxn00339_c0, rxn00351_c0, rxn00410_c0, rxn00461_c0, rxn00548_c0, rxn00551_c0, rxn00646_c0, rxn00781_c0, rxn00838_c0, rxn01018_c0, rxn01603_c0, rxn01643_c0, rxn02008_c0, rxn02011_c0, rxn02160_c0, rxn02212_c0, rxn02286_c0, rxn02331_c0, rxn02373_c0, rxn02404_c0, rxn02476_c0, rxn02895_c0, rxn02937_c0, rxn03080_c0, rxn03084_c0, rxn03147_c0, rxn03150_c0, rxn03164_c0, rxn03167_c0, rxn03901_c0, rxn03919_c0, rxn05039_c0, rxn05144_c0, rxn05153_c0, rxn09106_c0, rxn09934_c0, rxn10003_c0, rxn10053_c0, rxn10091_c0, rxn10265_c0, rxn10266_c0, rxn11196_c0, rxn13812_c0, rxn15112_c0, rxn20838_c0, rxn39250_c0, rxn33927_c0, rxn01670_c0, rxn09115_c0","rxn00173_c0, rxn00781_c0","rxn00126_c0, rxn00137_c0, rxn00173_c0, rxn00351_c0, rxn00410_c0, rxn00461_c0, rxn00548_c0, rxn00551_c0, rxn00646_c0, rxn00781_c0, rxn00838_c0, rxn01018_c0, rxn01187_c0, rxn01603_c0, rxn01643_c0, rxn02008_c0, rxn02011_c0, rxn02160_c0, rxn02212_c0, rxn02286_c0, rxn02373_c0, rxn02476_c0, rxn02895_c0, rxn02937_c0, rxn03080_c0, rxn03084_c0, rxn03147_c0, rxn03150_c0, rxn03164_c0, rxn03168_c0, rxn03901_c0, rxn03919_c0, rxn04784_c0, rxn05039_c0, rxn05144_c0, rxn09106_c0, rxn09222_c0, rxn09934_c0, rxn10003_c0, rxn10053_c0, rxn10265_c0, rxn10266_c0, rxn11196_c0, rxn13812_c0, rxn15112_c0, rxn39250_c0, rxn33927_c0, rxn01670_c0, rxn09115_c0"
"cpd00149","Cobalt","","rxn08240_c0","","",""
"cpd00254","Mg","","rxn13722_c0","","",""
"cpd00244","Nickel","","","","",""
"cpd00048","Sulfate","","rxn05651_c0","rxn05153_c0","","rxn05651_c0"
"cpd00239","H2S","","rxn00949_c0, rxn05909_c0, rxn05957_c0","rxn05957_c0","","rxn02516_c0, rxn05957_c0"
"cpd00034","Zn2+","","rxn09389_c0","","",""
"cpd00058","Cu2+","","rxn08275_c0","","",""
"cpd00030","Mn2+","","rxn05618_c0","","",""
"cpd00063","Ca2+","","rxn05514_c0","rxn05514_c0","","rxn05514_c0"
"cpd00013","Ammonium","","rxn00060_c0, rxn00114_c0, rxn00278_c0, rxn00342_c0, rxn00347_c0, rxn00395_c0, rxn00456_c0, rxn00473_c0, rxn00774_c0, rxn00867_c0, rxn00949_c0, rxn00950_c0, rxn01654_c0, rxn02475_c0, rxn02930_c0, rxn10484_c0, rxn11676_c0, rxn13141_c0, rxn15112_c0, rxn00187_c0","rxn00060_c0, rxn00114_c0, rxn00187_c0, rxn00268_c0, rxn00339_c0, rxn00410_c0, rxn00487_c0, rxn00726_c0, rxn00916_c0, rxn02475_c0, rxn02930_c0, rxn04953_c0, rxn10484_c0, rxn13141_c0, rxn15112_c0","","rxn00060_c0, rxn00114_c0, rxn00182_c0, rxn00410_c0, rxn00487_c0, rxn00726_c0, rxn00804_c0, rxn00901_c0, rxn00916_c0, rxn01024_c0, rxn01573_c0, rxn02475_c0, rxn02625_c0, rxn02930_c0, rxn03840_c0, rxn04953_c0, rxn09519_c0, rxn10484_c0, rxn13141_c0, rxn15112_c0"
"cpd00027","D-Glucose","","rxn00393_c0, rxn00617_c0","","",""
"cpd00082","D-Fructose","","","rxn00627_c0","",""
"cpd00065","L-Tryptophan","","rxn00473_c0, rxn05663_c0","","",""
"cpd00119","L-Histidine","","rxn00867_c0, rxn05299_c0","rxn00859_c0","","rxn00859_c0"
"cpd00054","L-Serine","","rxn05307_c0, rxn05909_c0, rxn09210_c0, rxn10226_c0, rxn10227_c0","rxn00423_c0, rxn09210_c0, rxn10226_c0, rxn10227_c0","","rxn00953_c0, rxn09210_c0, rxn10226_c0, rxn10227_c0"
"cpd00051","L-Arginine","","rxn00395_c0, rxn05303_c0, rxn00802_c0","rxn00802_c0","","rxn00802_c0"
"cpd00132","L-Asparagine","","rxn00342_c0, rxn05508_c0","rxn00339_c0","","rxn00937_c0"
"cpd00053","L-Glutamine","","rxn00412_c0, rxn00917_c0, rxn03084_c0, rxn05144_c0, rxn09678_c0, rxn11258_c0, rxn00187_c0","rxn00187_c0, rxn03084_c0, rxn03135_c0, rxn05144_c0, rxn11258_c0","","rxn03084_c0, rxn03135_c0, rxn05144_c0"
"cpd00216","Chorismate","","rxn04455_c0, rxn05519_c0, rxn11258_c0","rxn00726_c0, rxn01256_c0, rxn11258_c0","","rxn00726_c0, rxn01256_c0, rxn03840_c0"
"cpd00084","L-Cysteine","","rxn00646_c0, rxn01816_c0, rxn05909_c0, rxn09690_c0, rxn10003_c0","rxn00646_c0, rxn01816_c0, rxn02302_c0, rxn10003_c0, rxn25837_c0","","rxn00646_c0, rxn01816_c0, rxn02302_c0, rxn02516_c0, rxn10003_c0"
"cpd00322","L-Isoleucine","","rxn01575_c0, rxn05244_c0","rxn01575_c0","","rxn01573_c0"
"cpd00107","L-Leucine","","rxn00806_c0, rxn05243_c0","rxn00806_c0","","rxn00804_c0"
"cpd00039","L-Lysine","","rxn08854_c0, rxn00313_c0","rxn00313_c0","","rxn00313_c0"
"cpd00060","L-Methionine","","rxn00126_c0, rxn00456_c0, rxn04704_c0, rxn09672_c0","rxn00126_c0, rxn00693_c0, rxn04704_c0, rxn90017_c0","","rxn00126_c0, rxn00693_c0, rxn04704_c0"
"cpd00066","L-Phenylalanine","","rxn05306_c0","rxn00487_c0","","rxn00487_c0"
"cpd00129","L-Proline","","rxn05638_c0, rxn13741_c0","rxn00929_c0","","rxn00929_c0, rxn13741_c0"
"cpd00161","L-Threonine","","rxn00541_c0, rxn01068_c0, rxn05300_c0","rxn01070_c0","","rxn01070_c0"
"cpd00069","L-Tyrosine","","rxn05301_c0","rxn00527_c0, rxn90017_c0","","rxn00526_c0"
"cpd00156","L-Valine","","rxn00903_c0, rxn05669_c0","rxn00903_c0","","rxn00901_c0"
"cpd00644","Pantothenic acid","","rxn01792_c0, rxn05308_c0, rxn12510_c0","rxn01792_c0, rxn12510_c0, rxn09165_c0","","rxn01792_c0, rxn09165_c0, rxn12510_c0"
"cpd00305","Thiamin","","rxn00440_c0, rxn09657_c0","","","rxn00440_c0"
