		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00113_c0	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	0.0218197369268908	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000550416473219131	-1	0
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	0.270792016101106	-1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.000550416473639629	1	0
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.00814042693774248	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.00814042693774248	1	0
rxn05466_c0	TRANS-RXN-173.ce	0.389630754370068	1	-1
EX_cpd00013_e0	Exchange of Ammonium	-0.389630754370068	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.000550416473639629	4	0
rxn00268_c0	glycine:NAD+ oxidoreductase (deaminating)	-0.000825624710406893	1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.0159563386356279	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0105855221178002	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0173346492311337	-1	0
rxn10484_c0	diaminopimelate dehydrogenase	0.0236773610065934	-1	0
rxn13141_c0	Glucosamine-6-phosphate deaminase	-0.00384889563834397	1	0
rxn15112_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.0322460311061281	-1	0
rxn08291_c0	D-Amino acid dehydrogenase	0.00525375520898451	1	0
