		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00113_c0	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	0.0332009235072445	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000441416005603122	-1	0
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	0.39636692911227	-1	0
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	0.0196361493934254	1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.00301750622431261	-1	0
rxn00908_c0	glycine synthase	0.494573917976433	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.000441416005216067	1	0
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.00231501629021512	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.00231501629021512	1	0
rxn05466_c0	TRANS-RXN-173.ce	0.578844973170911	1	-1
EX_cpd00013_e0	Exchange of Ammonium	-0.578844973170911	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.000441416005216067	4	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.0127964615808813	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.00848924243758181	-1	0
rxn00419_c0	L-serine:NAD+ oxidoreductase (deaminating)	-0.578891692756654	1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0139018215877112	-1	0
rxn10484_c0	diaminopimelate dehydrogenase	0.0189884689324034	-1	0
rxn13141_c0	Glucosamine-6-phosphate deaminase	-0.0030866883869535	1	0
rxn15112_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.0260809700352349	-1	0
