		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	6.75055402760607e-05	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.00266485610421816	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	6.75055388197234e-05	-1	0
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	-1000	1	0
rxn00566_c0	L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)	0.0074142541286929	1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.000481345743196053	-1	0
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	999.952897047156	1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.000876823550679505	-1	0
rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)	0.0657755009641582	1	0
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	1000	1	0
rxn03374_c0	Selenocystathionine Lysteine-lyase (deaminating)	0.00238863301134884	1	0
rxn05466_c0	TRANS-RXN-173.ce	-0.0353323309472921	1	-1
rxn06600_c0	S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)	0.0158994348445607	1	0
rxn09896_c0	isoleucine dehydrogenase	-0.00238863301134884	1	0
EX_cpd00013_e0	Exchange of Ammonium	0.0353323309472921	0	-1
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.00131012901531557	-1	0
rxn00774_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.00159077389477863	-1	0
rxn10506_c0	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	6.75055402453609e-05	1	0
