target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.0104170907887233	rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0	scaffold_8411_3576:2686	OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	UniRef90_A4IRG5	44.408	1.06e-66	223	98	scaffold_8411	3576	2686	|PWY-5188|	good_blast	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	true	83	0	0	0	OHMETHYLBILANESYN-RXN PORPHOBILSYNTH-RXN GSAAMINOTRANS-RXN GLUTRNAREDUCT-RXN GLURS-RXN
rxn00114_c0	ATP:carbamate phosphotransferase	0.411226217498814	rxn00114_Shan	"cpd00002[c0],cpd00011[c0],cpd00013[c0],cpd00008[c0],cpd00067[c0],cpd00146[c0]"	"ATP[c0],CO2[c0],NH3[c0],ADP[c0],H+[c0],Carbamoylphosphate[c0]"	"-1,-1,-1,1,2,1"	"1,1,1,1,1,1"	rxn00114	ATP:carbamate phosphotransferase	TRUE	-1000	1000	rxn00114_c0		rxn00114	Carbamate kinase	2.7.2.2		NA	NA	NA	NA		NA	NA	seed.pwy648	no_seq_data	full	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.2.2;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/kegg.reaction:R00150;http://identifiers.org/bigg.reaction:CBMKr;http://identifiers.org/biocyc:META:CARBAMATE-KINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96482	MNXR96482	rxn00114	R00150	CBMKr	CARBAMATE-KINASE-RXN	seed.pwy648	MLST	true	100	1	0	0	rxn00178 rxn00615 rxn00239 rxn00173 rxn01740 rxn00747
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	rxn00182_Shan	"cpd00001[c0],cpd00003[c0],cpd00023[c0],cpd00004[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NAD[c0],L-Glutamate[c0],NADH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00182_c0		GLUTAMATE-DEHYDROGENASE-RXN	glutamate dehydrogenase (NAD-dependent)	1.4.1.2		NA	NA	NA	NA		NA	NA	|P162-PWY|	no_blast	threshold	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.2;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/kegg.reaction:R00243;http://identifiers.org/bigg.reaction:GDH;http://identifiers.org/bigg.reaction:GDH1;http://identifiers.org/bigg.reaction:GDHm;http://identifiers.org/bigg.reaction:GLUDxi;http://identifiers.org/biocyc:META:GLUTAMATE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR100085	MNXR100085	rxn00182	R00243	GDH;GDH1;GDHm;GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN	|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	true	80	0	0	0	KETOGLUTREDUCT-RXN RXN-1083 RXN-1082 R11-RXN RXN-11667 RXN-11662 ACETYL-COA-ACETYLTRANSFER-RXN RXN-16834
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	rxn00184_Shan	"cpd00001[c0],cpd00006[c0],cpd00023[c0],cpd00005[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NADP[c0],L-Glutamate[c0],NADPH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00184_c0	((scaffold_7043_6419:4977))	rxn00184	NADP-specific glutamate dehydrogenase	1.4.1.4		NA	NA	NA	NA		NA	NA	seed.pwy57	no_blast	threshold	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.4;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/kegg.reaction:R00248;http://identifiers.org/bigg.reaction:GDH_nadp;http://identifiers.org/bigg.reaction:GLUDy;http://identifiers.org/bigg.reaction:GLUDyi;http://identifiers.org/bigg.reaction:GLUDym;http://identifiers.org/biocyc:META:GLUTDEHYD-RXN;http://identifiers.org/metanetx.reaction:MNXR100086	MNXR100086	rxn00184	R00248	GDH_nadp;GLUDy;GLUDyi;GLUDym	GLUTDEHYD-RXN	seed.pwy57	Proline Synthesis	true	83	0	0	0	rxn02373 rxn00179 rxn00931 rxn00929 rxn00929
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0798484342644461	rxn00410_Shan	"cpd00002[c0],cpd00013[c0],cpd00062[c0],cpd00008[c0],cpd00009[c0],cpd00052[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],UTP[c0],ADP[c0],Phosphate[c0],CTP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00410	UTP:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00410_c0	scaffold_1270_18851:20434	CTPSYN-RXN	CTP synthetase	6.3.4.2	UniRef90_A3DGR3	60.491	0	654	98	scaffold_1270	18851	20434	|PWY-7176|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.4.2;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/kegg.reaction:R00571;http://identifiers.org/bigg.reaction:CTPS1;http://identifiers.org/biocyc:META:RXN-14325;http://identifiers.org/metanetx.reaction:MNXR96944	MNXR96944	rxn00410	R00571	CTPS1	RXN-14325	|PWY-7176|	UTP and CTP de novo biosynthesis	true	100	0	0	0	RXN-12002 UDPKIN-RXN CTPSYN-RXN
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0742786783041502	rxn00726_Shan	"cpd00013[c0],cpd00216[c0],cpd00001[c0],cpd00020[c0],cpd00067[c0],cpd00093[c0]"	"NH3[c0],Chorismate[c0],H2O[c0],Pyruvate[c0],H+[c0],Anthranilate[c0]"	"-1,-1,1,1,1,1"	"1,1,1,1,1,1"	rxn00726	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	FALSE	0	1000	rxn00726_c0	((scaffold_1460_64955:63504) & (scaffold_29765_742:1332))	R00985	chorismate pyruvate-lyase (amino-accepting	4.1.3.27	UniRef90_O66849	42.715	1.2e-107	348	99	scaffold_1460	64943	63444	map00400	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.3.27;http://identifiers.org/seed.reaction:rxn00726;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00726;http://identifiers.org/kegg.reaction:R00985;http://identifiers.org/bigg.reaction:ANS2;http://identifiers.org/bigg.reaction:ATNS_nh4;http://identifiers.org/metanetx.reaction:MNXR95844	MNXR95844	rxn00726	R00985	ANS2;ATNS_nh4	NA	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	false	76	10	0	0	R02413 R01872 R01728 R00733 R08568 R01073 R03460 R01826 R00694 R07276 R00694 R02412 R03508 R00985 R03084 R02722 R00691 R03083 R01714 R03509 R01715 R00674
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	999.526403615023	rxn00804_Shan	"cpd00001[c0],cpd00003[c0],cpd00107[c0],cpd00004[c0],cpd00013[c0],cpd00067[c0],cpd00200[c0]"	"H2O[c0],NAD[c0],L-Leucine[c0],NADH[c0],NH3[c0],H+[c0],4MOP[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00804	L-leucine:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00804_c0		R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	1.4.1.9		NA	NA	NA	NA		NA	NA	map00280	no_seq_data	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.9;http://identifiers.org/seed.reaction:rxn00804;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00804;http://identifiers.org/kegg.reaction:R01088;http://identifiers.org/bigg.reaction:LLEUDr;http://identifiers.org/biocyc:META:LEUCINE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR101096	MNXR101096	rxn00804	R01088	LLEUDr	LEUCINE-DEHYDROGENASE-RXN	map00280	Valine, leucine and isoleucine degradation	true	86	8	0	0	R04203 R02047 R05066 R00705 R00264 R01702 R02661 R04095 R02661 R00209 R00391 R03174 R00927 R04187 R04188 R01214 R01214 R03158 R08090 R03224 R02085 R01357 R08924 R04138
rxn00949_c0	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	0.368600960005503	rxn00949_Shan	"cpd00001[c0],cpd00135[c0],cpd00013[c0],cpd00067[c0],cpd00094[c0],cpd00239[c0]"	"H2O[c0],Homocysteine[c0],NH3[c0],H+[c0],2-Oxobutyrate[c0],H2S[c0]"	"-1,-1,1,1,1,1"	"1,1,1,1,1,1"	rxn00949	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	FALSE	0	1000	rxn00949_c0	scaffold_1493_28734:29996 | scaffold_1756_44702:43437 | scaffold_3300_3876:4991 | scaffold_527_2941:1802	HOMOCYSTEINE-DESULFHYDRASE-RXN	homocysteine desulfhydrase	4.4.1.2	UniRef90_O05394	50.802	8.97e-119	375	98	scaffold_3300	3879	4991	|PWY66-426|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.4.1.2;http://identifiers.org/seed.reaction:rxn00949;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00949;http://identifiers.org/kegg.reaction:R01283;http://identifiers.org/biocyc:META:HOMOCYSTEINE-DESULFHYDRASE-RXN;http://identifiers.org/metanetx.reaction:MNXR106902	MNXR106902	rxn00949	R01283	NA	HOMOCYSTEINE-DESULFHYDRASE-RXN	|PWY66-426|	hydrogen sulfide biosynthesis II (mammalian)	true	100	1	0	0	RXN66-562 RXN66-534 RXN-19038 LCYSDESULF-RXN HOMOCYSTEINE-DESULFHYDRASE-RXN
rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)	-1000	rxn01045_Shan	"cpd00001[c0],cpd00003[c0],cpd00156[c0],cpd00004[c0],cpd00013[c0],cpd00067[c0],cpd00123[c0]"	"H2O[c0],NAD[c0],L-Valine[c0],NADH[c0],NH3[c0],H+[c0],3-Methyl-2-oxobutanoate[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn01045	L-Valine:NAD+ oxidoreductase(deaminating)	TRUE	-1000	1000	rxn01045_c0		R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	1.4.1.9		NA	NA	NA	NA		NA	NA	map00280	no_seq_data	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.9;http://identifiers.org/seed.reaction:rxn01045;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01045;http://identifiers.org/kegg.reaction:R01434;http://identifiers.org/bigg.reaction:VALDHr;http://identifiers.org/biocyc:META:RXN-13184;http://identifiers.org/metanetx.reaction:MNXR105183	MNXR105183	rxn01045	R01434	VALDHr	RXN-13184	map00280	Valine, leucine and isoleucine degradation	true	86	8	0	0	R04203 R02047 R05066 R00705 R00264 R01702 R02661 R04095 R02661 R00209 R00391 R03174 R00927 R04187 R04188 R01214 R01214 R03158 R08090 R03224 R02085 R01357 R08924 R04138
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	-1000	rxn01573_Shan	"cpd00001[c0],cpd00003[c0],cpd00322[c0],cpd00004[c0],cpd00013[c0],cpd00067[c0],cpd00508[c0]"	"H2O[c0],NAD[c0],L-Isoleucine[c0],NADH[c0],NH3[c0],H+[c0],3MOP[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn01573	L-Isoleucine:NAD+ oxidoreductase(deaminating)	TRUE	-1000	1000	rxn01573_c0		R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	1.4.1.9		NA	NA	NA	NA		NA	NA	map00280	no_seq_data	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.9;http://identifiers.org/seed.reaction:rxn01573;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01573;http://identifiers.org/kegg.reaction:R02196;http://identifiers.org/biocyc:META:ILEDEAMINE-RXN;http://identifiers.org/metanetx.reaction:MNXR107368	MNXR107368	rxn01573	R02196	NA	ILEDEAMINE-RXN	map00280	Valine, leucine and isoleucine degradation	true	86	8	0	0	R04203 R02047 R05066 R00705 R00264 R01702 R02661 R04095 R02661 R00209 R00391 R03174 R00927 R04187 R04188 R01214 R01214 R03158 R08090 R03224 R02085 R01357 R08924 R04138
