		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.0104170907887233	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.411226217498814	-1	0
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0798484342644461	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0742786783041502	-1	0
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	999.526403615023	1	0
rxn00949_c0	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	0.368600960005503	1	0
rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)	-1000	1	0
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	-1000	1	0
rxn01715_c0	Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing)	-1.81753552562921e-27	1	0
rxn05466_c0	TRANS-RXN-173.ce	10	1	-1
rxn09896_c0	isoleucine dehydrogenase	-0.368600960005557	1	0
rxn15061_c0	D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing)	991.237552452312	1	0
rxn31279_c0	glutamine synthetase, putative	-2.61112959628155e-28	-1	0
EX_cpd00013_e0	Exchange of Ammonium	-10	0	-1
rxn00774_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.250688191210839	-1	0
rxn10506_c0	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0.0104170907887114	1	0
