react_id	react_flux	Complex_id	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	ec
rxn11619	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn11619	"cpd03205[c0],cpd11609[c0],cpd03206[c0],cpd11610[c0]"	"Phytoene[c0],A[c0],Phytofluene[c0],AH2[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn11619	15-cis-phytoene:plastoquinone oxidoreductase	TRUE	-1000	0	1.3.5.5
rxn16495	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn16495	"cpd03211[c0],cpd12011[c0],cpd16486[c0],cpd21010[c0]"	"15-cis-Phytoene[c0],Plastoquinone[c0],Plastoquinol[c0],9,15,9'-tricis-zeta-Carotene[c0]"	"-1,-2,2,1"	"1,1,1,1"	rxn16495	15-cis-phytoene:plastoquinone oxidoreductase	TRUE	-1000	1000	1.3.5.5
rxn16496	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn16496	"cpd03211[c0],cpd12011[c0],cpd16486[c0],cpd21011[c0]"	"15-cis-Phytoene[c0],Plastoquinone[c0],Plastoquinol[c0],15,9'-dicis-Phytofluene[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn16496	15-cis-phytoene:plastoquinone oxidoreductase	TRUE	-1000	1000	1.3.5.5
rxn16497	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn16497	"cpd12011[c0],cpd21011[c0],cpd16486[c0],cpd21010[c0]"	"Plastoquinone[c0],15,9'-dicis-Phytofluene[c0],Plastoquinol[c0],9,15,9'-tricis-zeta-Carotene[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn16497	"15,9'-dicis-phytofluene:plastoquinone oxidoreductase"	TRUE	-1000	1000	1.3.5.5
rxn21666	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn21666	"cpd03211[c0],cpd27797[c0],cpd21010[c0],cpd27796[c0]"	"15-cis-Phytoene[c0],PLASTOQUINONE[c0],9,15,9'-tricis-zeta-Carotene[c0],PLASTOQUINOL-1[c0]"	"-1,-2,1,2"	"1,1,1,1"	rxn21666	phytoene desaturase (ambiguous)	TRUE	-1000	1000	1.3.5.5
rxn28892	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn28892	"cpd03211[c0],cpd27797[c0],cpd27796[c0],cpd28894[c0]"	"15-cis-Phytoene[c0],PLASTOQUINONE[c0],PLASTOQUINOL-1[c0],15,9'-dicis-phytofluene[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn28892	RXNBWI-477.d	FALSE	0	1000	1.3.5.5
rxn28894	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn28894	"cpd27797[c0],cpd28894[c0],cpd21010[c0],cpd27796[c0]"	"PLASTOQUINONE[c0],15,9'-dicis-phytofluene[c0],9,15,9'-tricis-zeta-Carotene[c0],PLASTOQUINOL-1[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn28894	RXNBWI-480.d	TRUE	-1000	0	1.3.5.5
rxn37616	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn37616	"cpd00067[c0],cpd03211[c0],cpd07274[c0],cpd21010[c0],cpd29046[c0]"	"H+[c0],15-cis-Phytoene[c0],Plastoquinone A[c0],9,15,9'-tricis-zeta-Carotene[c0],plastoquinol A[c0]"	"-4,-1,-2,1,2"	"1,1,1,1,1"	rxn37616	15-cis-phytoene desaturase	FALSE	0	1000	1.3.5.5
rxn37621	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn37621	"cpd00067[c0],cpd03211[c0],cpd07274[c0],cpd21011[c0],cpd29046[c0]"	"H+[c0],15-cis-Phytoene[c0],Plastoquinone A[c0],15,9'-dicis-Phytofluene[c0],plastoquinol A[c0]"	"-2,-1,-1,1,1"	"1,1,1,1,1"	rxn37621	phytoene desaturase (ambiguous)	FALSE	0	1000	1.3.5.5
rxn37622	NA	15-cis-phytoene:plastoquinone oxidoreductase	rxn37622	"cpd00067[c0],cpd07274[c0],cpd21011[c0],cpd21010[c0],cpd29046[c0]"	"H+[c0],Plastoquinone A[c0],15,9'-dicis-Phytofluene[c0],9,15,9'-tricis-zeta-Carotene[c0],plastoquinol A[c0]"	"-2,-1,-1,1,1"	"1,1,1,1,1"	rxn37622	phytoene desaturase (ambiguous)	FALSE	0	1000	1.3.5.5
