		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.010543227648542	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.416205609998839	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.0105432276490898	-1	0
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0751780924901228	-1	0
rxn00742_c0	L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming)	0.373064218371995	1	0
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.136945060651241	-1	0
rxn00926_c0	Adenine aminohydrolase	5.23870025542083e-20	1	0
rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)	-0.424501860602122	1	0
rxn01137_c0	Adenosine aminohydrolase	-5.24267072236109e-20	1	0
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	990.88604556661	1	0
rxn03374_c0	Selenocystathionine Lysteine-lyase (deaminating)	-1.25266164013499e-22	1	0
rxn05466_c0	TRANS-RXN-173.ce	10	1	-1
rxn31279_c0	glutamine synthetase, putative	-4.25584425158533e-21	-1	0
EX_cpd00013_e0	Exchange of Ammonium	-10	0	-1
rxn10506_c0	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0.0105432276485188	1	0
rxn15112_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.248452071832813	-1	0
