Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00003_Shan	"cpd00011[c0],cpd00668[c0],cpd00020[c0],cpd00067[c0]"	"CO2[c0],ALCTT[c0],Pyruvate[c0],H+[c0]"	"-1,-1,2,1"	"1,1,1,1"	rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00003_c0	((contig_16_1102198:1103424 | contig_16_2005801:2007417))	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	sp|P00893|ILVI_ECOLI	33.645	1.2e-65	229	83	contig_16	1102198	1103424	|ILEUSYN-PWY|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA	|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	40	0	1	0	DIHYDROXYMETVALDEHYDRAT-RXN ACETOOHBUTSYN-RXN
rxn00010_Shan	"cpd00040[c0],cpd00067[c0],cpd00011[c0],cpd00843[c0]"	"Glyoxalate[c0],H+[c0],CO2[c0],Tartronate semialdehyde[c0]"	"-2,-1,1,1"	"1,1,1,1"	rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	FALSE	0	1000	rxn00010_c0	contig_16_1102198:1103424	GLYOCARBOLIG-RXN	glyoxylate carboligase	4.1.1.47	UniRef90_P0AEP8	26.943	2.76e-52	146	63	contig_16	1102207	1103301	|GLYCOLATEMET-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303	MNXR100303	rxn00010	R00013	GLXCBL;GLXCL	GLYOCARBOLIG-RXN	|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	false	25	0	1	1	GLYOCARBOLIG-RXN
rxn00011_Shan	"cpd00011[c0],cpd03049[c0],cpd00020[c0],cpd00056[c0],cpd00067[c0]"	"CO2[c0],2-Hydroxyethyl-ThPP[c0],Pyruvate[c0],TPP[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00011_c0	((contig_16_1102198:1103424 | contig_16_2005801:2007417 | contig_16_480573:481151) & (contig_16_481370:482224))	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	sp|P00893|ILVI_ECOLI	33.645	1.2e-65	229	83	contig_16	1102198	1103424	|ILEUSYN-PWY|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583	|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	40	0	1	0	DIHYDROXYMETVALDEHYDRAT-RXN ACETOOHBUTSYN-RXN
rxn00020_Shan	"cpd00001[c0],cpd00158[c0],cpd00190[c0]"	"H2O[c0],CELB[c0],beta-D-Glucose[c0]"	"-1,-1,2"	"1,1,1"	rxn00020	cellobiose glucohydrolase	FALSE	0	1000	rxn00020_c0		RXN18C3-14	beta2-tomatinase	3.2.1.21	UniRef90_Q03506	29.085	2.24e-38	90.9	64	contig_16	35294	36142	|PWY18C3-5|	bad_blast	NA	NA	0	NA	3	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.21;http://identifiers.org/seed.reaction:rxn00020;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|PWY18C3-5|	&alpha;-tomatine degradation	false	0	4	0	0
rxn00022_Shan	"cpd00001[c0],cpd00179[c0],cpd00027[c0]"	"H2O[c0],Maltose[c0],D-Glucose[c0]"	"-1,-1,2"	"1,1,1"	rxn00022	maltose glucohydrolase	FALSE	0	1000	rxn00022_c0	contig_16_1904300:1905754	RXN0-5183	maltotriose glucosidase	3.2.1.20	UniRef90_Q9F234	33.141	3.72e-63	227	61	contig_16	1904300	1905754	|GLYCOCAT-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.20;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/kegg.reaction:R00028;http://identifiers.org/bigg.reaction:MALT;http://identifiers.org/bigg.reaction:MALTe;http://identifiers.org/bigg.reaction:MALTly;http://identifiers.org/biocyc:META:RXN-15910;http://identifiers.org/metanetx.reaction:MNXR101350	MNXR101350	rxn00022	R00028	MALT;MALTe;MALTly	RXN-15910	|GLYCOCAT-PWY|	glycogen degradation I	false	25	0	1	0	RXN0-5183 PHOSPHOGLUCMUT-RXN
rxn00029_Shan	"cpd00338[c0],cpd00001[c0],cpd00067[c0],cpd00689[c0]"	"5-Aminolevulinate[c0],H2O[c0],H+[c0],Porphobilinogen[c0]"	"-2,2,1,1"	"1,1,1,1"	rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	0	1000	rxn00029_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN	NA
rxn00048_Shan	"cpd00067[c0],cpd02656[c0],cpd00220[c0],cpd02882[c0]"	"H+[c0],6-7-Dimethyl-8--1-D-ribityllumazine[c0],Riboflavin[c0],4--1-D-Ribitylamino-5-aminouracil[c0]"	"-1,-2,1,1"	"1,1,1,1"	rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	FALSE	0	1000	rxn00048_c0	contig_16_1336445:1335840	RIBOFLAVIN-SYN-RXN	riboflavin synthase	2.5.1.9	UniRef90_O67604	33.663	3.12e-37	133	95	contig_16	1336445	1335840	|PWY-6167|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.9;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/kegg.reaction:R00066;http://identifiers.org/bigg.reaction:RBFSb;http://identifiers.org/bigg.reaction:RIBFS;http://identifiers.org/biocyc:META:RIBOFLAVIN-SYN-RXN;http://identifiers.org/metanetx.reaction:MNXR103430	MNXR103430	rxn00048	R00066	RBFSb;RIBFS	RIBOFLAVIN-SYN-RXN	|PWY-6167|	flavin biosynthesis II (archaea)	false	50	0	0	0	RXN-10058 RXN-10055 LUMAZINESYN-RXN RIBOFLAVIN-SYN-RXN DIOHBUTANONEPSYN-RXN
rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0		OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	UniRef90_P40129	28.409	9	21.6	90	contig_16	815958	815743	|PWY-5188|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	false	0	0	0	0
rxn00062_Shan	"cpd00001[c0],cpd00002[c0],cpd00008[c0],cpd00009[c0],cpd00067[c0]"	"H2O[c0],ATP[c0],ADP[c0],Phosphate[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00062	ATP phosphohydrolase	FALSE	0	1000	rxn00062_c0	((contig_16_856291:857466) & (contig_16_858061:858840) & (contig_16_463174:463725) & (contig_16_864036:865805) & (contig_16_971085:970348 | contig_16_493556:494365 | contig_16_1802460:1803167) & (contig_16_267049:266438) & (contig_16_757474:756431 | contig_16_1656714:1657394 | contig_16_1336445:1335852 | contig_16_1996689:1997138 | contig_16_1629253:1628621 | contig_16_1851671:1852228 | contig_16_1020678:1020217 | contig_16_758895:758368 | contig_16_858843:859349 | contig_16_1797080:1796577))	TRANS-RXN-220	glucosyl-oleandomycin-exporting ATPase	7.6.2.2/3.6.3.44	UniRef50_A0A5B8YGY4	37.007	6.87e-109	320	62	contig_16	864036	865805	|PWY-6972|	good_blast	NA	Subunit ABC	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.6.2.2;http://identifiers.org/ec-code:3.6.3.44;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/kegg.reaction:R00086;http://identifiers.org/bigg.reaction:ATPM;http://identifiers.org/bigg.reaction:ATPPHm;http://identifiers.org/bigg.reaction:ATPS;http://identifiers.org/bigg.reaction:NTP1;http://identifiers.org/biocyc:META:ATPASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96131	MNXR96131	rxn00062	R00086	ATPM;ATPPHm;ATPS;NTP1	ATPASE-RXN	|PWY-6972|	oleandomycin activation/inactivation	false	33	0	0	0	TRANS-RXN-220
rxn00069_Shan	"cpd00003[c0],cpd00023[c0],cpd00004[c0],cpd00024[c0],cpd00053[c0],cpd00067[c0]"	"NAD[c0],L-Glutamate[c0],NADH[c0],2-Oxoglutarate[c0],L-Glutamine[c0],H+[c0]"	"-1,-2,1,1,1,1"	"1,1,1,1,1,1"	rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	TRUE	-1000	1000	rxn00069_c0	((contig_16_914751:916091))	GLUTAMATE-SYNTHASE-NADH-RXN	glutamate synthase (NADH-dependent)	1.4.1.14	UniRef50_A0A0P0USZ5	42.953	1.38e-113	365	92	contig_16	914748	916070	|GLUGLNSYN-PWY|	good_blast	full	Subunit 2	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.14;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/kegg.reaction:R00093;http://identifiers.org/bigg.reaction:GLUS;http://identifiers.org/bigg.reaction:GLUSx;http://identifiers.org/biocyc:META:GLUTAMATE-SYNTHASE-NADH-RXN;http://identifiers.org/metanetx.reaction:MNXR100289	MNXR100289	rxn00069	R00093	GLUS;GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN	|GLUGLNSYN-PWY|	L-glutamate biosynthesis IV	true	100	0	0	0	GLUTAMATE-SYNTHASE-NADH-RXN
