react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
rxn00003_c0	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1] | x[2]))	((contig_16_1102198:1103424 | contig_16_2005801:2007417))	rxn00003	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	sp|P00893|ILVI_ECOLI	33.645	1.2e-65	229	83	contig_16	1102198	1103424	|ILEUSYN-PWY|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA
rxn00010_c0	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1102198:1103424	rxn00010	GLYOCARBOLIG-RXN	glyoxylate carboligase	4.1.1.47	NA	UniRef90_P0AEP8	26.943	2.76e-52	146	63	contig_16	1102207	1103301	|GLYCOLATEMET-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303	MNXR100303	rxn00010	R00013	GLXCBL;GLXCL	GLYOCARBOLIG-RXN
rxn00011_c0	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1] | x[2] | x[3]) & (x[4]))	((contig_16_1102198:1103424 | contig_16_2005801:2007417 | contig_16_480573:481151) & (contig_16_481370:482224))	rxn00011	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	sp|P00893|ILVI_ECOLI	33.645	1.2e-65	229	83	contig_16	1102198	1103424	|ILEUSYN-PWY|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583
rxn00022_c0	maltose glucohydrolase	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1904300:1905754	rxn00022	RXN0-5183	maltotriose glucosidase	3.2.1.20	NA	UniRef90_Q9F234	33.141	3.72e-63	227	61	contig_16	1904300	1905754	|GLYCOCAT-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.20;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/kegg.reaction:R00028;http://identifiers.org/bigg.reaction:MALT;http://identifiers.org/bigg.reaction:MALTe;http://identifiers.org/bigg.reaction:MALTly;http://identifiers.org/biocyc:META:RXN-15910;http://identifiers.org/metanetx.reaction:MNXR101350	MNXR101350	rxn00022	R00028	MALT;MALTe;MALTly	RXN-15910
rxn00048_c0	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1336445:1335840	rxn00048	RIBOFLAVIN-SYN-RXN	riboflavin synthase	2.5.1.9	NA	UniRef90_O67604	33.663	3.12e-37	133	95	contig_16	1336445	1335840	|PWY-6167|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.9;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/kegg.reaction:R00066;http://identifiers.org/bigg.reaction:RBFSb;http://identifiers.org/bigg.reaction:RIBFS;http://identifiers.org/biocyc:META:RIBOFLAVIN-SYN-RXN;http://identifiers.org/metanetx.reaction:MNXR103430	MNXR103430	rxn00048	R00066	RBFSb;RIBFS	RIBOFLAVIN-SYN-RXN
rxn00062_c0	ATP phosphohydrolase	FALSE	NA	NA	0	1000	0	((x[1]) & (x[2]) & (x[3]) & (x[4]) & (x[5] | x[6] | x[7]) & (x[8]) & (x[9] | x[10] | x[11] | x[12] | x[13] | x[14] | x[15] | x[16] | x[17] | x[18]))	((contig_16_856291:857466) & (contig_16_858061:858840) & (contig_16_463174:463725) & (contig_16_864036:865805) & (contig_16_971085:970348 | contig_16_493556:494365 | contig_16_1802460:1803167) & (contig_16_267049:266438) & (contig_16_757474:756431 | contig_16_1656714:1657394 | contig_16_1336445:1335852 | contig_16_1996689:1997138 | contig_16_1629253:1628621 | contig_16_1851671:1852228 | contig_16_1020678:1020217 | contig_16_758895:758368 | contig_16_858843:859349 | contig_16_1797080:1796577))	rxn00062	TRANS-RXN-220	glucosyl-oleandomycin-exporting ATPase	7.6.2.2/3.6.3.44	NA	UniRef50_A0A5B8YGY4	37.007	6.87e-109	320	62	contig_16	864036	865805	|PWY-6972|	good_blast	NA	Subunit ABC	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.6.2.2;http://identifiers.org/ec-code:3.6.3.44;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/kegg.reaction:R00086;http://identifiers.org/bigg.reaction:ATPM;http://identifiers.org/bigg.reaction:ATPPHm;http://identifiers.org/bigg.reaction:ATPS;http://identifiers.org/bigg.reaction:NTP1;http://identifiers.org/biocyc:META:ATPASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96131	MNXR96131	rxn00062	R00086	ATPM;ATPPHm;ATPS;NTP1	ATPASE-RXN
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	TRUE	NA	NA	-1000	1000	0	((x[1]))	((contig_16_914751:916091))	rxn00069	GLUTAMATE-SYNTHASE-NADH-RXN	glutamate synthase (NADH-dependent)	1.4.1.14	NA	UniRef50_A0A0P0USZ5	42.953	1.38e-113	365	92	contig_16	914748	916070	|GLUGLNSYN-PWY|	good_blast	full	Subunit 2	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.14;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/kegg.reaction:R00093;http://identifiers.org/bigg.reaction:GLUS;http://identifiers.org/bigg.reaction:GLUSx;http://identifiers.org/biocyc:META:GLUTAMATE-SYNTHASE-NADH-RXN;http://identifiers.org/metanetx.reaction:MNXR100289	MNXR100289	rxn00069	R00093	GLUS;GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN
rxn00076_c0	NAD+ phosphohydrolase	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1857906:1857340	rxn00076	RXN-14139	UTP diphosphatase	3.6.1.9/3.6.1.19	NA	UniRef90_A8MHM5	45.078	1e-47	163	100	contig_16	1857903	1857331	|PWY-7821|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.6.1.9;http://identifiers.org/ec-code:3.6.1.19;http://identifiers.org/seed.reaction:rxn00076;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00076;http://identifiers.org/kegg.reaction:R00103;http://identifiers.org/bigg.reaction:NADDP;http://identifiers.org/bigg.reaction:NADDPe;http://identifiers.org/bigg.reaction:NADDPp;http://identifiers.org/bigg.reaction:NPH;http://identifiers.org/biocyc:META:NADPYROPHOSPHAT-RXN;http://identifiers.org/metanetx.reaction:MNXR101861	MNXR101861	rxn00076	R00103	NADDP;NADDPe;NADDPp;NPH	NADPYROPHOSPHAT-RXN
rxn00077_c0	ATP:NAD+ 2'-phosphotransferase	FALSE	NA	NA	0	1000	0	x[1]	contig_16_574698:575351	rxn00077	NAD-KIN-RXN	NAD kinase	2.7.1.23	NA	UniRef90_A3DDM2	36.199	9.43e-36	132	72	contig_16	574698	575351	|NADPHOS-DEPHOS-PWY-1|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.23;http://identifiers.org/seed.reaction:rxn00077;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00077;http://identifiers.org/kegg.reaction:R00104;http://identifiers.org/bigg.reaction:NADK;http://identifiers.org/bigg.reaction:NADKm;http://identifiers.org/biocyc:META:NAD-KIN-RXN;http://identifiers.org/metanetx.reaction:MNXR101882	MNXR101882	rxn00077	R00104	NADK;NADKm	NAD-KIN-RXN
rxn00078_c0	ATP:NADH 2'-phosphotransferase	FALSE	NA	NA	0	1000	0	x[1]	contig_16_574698:575216	rxn00078	NADH-KINASE-RXN	NADH kinase	2.7.1.86/2.7.1.96	NA	UniRef50_A0A0A0DXR1	50.867	2.39e-54	166	61	contig_16	574698	575216	|PWY-5083|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.86;http://identifiers.org/ec-code:2.7.1.96;http://identifiers.org/seed.reaction:rxn00078;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00078;http://identifiers.org/kegg.reaction:R00105;http://identifiers.org/biocyc:META:NADH-KINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR106390	MNXR106390	rxn00078	R00105	NA	NADH-KINASE-RXN
