react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
EX_cpd00099_e0	Cl- Exchange	TRUE	NA	NA	-10	1000	0			EX_cpd00099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA
EX_cpd11416_c0	EX cpd11416 c0	FALSE	NA	NA	0	1000	1			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00602_c0	(R)-Methylmalonyl-CoA CoA-carbonylmutase	TRUE	NA	NA	-1000	1000	0			rxn00602	R00833	(R)-Methylmalonyl-CoA CoA-carbonylmutase	5.4.99.2	NA		NA	NA	100	NA		NA	NA	map00280	no_blast	threshold	Subunit 1	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:5.4.99.2;http://identifiers.org/seed.reaction:rxn00602;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00602;http://identifiers.org/kegg.reaction:R00833;http://identifiers.org/bigg.reaction:MMM2;http://identifiers.org/bigg.reaction:MMMm;http://identifiers.org/biocyc:META:METHYLMALONYL-COA-MUT-RXN;http://identifiers.org/metanetx.reaction:MNXR101661	MNXR101661	rxn00602	R00833	MMM2;MMMm	METHYLMALONYL-COA-MUT-RXN
rxn05940_c0	2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propionylating)	FALSE	NA	NA	0	1000	0			rxn05940	R08566	4-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating	1.2.7.7	NA		NA	NA	100	NA		NA	NA	map00280	no_blast	threshold	Subunit 1	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.2.7.7;http://identifiers.org/seed.reaction:rxn05940;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn09069_c0	phosphoadenylyl-sulfate reductase (glutaredoxin)	FALSE	NA	NA	0	1000	0			rxn09069	1.8.4.8-RXN	1.8.4.8-RXN	1.8.4.8	NA	UniRef90_Q9PD82	23.451	8.49e-10	55.1	83	scaffold_1460	12501	11875	|PWY1ZNC-1|	bad_blast	NA	NA	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.4.8;http://identifiers.org/seed.reaction:rxn09069;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn10043_c0	cytochrome-c oxidase (H+/e- = 2)	FALSE	NA	NA	0	1000	0			rxn10043	R00081	Ferrocytochrome-c:oxygen oxidoreductase	1.9.3.1	NA		NA	NA	100	NA		NA	NA	map00190	no_blast	threshold	Subunit 1	1	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.9.3.1;http://identifiers.org/seed.reaction:rxn10043;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn01300_c0	ATP:L-homoserine O-phosphotransferase	FALSE	NA	NA	0	1000	0			rxn01300	HOMOSERKIN-RXN	homoserine kinase	2.7.1.39	NA	tr|B8DPL9|B8DPL9_DESVM	35.135	7.97e-16	71.2	78	scaffold_2996	15344	15784	|HOMOSER-THRESYN-PWY|	bad_blast	NA	NA	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.39;http://identifiers.org/seed.reaction:rxn01300;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01300;http://identifiers.org/kegg.reaction:R01771;http://identifiers.org/bigg.reaction:HSK;http://identifiers.org/bigg.reaction:HSK_1;http://identifiers.org/biocyc:META:HOMOSERKIN-RXN;http://identifiers.org/metanetx.reaction:MNXR100737	MNXR100737	rxn01300	R01771	HSK;HSK_1	HOMOSERKIN-RXN
rxn05289_c0	NADPH:oxidized-thioredoxin oxidoreductase	FALSE	NA	NA	0	1000	0			rxn05289	THIOREDOXIN-REDUCT-NADPH-RXN	thioredoxin reductase	1.8.1.9/1.6.4.5	NA	UniRef90_O32823	24.762	7.31e-11	59.7	86	scaffold_2684	63598	62687	|THIOREDOX-PWY|	bad_blast	NA	NA	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.1.9;http://identifiers.org/ec-code:1.6.4.5;http://identifiers.org/seed.reaction:rxn05289;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn05289;http://identifiers.org/kegg.reaction:R02016;http://identifiers.org/bigg.reaction:TDSRh;http://identifiers.org/bigg.reaction:TRDR;http://identifiers.org/bigg.reaction:TRDRm;http://identifiers.org/biocyc:META:THIOREDOXIN-REDUCT-NADPH-RXN;http://identifiers.org/metanetx.reaction:MNXR104766	MNXR104766	rxn05289	R02016	TDSRh;TRDR;TRDRm	THIOREDOXIN-REDUCT-NADPH-RXN
rxn05313_c0	phosphate transport in/out via three Na+ symporter	TRUE	NA	NA	-1000	1000	0			rxn05313	gnl|TC-DB|D0WY71|2.A.66.4.5	transport-2.A.66.4.5-phosphate	NA	2.A.66.4.5	gnl|TC-DB|D0WY71|2.A.66.4.5	30.729	1.76e-33	132	72	scaffold_1270	57150	56032	NA	good_blast	NA	NA	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn05313;http://identifiers.org/SBO:0000185	NA	NA	NA	NA	NA
rxn08233_c0	Chloride/proton antiport	TRUE	NA	NA	-1000	1000	0			rxn08233	gnl|TC-DB|P37594|2.A.1.3.14	transport-2.A.1.3.14-chloride	NA	2.A.1.3.14	gnl|TC-DB|P37594|2.A.1.3.14	29.213	2.33e-20	91.7	71	scaffold_10032	11466	10402	NA	bad_blast	NA	NA	0	NA	2	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn08233;http://identifiers.org/SBO:0000185;http://identifiers.org/seed.reaction:rxn08233;http://identifiers.org/bigg.reaction:CLt3_2pp;http://identifiers.org/bigg.reaction:CLt3r_2;http://identifiers.org/biocyc:META:RXN0-2501;http://identifiers.org/metanetx.reaction:MNXR96796	MNXR96796	rxn08233	NA	CLt3_2pp;CLt3r_2	RXN0-2501
