react_id/treact_name/treact_rev/treact_single/treact_de/tlowbnd/tuppbnd/tobj_coef/tgprRules/tgpr/tseed/trxn/tname/tec/ttc/tqseqid/tpident/tevalue/tbitscore/tqcovs/tstitle/tsstart/tsend/tpathway/tblast.status/tpathway.status/tcomplex/texception/tcomplex.status/tgs.origin/tannotation/tMNX_ID/tseedID/tkeggID/tbiggID/tbiocycID
rxn00003_c0/tpyruvate:pyruvate acetaldehydetransferase (decarboxylating)/tTRUE/tNA/tNA/t-1000/t0/t0/t((x[1] | x[2]) & (x[3]))/t((JADHEH010000059.1_3578:5281 | JADHEH010000115.1_103910:102330) & (JADHEH010000059.1_5568:6059))/trxn00003/tACETOOHBUTSYN-RXN/t2-aceto-2-hydroxy-butyrate synthase/t2.2.1.6/4.1.3.18/tNA/ttr|Q0KCU4|Q0KCU4_CUPNH/t68.07/t0/t763/t97/tJADHEH010000059.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_79, whole genome shotgun sequence/t3569/t5275/t|ILEUSYN-PWY|/tgood_blast/tthreshold/tSubunit undefined/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335/tMNXR106335/trxn00003/tR00006/tNA/tNA
rxn00010_c0/tglyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)/tFALSE/tNA/tNA/t0/t1000/t0/tx[1]/tJADHEH010000059.1_3569:5275/trxn00010/tGLYOCARBOLIG-RXN/tglyoxylate carboligase/t4.1.1.47/tNA/tUniRef90_P0AEP8/t34.502/t1.46e-86/t292/t89/tJADHEH010000059.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_79, whole genome shotgun sequence/t3608/t5167/t|GLYCOLATEMET-PWY|/tgood_blast/tNA/tNA/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303/tMNXR100303/trxn00010/tR00013/tGLXCBL;GLXCL/tGLYOCARBOLIG-RXN
rxn00011_c0/tpyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)/tTRUE/tNA/tNA/t-1000/t0/t0/t((x[1] | x[2]) & (x[3] | x[4]))/t((JADHEH010000059.1_3578:5281 | JADHEH010000115.1_103910:102330) & (JADHEH010000059.1_5568:6059 | JADHEH010000078.1_16737:19388))/trxn00011/tRXN0-1134/tpyruvate dehydrogenase/t1.2.4.1/tNA/tsp|P0AFG8|ODP1_ECOLI/t57.432/t0/t1030/t99/tJADHEH010000078.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_24, whole genome shotgun sequence/t16737/t19388/t|PYRUVDEHYD-PWY|/tgood_blast/tfull/tSubunit undefined/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.2.4.1;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428/tMNXR102428/trxn00011/tR00014/tPDHam1hi;PDHam1mi/tRXN-12583
rxn00016_c0/tchitobiose N-acetylglucosaminohydrolase/tFALSE/tNA/tNA/t0/t1000/t0/tx[1] | x[2]/tJADHEH010000002.1_46967:47905 | JADHEH010000028.1_103792:104730/trxn00016/tRXN0-5226/tglcNAc-1,6-anhMurNAcaminidase/t3.2.1.52/3.2.1.29/3.2.1.30/tNA/tUniRef90_A7MFT1/t49.201/t3.8e-89/t289/t90/tJADHEH010000002.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_64, whole genome shotgun sequence/t46967/t47905/t|PWY0-1261|/tgood_blast/tNA/tNA/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.52;http://identifiers.org/ec-code:3.2.1.29;http://identifiers.org/ec-code:3.2.1.30;http://identifiers.org/seed.reaction:rxn00016;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00016;http://identifiers.org/kegg.reaction:R00022;http://identifiers.org/kegg.reaction:R06141;http://identifiers.org/bigg.reaction:HXAD;http://identifiers.org/bigg.reaction:r0013;http://identifiers.org/biocyc:META:RXN-12625;http://identifiers.org/metanetx.reaction:MNXR95628/tMNXR95628/trxn00016/tR00022;R06141/tHXAD;r0013/tRXN-12625
rxn00019_c0/t2-Nitropropane:oxygen 2-oxidoreductase/tFALSE/tNA/tNA/t0/t1000/t0/tx[1]/tJADHEH010000116.1_20886:19918/trxn00019/t2-NITROPROPANE-DIOXYGENASE-RXN/tethylnitronate monooxygenase/t1.13.12.16/1.13.11.32/tNA/tUniRef50_A0A0K8NVR9/t49.859/t1.13e-57/t200/t94/tJADHEH010000116.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_49, whole genome shotgun sequence/t20886/t19918/t|PWY-723|/tgood_blast/tNA/tNA/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.13.12.16;http://identifiers.org/ec-code:1.13.11.32;http://identifiers.org/seed.reaction:rxn00019;http://identifiers.org/SBO:0000176/tNA/tNA/tNA/tNA/tNA
rxn00032_c0/tCholine:oxygen 1-oxidoreductase/tFALSE/tNA/tNA/t0/t1000/t0/tx[1] | x[2]/tJADHEH010000036.1_67938:66340 | JADHEH010000084.1_47345:45759/trxn00032/tCHOLINE-OXIDASEII-RXN/tBetaine aldehyde oxidase/t1.1.3.17/tNA/tUniRef90_Q7X2H8/t33.333/t3.34e-67/t234/t95/tJADHEH010000036.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_34.2, whole genome shotgun sequence/t67938/t66340/t|PWY-3721|/tgood_blast/tfull/tNA/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.3.17;http://identifiers.org/seed.reaction:rxn00032;http://identifiers.org/SBO:0000176/tNA/tNA/tNA/tNA/tNA
rxn00060_c0/tporphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)/tFALSE/tNA/tNA/t0/t1000/t0/tx[1]/tJADHEH010000002.1_89003:89905/trxn00060/tOHMETHYLBILANESYN-RXN/tporphobilinogen deaminase/t2.5.1.61/4.3.1.8/tNA/tUniRef90_A1T0R0/t51.827/t1.04e-94/t304/t97/tJADHEH010000002.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_64, whole genome shotgun sequence/t89003/t89905/t|PWY-5188|/tgood_blast/tNA/tNA/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658/tMNXR100658/trxn00060/tR00084/tHMBS;PPBNGD/tOHMETHYLBILANESYN-RXN
rxn00062_c0/tATP phosphohydrolase/tFALSE/tNA/tNA/t0/t1000/t0/t((x[1] | x[2] | x[3] | x[4] | x[5]) & (x[6] | x[7] | x[8] | x[9] | x[10] | x[11] | x[12] | x[13] | x[14] | x[15] | x[16] | x[17] | x[18] | x[19] | x[20] | x[21] | x[22] | x[23] | x[24] | x[25] | x[26] | x[27] | x[28] | x[29] | x[30] | x[31] | x[32] | x[33] | x[34]) & (x[35]) & (x[36]) & (x[37] | x[38]) & (x[39]) & (x[40]) & (x[41]) & (x[42])) | x[43]/t((JADHEH010000002.1_68767:67796 | JADHEH010000013.1_4405:3332 | JADHEH010000018.1_34008:34970 | JADHEH010000045.1_26117:27220 | JADHEH010000051.1_140962:140174) & (JADHEH010000005.1_992:3 | JADHEH010000011.1_13144:11384 | JADHEH010000012.1_50495:49575 | JADHEH010000016.1_239046:239837 | JADHEH010000016.1_185339:186061 | JADHEH010000023.1_5565:7385 | JADHEH010000027.1_31236:30313 | JADHEH010000031.1_56518:57504 | JADHEH010000031.1_55393:57339 | JADHEH010000036.1_90292:89372 | JADHEH010000036.1_71992:71243 | JADHEH010000041.1_4451:5233 | JADHEH010000047.1_14230:12650 | JADHEH010000051.1_110915:109881 | JADHEH010000051.1_36972:37913 | JADHEH010000051.1_36001:36765 | JADHEH010000052.1_31140:31910 | JADHEH010000068.1_33655:32105 | JADHEH010000089.1_26707:25688 | JADHEH010000089.1_28339:27521 | JADHEH010000097.1_129045:128038 | JADHEH010000097.1_56237:55215 | JADHEH010000097.1_127958:127143 | JADHEH010000097.1_118614:117550 | JADHEH010000097.1_46003:46719 | JADHEH010000101.1_42875:43915 | JADHEH010000104.1_89445:91013 | JADHEH010000108.1_2180:1278 | JADHEH010000113.1_7443:6724) & (JADHEH010000042.1_13057:15867) & (JADHEH010000075.1_6731:8254) & (JADHEH010000075.1_9895:11262 | JADHEH010000108.1_6239:4590) & (JADHEH010000075.1_8336:8980) & (JADHEH010000079.1_7509:6838) & (JADHEH010000091.1_100987:101934) & (JADHEH010000104.1_489:2096)) | JADHEH010000097.1_68763:68038/trxn00062/tTRANS-RXN-220/tglucosyl-oleandomycin-exporting ATPase/t7.6.2.2/3.6.3.44/tNA/tUniRef50_A0A5B8YGY4/t45.042/t0/t760/t99/tJADHEH010000042.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_5, whole genome shotgun sequence/t13057/t15867/t|PWY-6972|/tgood_blast/tNA/tSubunit ABC/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.6.2.2;http://identifiers.org/ec-code:3.6.3.44;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/kegg.reaction:R00086;http://identifiers.org/bigg.reaction:ATPM;http://identifiers.org/bigg.reaction:ATPPHm;http://identifiers.org/bigg.reaction:ATPS;http://identifiers.org/bigg.reaction:NTP1;http://identifiers.org/biocyc:META:ATPASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96131/tMNXR96131/trxn00062/tR00086/tATPM;ATPPHm;ATPS;NTP1/tATPASE-RXN
rxn00069_c0/tL-glutamate:NAD+ oxidoreductase (transaminating)/tTRUE/tNA/tNA/t-1000/t1000/t0/t((x[1] | x[2]))/t((JADHEH010000091.1_94574:90048 | JADHEH010000091.1_89932:88445))/trxn00069/tGLUTAMATE-SYNTHASE-NADH-RXN/tglutamate synthase (NADH-dependent)/t1.4.1.14/tNA/tUniRef50_A0A076JNI8/t48.463/t0/t1420/t98/tJADHEH010000091.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_58, whole genome shotgun sequence/t94547/t90000/t|GLUGLNSYN-PWY|/tgood_blast/tfull/tSubunit undefined/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.14;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/kegg.reaction:R00093;http://identifiers.org/bigg.reaction:GLUS;http://identifiers.org/bigg.reaction:GLUSx;http://identifiers.org/biocyc:META:GLUTAMATE-SYNTHASE-NADH-RXN;http://identifiers.org/metanetx.reaction:MNXR100289/tMNXR100289/trxn00069/tR00093/tGLUS;GLUSx/tGLUTAMATE-SYNTHASE-NADH-RXN
rxn00070_c0/tglutathione:NAD+ oxidoreductase/tTRUE/tNA/tNA/t-1000/t1000/t0/tx[1]/tJADHEH010000097.1_72394:73710/trxn00070/tGLUTATHIONE-REDUCT-NADPH-RXN/tglutathione reductase/t1.8.1.7/1.6.4.2/tNA/tUniRef90_P06715/t50.455/t5.71e-138/t435/t95/tJADHEH010000097.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_45, whole genome shotgun sequence/t72394/t73710/t|PWY-4081|/tgood_blast/tNA/tNA/t0/t1/t0/tbqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.1.7;http://identifiers.org/ec-code:1.6.4.2;http://identifiers.org/seed.reaction:rxn00070;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00070;http://identifiers.org/kegg.reaction:R00094;http://identifiers.org/bigg.reaction:GDR;http://identifiers.org/bigg.reaction:GDRh;http://identifiers.org/bigg.reaction:GDRm;http://identifiers.org/bigg.reaction:r0021;http://identifiers.org/bigg.reaction:r0022;http://identifiers.org/metanetx.reaction:MNXR100097/tMNXR100097/trxn00070/tR00094/tGDR;GDRh;GDRm;r0021;r0022/tNA
