react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
EX_cpd00099_e0	Cl- Exchange	TRUE	NA	NA	-10	1000	0			EX_cpd00099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA
EX_cpd00159_e0	L-Lactate Exchange	TRUE	NA	NA	-15	1000	0			EX_cpd00159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA
EX_cpd11416_c0	EX cpd11416 c0	FALSE	NA	NA	0	1000	1			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00048_c0	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	FALSE	NA	NA	0	1000	0			rxn00048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/kegg.reaction:R00066;http://identifiers.org/bigg.reaction:RBFSb;http://identifiers.org/bigg.reaction:RIBFS;http://identifiers.org/biocyc:META:RIBOFLAVIN-SYN-RXN;http://identifiers.org/metanetx.reaction:MNXR103430	MNXR103430	rxn00048	R00066	RBFSb;RIBFS	RIBOFLAVIN-SYN-RXN
rxn00299_c0	GTP 7,8-8,9-dihydrolase	FALSE	NA	NA	0	1000	0			rxn00299	GTP-CYCLOHYDRO-I-RXN	GTP cyclohydrolase I	3.5.4.16	NA	UniRef90_P0C0C2	21.026	2.7	25.4	98	scaffold_880	65027	65518	|PWY0-1433|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.16;http://identifiers.org/seed.reaction:rxn00299;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00299;http://identifiers.org/kegg.reaction:R00424;http://identifiers.org/bigg.reaction:GTPCI;http://identifiers.org/bigg.reaction:GTPCI_1;http://identifiers.org/bigg.reaction:GTPCI_2;http://identifiers.org/bigg.reaction:GTPCIn;http://identifiers.org/biocyc:META:GTP-CYCLOHYDRO-I-RXN;http://identifiers.org/metanetx.reaction:MNXR100453	MNXR100453	rxn00299	R00424	GTPCI;GTPCI_1;GTPCI_2;GTPCIn	GTP-CYCLOHYDRO-I-RXN
rxn00300_c0	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	FALSE	NA	NA	0	1000	0			rxn00300	GTP-CYCLOHYDRO-II-RXN	GTP cyclohydrolase II	3.5.4.25	NA	sp|P0A7I7|RIBA_ECOLI	24.852	6.7	24.3	82	scaffold_3835	7408	7809	|PWY-7539|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.25;http://identifiers.org/seed.reaction:rxn00300;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00300;http://identifiers.org/kegg.reaction:R00425;http://identifiers.org/bigg.reaction:GTPCII2;http://identifiers.org/biocyc:META:GTP-CYCLOHYDRO-II-RXN;http://identifiers.org/metanetx.reaction:MNXR100455	MNXR100455	rxn00300	R00425	GTPCII2	GTP-CYCLOHYDRO-II-RXN
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	FALSE	NA	NA	0	1000	0			rxn00351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00351;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00351;http://identifiers.org/kegg.reaction:R00497;http://identifiers.org/bigg.reaction:GTHS;http://identifiers.org/bigg.reaction:GTHS_1;http://identifiers.org/biocyc:META:GLUTATHIONE-SYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100450	MNXR100450	rxn00351	R00497	GTHS;GTHS_1	GLUTATHIONE-SYN-RXN
rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)	FALSE	NA	NA	0	1000	0			rxn00416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00416;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00416;http://identifiers.org/kegg.reaction:R00578;http://identifiers.org/bigg.reaction:ASNS1;http://identifiers.org/biocyc:META:ASNSYNB-RXN;http://identifiers.org/metanetx.reaction:MNXR96059	MNXR96059	rxn00416	R00578	ASNS1	ASNSYNB-RXN
rxn00440_c0	ATP:thiamine diphosphotransferase	FALSE	NA	NA	0	1000	0			rxn00440	THIAMIN-PYROPHOSPHOKINASE-RXN	thiamine pyrophosphokinase	2.7.6.2	NA	UniRef90_O34664	21.818	7.43e-08	48.9	77	scaffold_1042	57154	56669	|PWY-6898|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.6.2;http://identifiers.org/seed.reaction:rxn00440;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00440;http://identifiers.org/kegg.reaction:R00619;http://identifiers.org/biocyc:META:THIAMIN-PYROPHOSPHOKINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR104886	MNXR104886	rxn00440	R00619	NA	THIAMIN-PYROPHOSPHOKINASE-RXN
rxn00470_c0	L-ornithine carboxy-lyase (putrescine-forming)	FALSE	NA	NA	0	1000	0			rxn00470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00470;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00470;http://identifiers.org/kegg.reaction:R00670;http://identifiers.org/bigg.reaction:ORDCh;http://identifiers.org/bigg.reaction:ORNDC;http://identifiers.org/biocyc:META:ORNDECARBOX-RXN;http://identifiers.org/metanetx.reaction:MNXR102209	MNXR102209	rxn00470	R00670	ORDCh;ORNDC	ORNDECARBOX-RXN
rxn00602_c0	(R)-Methylmalonyl-CoA CoA-carbonylmutase	TRUE	NA	NA	-1000	1000	0			rxn00602	R00833	(R)-Methylmalonyl-CoA CoA-carbonylmutase	5.4.99.2	NA		NA	NA	100	NA		NA	NA	map00280	no_blast	threshold	Subunit 1	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:5.4.99.2;http://identifiers.org/seed.reaction:rxn00602;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00602;http://identifiers.org/kegg.reaction:R00833;http://identifiers.org/bigg.reaction:MMM2;http://identifiers.org/bigg.reaction:MMMm;http://identifiers.org/biocyc:META:METHYLMALONYL-COA-MUT-RXN;http://identifiers.org/metanetx.reaction:MNXR101661	MNXR101661	rxn00602	R00833	MMM2;MMMm	METHYLMALONYL-COA-MUT-RXN
rxn00621_c0	CTP:sn-glycerol-3-phosphate cytidylyltransferase	TRUE	NA	NA	-1000	1000	0			rxn00621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00621;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00621;http://identifiers.org/kegg.reaction:R00856;http://identifiers.org/bigg.reaction:G3PCT;http://identifiers.org/biocyc:META:2.7.7.39-RXN;http://identifiers.org/metanetx.reaction:MNXR99872	MNXR99872	rxn00621	R00856	G3PCT	2.7.7.39-RXN
rxn01300_c0	ATP:L-homoserine O-phosphotransferase	FALSE	NA	NA	0	1000	0			rxn01300	HOMOSERKIN-RXN	homoserine kinase	2.7.1.39	NA	tr|B8DPL9|B8DPL9_DESVM	35.135	7.97e-16	71.2	78	scaffold_2996	15344	15784	|HOMOSER-THRESYN-PWY|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.39;http://identifiers.org/seed.reaction:rxn01300;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01300;http://identifiers.org/kegg.reaction:R01771;http://identifiers.org/bigg.reaction:HSK;http://identifiers.org/bigg.reaction:HSK_1;http://identifiers.org/biocyc:META:HOMOSERKIN-RXN;http://identifiers.org/metanetx.reaction:MNXR100737	MNXR100737	rxn01300	R01771	HSK;HSK_1	HOMOSERKIN-RXN
rxn02200_c0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	FALSE	NA	NA	0	1000	0			rxn02200	H2PTEROATESYNTH-RXN	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	2.5.1.15	NA	UniRef90_P0AC14	29.907	4.07e-23	95.9	72	scaffold_1270	79666	80301	|PWY-6614|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.15;http://identifiers.org/seed.reaction:rxn02200;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02200;http://identifiers.org/metanetx.reaction:MNXR107926	MNXR107926	rxn02200	NA	NA	NA
rxn02402_c0	Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)	TRUE	NA	NA	-1000	0	0			rxn02402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn02402;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02402;http://identifiers.org/kegg.reaction:R03348;http://identifiers.org/bigg.reaction:NNDPR;http://identifiers.org/bigg.reaction:NNDPRm;http://identifiers.org/biocyc:META:QUINOPRIBOTRANS-RXN;http://identifiers.org/metanetx.reaction:MNXR101980	MNXR101980	rxn02402	R03348	NNDPR;NNDPRm	QUINOPRIBOTRANS-RXN
rxn02504_c0	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase	FALSE	NA	NA	0	1000	0			rxn02504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn02504;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02504;http://identifiers.org/biocyc:META:RXN-10857;http://identifiers.org/metanetx.reaction:MNXR97415	MNXR97415	rxn02504	NA	NA	RXN-10857
rxn02774_c0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	FALSE	NA	NA	0	1000	0			rxn02774	DIMETHUROPORDEHYDROG-RXN	precorrin-2 dehydrogenase	1.3.1.76	NA	UniRef90_P61818	34.591	2.08e-23	94	78	scaffold_1493	3528	3995	|PWY-5194|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.3.1.76;http://identifiers.org/seed.reaction:rxn02774;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02774;http://identifiers.org/kegg.reaction:R03947;http://identifiers.org/bigg.reaction:SHCHD2;http://identifiers.org/bigg.reaction:SHCHD2_1;http://identifiers.org/biocyc:META:DIMETHUROPORDEHYDROG-RXN;http://identifiers.org/metanetx.reaction:MNXR104373	MNXR104373	rxn02774	R03947	SHCHD2;SHCHD2_1	DIMETHUROPORDEHYDROG-RXN
rxn02895_c0	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)	FALSE	NA	NA	0	1000	0			rxn02895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn02895;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02895;http://identifiers.org/kegg.reaction:R04144;http://identifiers.org/bigg.reaction:PPRGL;http://identifiers.org/bigg.reaction:PPRGLh;http://identifiers.org/bigg.reaction:PRAGSr;http://identifiers.org/biocyc:META:GLYRIBONUCSYN-RXN;http://identifiers.org/metanetx.reaction:MNXR103139	MNXR103139	rxn02895	R04144	PPRGL;PPRGLh;PRAGSr	GLYRIBONUCSYN-RXN
rxn02937_c0	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	FALSE	NA	NA	0	1000	0			rxn02937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn02937;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02937;http://identifiers.org/metanetx.reaction:MNXR108734	MNXR108734	rxn02937	NA	NA	NA
rxn03004_c0	10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	TRUE	NA	NA	-1000	1000	0			rxn03004	GART-RXN	phosphoribosylglycinamide formyltransferase 1	2.1.2.2	NA	UniRef90_P43846	29.677	6.05e-11	58.2	73	scaffold_460	3412	2987	|PWY-6121|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.1.2.2;http://identifiers.org/seed.reaction:rxn03004;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn03004;http://identifiers.org/kegg.reaction:R04325;http://identifiers.org/bigg.reaction:FPGFTh;http://identifiers.org/bigg.reaction:FPGFTm;http://identifiers.org/bigg.reaction:GARFT;http://identifiers.org/metanetx.reaction:MNXR99623	MNXR99623	rxn03004	R04325	FPGFTh;FPGFTm;GARFT	NA
