Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00003_Shan	"cpd00011[c0],cpd00668[c0],cpd00020[c0],cpd00067[c0]"	"CO2[c0],ALCTT[c0],Pyruvate[c0],H+[c0]"	"-1,-1,2,1"	"1,1,1,1"	rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00003_c0	((JADHEI010000028.1_25377:23815))	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	tr|Q0KCU4|Q0KCU4_CUPNH	61.804	0	629	88	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	25377	23815	|ILEUSYN-PWY|	good_blast	full	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA	|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	true	100	0	1	1	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN ACETOOHBUTSYN-RXN RXN-15122
rxn00010_Shan	"cpd00040[c0],cpd00067[c0],cpd00011[c0],cpd00843[c0]"	"Glyoxalate[c0],H+[c0],CO2[c0],Tartronate semialdehyde[c0]"	"-2,-1,1,1"	"1,1,1,1"	rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	FALSE	0	1000	rxn00010_c0	JADHEI010000028.1_25377:23815	GLYOCARBOLIG-RXN	glyoxylate carboligase	4.1.1.47	UniRef90_P0AEP8	37.113	1.05e-87	294	80	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	25326	23884	|GLYCOLATEMET-PWY|	good_blast	keyenzyme	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303	MNXR100303	rxn00010	R00013	GLXCBL;GLXCL	GLYOCARBOLIG-RXN	|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	true	75	0	1	1	GLYOCARBOLIG-RXN RXN0-5289 GKI-RXN
rxn00011_Shan	"cpd00011[c0],cpd03049[c0],cpd00020[c0],cpd00056[c0],cpd00067[c0]"	"CO2[c0],2-Hydroxyethyl-ThPP[c0],Pyruvate[c0],TPP[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00011_c0	((JADHEI010000028.1_25377:23815 | JADHEI010000033.1_328409:329368) & (JADHEI010000028.1_109755:112442) & (JADHEI010000033.1_329434:330399))	RXN0-1134	pyruvate dehydrogenase	1.2.4.1	sp|P0AFG8|ODP1_ECOLI	55.395	0	1006	99	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	109755	112442	|PYRUVDEHYD-PWY|	good_blast	full	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.2.4.1;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583	|PYRUVDEHYD-PWY|	pyruvate decarboxylation to acetyl CoA I	true	100	0	1	1	RXN0-1133 RXN0-1132 RXN0-1134
rxn00016_Shan	"cpd00001[c0],cpd01157[c0],cpd00122[c0]"	"H2O[c0],Chitobiose[c0],N-Acetyl-D-glucosamine[c0]"	"-1,-1,2"	"1,1,1"	rxn00016	chitobiose N-acetylglucosaminohydrolase	FALSE	0	1000	rxn00016_c0	JADHEI010000028.1_141524:140628	RXN0-5226	glcNAc-1,6-anhMurNAcaminidase	3.2.1.52/3.2.1.29/3.2.1.30	UniRef90_C4LEY6	45.515	2.66e-71	236	88	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	141524	140628	|PWY0-1261|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.52;http://identifiers.org/ec-code:3.2.1.29;http://identifiers.org/ec-code:3.2.1.30;http://identifiers.org/seed.reaction:rxn00016;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00016;http://identifiers.org/kegg.reaction:R00022;http://identifiers.org/kegg.reaction:R06141;http://identifiers.org/bigg.reaction:HXAD;http://identifiers.org/bigg.reaction:r0013;http://identifiers.org/biocyc:META:RXN-12625;http://identifiers.org/metanetx.reaction:MNXR95628	MNXR95628	rxn00016	R00022;R06141	HXAD;r0013	RXN-12625	|PWY0-1261|	anhydromuropeptides recycling I	false	50	0	1	0	RXN0-4621 RXN0-5226 5.4.2.10-RXN RXN0-2361 UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN UDPNACETYLMURAMATEDEHYDROG-RXN
rxn00022_Shan	"cpd00001[c0],cpd00179[c0],cpd00027[c0]"	"H2O[c0],Maltose[c0],D-Glucose[c0]"	"-1,-1,2"	"1,1,1"	rxn00022	maltose glucohydrolase	FALSE	0	1000	rxn00022_c0		RXN0-5183	maltotriose glucosidase	3.2.1.20	UniRef90_Q9AI65	27.405	1.21e-26	109	72	JADHEI010000033.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_2, whole genome shotgun sequence	341535	340573	|GLYCOCAT-PWY|	bad_blast	NA	NA	0	NA	3	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.20;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/kegg.reaction:R00028;http://identifiers.org/bigg.reaction:MALT;http://identifiers.org/bigg.reaction:MALTe;http://identifiers.org/bigg.reaction:MALTly;http://identifiers.org/biocyc:META:RXN-15910;http://identifiers.org/metanetx.reaction:MNXR101350	MNXR101350	rxn00022	R00028	MALT;MALTe;MALTly	RXN-15910	|GLYCOCAT-PWY|	glycogen degradation I	false	12	0	1	0	PHOSPHOGLUCMUT-RXN
rxn00029_Shan	"cpd00338[c0],cpd00001[c0],cpd00067[c0],cpd00689[c0]"	"5-Aminolevulinate[c0],H2O[c0],H+[c0],Porphobilinogen[c0]"	"-2,2,1,1"	"1,1,1,1"	rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	0	1000	rxn00029_c0		PORPHOBILSYNTH-RXN	porphobilinogen synthase	4.2.1.24	UniRef90_Q59295	46.377	4.04e-57	190	99	JADHEI010000033.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_2, whole genome shotgun sequence	11088	10471	|PWY-5188|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.24;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	false	50	0	0	0	GSAAMINOTRANS-RXN GLUTRNAREDUCT-RXN GLURS-RXN
rxn00032_Shan	"cpd00007[c0],cpd00098[c0],cpd00001[c0],cpd00447[c0]"	"O2[c0],Choline[c0],H2O[c0],Betaine aldehyde[c0]"	"-1,-2,2,2"	"1,1,1,1"	rxn00032	Choline:oxygen 1-oxidoreductase	FALSE	0	1000	rxn00032_c0	JADHEI010000022.1_5057:3471 | JADHEI010000028.1_128194:129789 | JADHEI010000028.1_137184:135610	CHOLINE-OXIDASEII-RXN	Betaine aldehyde oxidase	1.1.3.17	UniRef90_Q7X2H8	34.004	1.27e-73	251	95	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	128200	129789	|PWY-3721|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.3.17;http://identifiers.org/seed.reaction:rxn00032;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|PWY-3721|	choline degradation II	true	100	0	0	0	CHOLINE-OXIDASEII-RXN CHOLINE-OXIDASE-RXN
rxn00048_Shan	"cpd00067[c0],cpd02656[c0],cpd00220[c0],cpd02882[c0]"	"H+[c0],6-7-Dimethyl-8--1-D-ribityllumazine[c0],Riboflavin[c0],4--1-D-Ribitylamino-5-aminouracil[c0]"	"-1,-2,1,1"	"1,1,1,1"	rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	FALSE	0	1000	rxn00048_c0		RIBOFLAVIN-SYN-RXN	riboflavin synthase	2.5.1.9	UniRef90_O67604	35	3.62e-30	113	93	JADHEI010000053.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_3, whole genome shotgun sequence	59906	60493	|PWY-6167|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.9;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/kegg.reaction:R00066;http://identifiers.org/bigg.reaction:RBFSb;http://identifiers.org/bigg.reaction:RIBFS;http://identifiers.org/biocyc:META:RIBOFLAVIN-SYN-RXN;http://identifiers.org/metanetx.reaction:MNXR103430	MNXR103430	rxn00048	R00066	RBFSb;RIBFS	RIBOFLAVIN-SYN-RXN	|PWY-6167|	flavin biosynthesis II (archaea)	false	30	0	0	0	RXN-10058 RXN-10055 DIOHBUTANONEPSYN-RXN
rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	NA
rxn00062_Shan	"cpd00001[c0],cpd00002[c0],cpd00008[c0],cpd00009[c0],cpd00067[c0]"	"H2O[c0],ATP[c0],ADP[c0],Phosphate[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00062	ATP phosphohydrolase	FALSE	0	1000	rxn00062_c0	((JADHEI010000009.1_120963:119446) & (JADHEI010000009.1_118461:117100) & (JADHEI010000009.1_119408:118833) & (JADHEI010000028.1_130897:129833 | JADHEI010000040.1_8048:7044) & (JADHEI010000028.1_247948:249528 | JADHEI010000028.1_285112:286146 | JADHEI010000033.1_308527:309396 | JADHEI010000033.1_371558:370509 | JADHEI010000033.1_322509:321637 | JADHEI010000033.1_100317:101066 | JADHEI010000033.1_324027:323020 | JADHEI010000033.1_421919:423661 | JADHEI010000040.1_21905:22933 | JADHEI010000046.1_18971:20029 | JADHEI010000055.1_16050:17072 | JADHEI010000065.1_3868:2402) & (JADHEI010000033.1_203654:202611) & (JADHEI010000050.1_30097:27323)) | JADHEI010000033.1_42024:42944	TRANS-RXN-220	glucosyl-oleandomycin-exporting ATPase	7.6.2.2/3.6.3.44	UniRef50_A0A5B8YGY4	46.368	0	742	99	JADHEI010000050.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_7, whole genome shotgun sequence	30097	27323	|PWY-6972|	good_blast	NA	Subunit ABC	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.6.2.2;http://identifiers.org/ec-code:3.6.3.44;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/kegg.reaction:R00086;http://identifiers.org/bigg.reaction:ATPM;http://identifiers.org/bigg.reaction:ATPPHm;http://identifiers.org/bigg.reaction:ATPS;http://identifiers.org/bigg.reaction:NTP1;http://identifiers.org/biocyc:META:ATPASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96131	MNXR96131	rxn00062	R00086	ATPM;ATPPHm;ATPS;NTP1	ATPASE-RXN	|PWY-6972|	oleandomycin activation/inactivation	false	33	0	0	0	TRANS-RXN-220
