target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00184139304589041	rxn00138_Shan	"cpd00002[c0],cpd00013[c0],cpd00638[c0],cpd00003[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],Deamido-NAD[c0],NAD[c0],PPi[c0],AMP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00138_c0	JADHEI010000009.1_94850:96136	NAD-SYNTH-GLN-RXN	glutamine-dependent NAD synthase	6.3.5.1	UniRef90_O67091	36.518	3.92e-75	256	83	JADHEI010000009.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_12, whole genome shotgun sequence	94850	96136	|PWY3O-4107|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.5.1;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/kegg.reaction:R00189;http://identifiers.org/bigg.reaction:NADS1;http://identifiers.org/bigg.reaction:NADS1m;http://identifiers.org/bigg.reaction:NADS1n;http://identifiers.org/biocyc:META:NAD-SYNTH-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR101897	MNXR101897	rxn00138	R00189	NADS1;NADS1m;NADS1n	NAD-SYNTH-NH3-RXN	|PWY3O-4107|	NAD salvage pathway V (PNC V cycle)	false	20	0	0	0	NAD-SYNTH-GLN-RXN
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	rxn00182_Shan	"cpd00001[c0],cpd00003[c0],cpd00023[c0],cpd00004[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NAD[c0],L-Glutamate[c0],NADH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00182_c0	JADHEI010000033.1_109173:110483	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	glutamate dehydrogenase	1.4.1.3	UniRef90_P94598	56.72	3.66e-168	520	98	JADHEI010000033.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_2, whole genome shotgun sequence	109173	110483	|ARGININE-SYN4-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.3;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/kegg.reaction:R00243;http://identifiers.org/bigg.reaction:GDH;http://identifiers.org/bigg.reaction:GDH1;http://identifiers.org/bigg.reaction:GDHm;http://identifiers.org/bigg.reaction:GLUDxi;http://identifiers.org/biocyc:META:GLUTAMATE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR100085	MNXR100085	rxn00182	R00243	GDH;GDH1;GDHm;GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN	|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-NADP+-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	998.151476231558	rxn00184_Shan	"cpd00001[c0],cpd00006[c0],cpd00023[c0],cpd00005[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NADP[c0],L-Glutamate[c0],NADPH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00184_c0	((JADHEI010000028.1_309185:304680) & (JADHEI010000028.1_304648:303218) & (JADHEI010000033.1_109152:110483))	GLUTDEHYD-RXN	glutamate dehydrogenase 2 (NADP-dependent)	1.4.1.4	sp|P09831|GLTB_ECOLI	44.786	0	1130	98	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	309170	304710	|GLUTSYNIII-PWY|	good_blast	full	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.4;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/kegg.reaction:R00248;http://identifiers.org/bigg.reaction:GDH_nadp;http://identifiers.org/bigg.reaction:GLUDy;http://identifiers.org/bigg.reaction:GLUDyi;http://identifiers.org/bigg.reaction:GLUDym;http://identifiers.org/biocyc:META:GLUTDEHYD-RXN;http://identifiers.org/metanetx.reaction:MNXR100086	MNXR100086	rxn00184	R00248	GDH_nadp;GLUDy;GLUDyi;GLUDym	GLUTDEHYD-RXN	|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	true	100	0	0	0	GLUTDEHYD-RXN
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0354133783114742	rxn00410_Shan	"cpd00002[c0],cpd00013[c0],cpd00062[c0],cpd00008[c0],cpd00009[c0],cpd00052[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],UTP[c0],ADP[c0],Phosphate[c0],CTP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00410	UTP:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00410_c0	JADHEI010000046.1_9441:11012	CTPSYN-RXN	CTP synthetase	6.3.4.2	UniRef90_A1K7F8	55.762	0	572	98	JADHEI010000046.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_14, whole genome shotgun sequence	9441	11012	|PWY-7176|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.4.2;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/kegg.reaction:R00571;http://identifiers.org/bigg.reaction:CTPS1;http://identifiers.org/biocyc:META:RXN-14325;http://identifiers.org/metanetx.reaction:MNXR96944	MNXR96944	rxn00410	R00571	CTPS1	RXN-14325	|PWY-7176|	UTP and CTP de novo biosynthesis	true	100	0	0	0	RXN-12002 UDPKIN-RXN CTPSYN-RXN
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	0.0650458756624668	rxn00456_Shan	"cpd00001[c0],cpd00060[c0],cpd00013[c0],cpd00094[c0],cpd00324[c0]"	"H2O[c0],L-Methionine[c0],NH3[c0],2-Oxobutyrate[c0],MTTL[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00456	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	FALSE	0	1000	rxn00456_c0	JADHEI010000050.1_11116:12198	RXN-11064	RXN-11064	4.4.1.11	UniRef90_A0A0J6G7P5	40.548	7.64e-70	235	90	JADHEI010000050.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_7, whole genome shotgun sequence	11116	12198	|PWY-6931|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.4.1.11;http://identifiers.org/seed.reaction:rxn00456;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00456;http://identifiers.org/kegg.reaction:R00654;http://identifiers.org/bigg.reaction:METGL;http://identifiers.org/biocyc:META:METHIONINE-GAMMA-LYASE-RXN;http://identifiers.org/metanetx.reaction:MNXR101474	MNXR101474	rxn00456	R00654	METGL	METHIONINE-GAMMA-LYASE-RXN	|PWY-6931|	seleno-amino acid detoxification and volatilization I	false	50	0	0	0	RXN-11064
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)	0.0187088791671844	rxn00737_Shan	"cpd00161[c0],cpd00013[c0],cpd00094[c0]"	"L-Threonine[c0],NH3[c0],2-Oxobutyrate[c0]"	"-1,1,1"	"1,1,1"	rxn00737	L-threonine ammonia-lyase (2-oxobutanoate-forming)	FALSE	0	1000	rxn00737_c0	JADHEI010000028.1_99360:100880	RXN-15122	threonine deaminase	4.3.1.19/4.2.1.16	UniRef90_P04968	45.793	9.94e-125	398	98	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	99360	100880	|ILEUSYN-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.3.1.19;http://identifiers.org/ec-code:4.2.1.16;http://identifiers.org/seed.reaction:rxn00737;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00737;http://identifiers.org/kegg.reaction:R00996;http://identifiers.org/bigg.reaction:TAL;http://identifiers.org/bigg.reaction:THRD_L;http://identifiers.org/bigg.reaction:THRD_Lm;http://identifiers.org/biocyc:META:THREDEHYD-RXN;http://identifiers.org/metanetx.reaction:MNXR104714	MNXR104714	rxn00737	R00996	TAL;THRD_L;THRD_Lm	THREDEHYD-RXN	|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	true	100	0	1	1	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN ACETOOHBUTSYN-RXN RXN-15122
rxn00908_c0	glycine synthase	0.193179129108525	rxn00908_Shan	"cpd00003[c0],cpd00033[c0],cpd00087[c0],cpd00004[c0],cpd00011[c0],cpd00013[c0],cpd00125[c0]"	"NAD[c0],Glycine[c0],Tetrahydrofolate[c0],NADH[c0],CO2[c0],NH3[c0],5-10-Methylenetetrahydrofolate[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00908	glycine synthase	FALSE	0	1000	rxn00908_c0	((JADHEI010000033.1_73641:70792)) | JADHEI010000033.1_68040:66634 | JADHEI010000033.1_75141:74074	GCVP-RXN	glycine decarboxylase	1.4.4.2	UniRef90_A4TA90	52.079	0	791	99	JADHEI010000033.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_2, whole genome shotgun sequence	73641	70792	|GLYCINE-SYN2-PWY|	good_blast	full	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.4.2;http://identifiers.org/seed.reaction:rxn00908;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00908;http://identifiers.org/kegg.reaction:R01221;http://identifiers.org/bigg.reaction:GLYCL;http://identifiers.org/bigg.reaction:GLYCL_2;http://identifiers.org/bigg.reaction:GLYCLm;http://identifiers.org/bigg.reaction:GLYS;http://identifiers.org/metanetx.reaction:MNXR100330	MNXR100330	rxn00908	R01221	GLYCL;GLYCL_2;GLYCLm;GLYS	NA	|GLYCINE-SYN2-PWY|	glycine biosynthesis II	true	100	0	0	0	GCVP-RXN GCVT-RXN RXN-8629
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00184139304542103	rxn02475_Shan	"cpd00001[c0],cpd00067[c0],cpd00957[c0],cpd00013[c0],cpd00931[c0]"	"H2O[c0],H+[c0],2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone[c0],NH3[c0],5-Amino-6--5-phosphoribosylaminouracil[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn02475	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	FALSE	0	1000	rxn02475_c0	JADHEI010000028.1_63029:61971	RXN-10058	2,5-diamino-6-(5-phosphoribitylamino)pyrimidin-4(3H)-one deaminase	3.5.4.26	UniRef90_O66534	39.155	1.21e-66	224	99	JADHEI010000028.1 MAG: Betaproteobacteria bacterium AqS2 AqS2_Scaffold_1, whole genome shotgun sequence	63029	61971	|PWY-6167|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.26;http://identifiers.org/seed.reaction:rxn02475;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02475;http://identifiers.org/kegg.reaction:R03459;http://identifiers.org/bigg.reaction:DHPPDA2;http://identifiers.org/biocyc:META:RIBOFLAVINSYNDEAM-RXN;http://identifiers.org/metanetx.reaction:MNXR97435	MNXR97435	rxn02475	R03459	DHPPDA2	RIBOFLAVINSYNDEAM-RXN	|PWY-6167|	flavin biosynthesis II (archaea)	false	30	0	0	0	RXN-10058 RXN-10055 DIOHBUTANONEPSYN-RXN
rxn05466_c0	TRANS-RXN-173.ce	1.79473758647672	rxn05466_Shan	"cpd00013[e0],cpd00013[c0]"	"NH3[e0],NH3[c0]"	"-1,1"	"2,1"	rxn05466	TRANS-RXN-173.ce	TRUE	-1000	1000	rxn05466_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/SBO:0000185;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/bigg.reaction:NH4t;http://identifiers.org/bigg.reaction:NH4tex;http://identifiers.org/bigg.reaction:NH4ti;http://identifiers.org/bigg.reaction:NH4tm;http://identifiers.org/bigg.reaction:NH4tn;http://identifiers.org/bigg.reaction:NH4tp;http://identifiers.org/bigg.reaction:NH4tpp;http://identifiers.org/biocyc:META:RXN-9615;http://identifiers.org/biocyc:META:TRANS-RXN0-206;http://identifiers.org/biocyc:META:TRANS-RXN0-544;http://identifiers.org/metanetx.reaction:MNXR101950	MNXR101950	rxn05466	NA	NH4t;NH4tex;NH4ti;NH4tm;NH4tn;NH4tp;NH4tpp	RXN-9615;TRANS-RXN0-206;TRANS-RXN0-544	NA
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00184139304542103	rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	NA
