react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
rxn00003_c0	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1] | x[2]))	((contig_11_2129270:2130973 | contig_11_1400040:1401638))	rxn00003	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	tr|Q0KCU4|Q0KCU4_CUPNH	55.263	0	623	98	contig_11	2129270	2130973	|ILEUSYN-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA
rxn00004_c0	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	TRUE	NA	NA	-1000	1000	0	x[1]	contig_11_392914:393561	rxn00004	RXN-2464	4-hydroxy-4-methyl-2-oxoglutarate aldolase	4.1.3.17	NA	UniRef90_A5W059	61.111	2.77e-71	233	91	contig_11	392914	393561	|GALLATE-DEGRADATION-II-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.3.17;http://identifiers.org/seed.reaction:rxn00004;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00004;http://identifiers.org/kegg.reaction:R00008;http://identifiers.org/biocyc:META:4.1.3.17-RXN;http://identifiers.org/metanetx.reaction:MNXR106336	MNXR106336	rxn00004	R00008	NA	4.1.3.17-RXN
rxn00010_c0	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	FALSE	NA	NA	0	1000	0	x[1]	contig_11_2129270:2130973	rxn00010	GLYOCARBOLIG-RXN	glyoxylate carboligase	4.1.1.47	NA	UniRef90_P0AEP8	33.272	4.79e-88	296	90	contig_11	2129270	2130850	|GLYCOLATEMET-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303	MNXR100303	rxn00010	R00013	GLXCBL;GLXCL	GLYOCARBOLIG-RXN
rxn00011_c0	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1] | x[2] | x[3]) & (x[4]))	((contig_11_2129270:2130973 | contig_11_1891190:1892080 | contig_11_1400040:1401638) & (contig_11_1892501:1893196))	rxn00011	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	tr|Q0KCU4|Q0KCU4_CUPNH	55.263	0	623	98	contig_11	2129270	2130973	|ILEUSYN-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583
rxn00019_c0	2-Nitropropane:oxygen 2-oxidoreductase	FALSE	NA	NA	0	1000	0	x[1]	contig_11_2169919:2170548	rxn00019	2-NITROPROPANE-DIOXYGENASE-RXN	ethylnitronate monooxygenase	1.13.12.16/1.13.11.32	NA	UniRef50_A0A6V0LE28	55.238	1.04e-64	214	91	contig_11	2169919	2170548	|PWY-723|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.13.12.16;http://identifiers.org/ec-code:1.13.11.32;http://identifiers.org/seed.reaction:rxn00019;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	NA	NA	0	1000	0	x[1]	contig_11_1297331:1296540	rxn00029	PORPHOBILSYNTH-RXN	porphobilinogen synthase	4.2.1.24	NA	UniRef90_O84638	43.561	2.32e-73	235	77	contig_11	1297331	1296540	|PWY-5188|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.24;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN
rxn00032_c0	Choline:oxygen 1-oxidoreductase	FALSE	NA	NA	0	1000	0	x[1]	contig_11_1586554:1588146	rxn00032	CHOLINE-OXIDASEII-RXN	Betaine aldehyde oxidase	1.1.3.17	NA	UniRef90_Q7X2H8	33.333	9.69e-60	212	94	contig_11	1586560	1588143	|PWY-3721|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.3.17;http://identifiers.org/seed.reaction:rxn00032;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00048_c0	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	FALSE	NA	NA	0	1000	0	x[1]	contig_11_1800077:1800655	rxn00048	RIBOFLAVIN-SYN-RXN	riboflavin synthase	2.5.1.9	NA	UniRef90_Q2YN92	52.764	2.28e-61	203	99	contig_11	1800077	1800655	|PWY-6167|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.9;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00048;http://identifiers.org/kegg.reaction:R00066;http://identifiers.org/bigg.reaction:RBFSb;http://identifiers.org/bigg.reaction:RIBFS;http://identifiers.org/biocyc:META:RIBOFLAVIN-SYN-RXN;http://identifiers.org/metanetx.reaction:MNXR103430	MNXR103430	rxn00048	R00066	RBFSb;RIBFS	RIBOFLAVIN-SYN-RXN
rxn00058_c0	Ferrocytochrome-c:oxygen oxidoreductase	FALSE	NA	NA	0	1000	0	((x[1]) & (x[2]) & (x[3]))	((contig_11_1346231:1347643) & (contig_11_1345335:1346132) & (contig_11_1349711:1350568))	rxn00058	RXN1YI0-22	plastocyanin oxidase	7.1.1.9	NA	UniRef90_O54069	65.89	0	622	87	contig_11	1346231	1347643	|PWY1YI0-3|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.1.1.9;http://identifiers.org/seed.reaction:rxn00058;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	NA	NA	0	1000	0	x[1]	contig_11_1385522:1386445	rxn00060	OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	NA	UniRef90_A1B853	52.597	7.42e-90	290	98	contig_11	1385522	1386445	|PWY-5188|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN
