# gapseq version: 1.2 c1e35b7c
# Transporter sequence DB md5sum: b99a77e (2022-08-26)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	25.610	2.9	22.7	82	k99_49135 flag=0 multi=135.2587 len=48479	3339	3133	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.787	1.07e-22	93.2	72	k99_42107 flag=0 multi=99.4034 len=15076	6403	6948	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.317	2.07e-29	113	85	k99_42107 flag=0 multi=99.4034 len=15076	6415	7128	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	33.684	1.34e-23	95.5	72	k99_39941 flag=0 multi=121.2001 len=20600	17991	18560	transporter
gnl|TC-DB|I3YSC9|1.A.43.1.13	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|I3YSC9|1.A.43.1.13	43.802	9.70e-14	62.4	98	k99_152 flag=0 multi=113.4498 len=68054	18137	18496	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	42.308	3.4	19.6	84	k99_152 flag=0 multi=113.4498 len=68054	59756	59833	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	42.308	3.4	19.6	84	k99_152 flag=0 multi=113.4498 len=68054	59756	59833	transporter
gnl|TC-DB|P50708|1.C.19.1.4	1.C.19.1.4	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P50708|1.C.19.1.4	26.582	5.6	21.9	78	k99_46493 flag=0 multi=122.7098 len=55511	2855	3076	transporter
gnl|TC-DB|P71470|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71470|1.C.29.1.1	33.333	0.21	24.3	75	k99_49135 flag=0 multi=135.2587 len=48479	39202	39077	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	5.4	17.7	80	k99_16756 flag=0 multi=114.0000 len=36919	35114	35079	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	5.4	17.7	80	k99_16756 flag=0 multi=114.0000 len=36919	35114	35079	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	27.753	1.30e-20	87.4	81	k99_152 flag=0 multi=113.4498 len=68054	25617	24946	transporter
gnl|TC-DB|P53157|2.A.105.1.1	2.A.105.1.1	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P53157|2.A.105.1.1	24.762	6.2	22.7	80	k99_8428 flag=0 multi=128.4133 len=42443	40650	40378	transporter
