target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	3.299921151834	rxn00187_Shan	"cpd00002[c0],cpd00013[c0],cpd00023[c0],cpd00008[c0],cpd00009[c0],cpd00053[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],L-Glutamate[c0],ADP[c0],Phosphate[c0],L-Glutamine[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00187	L-Glutamate:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00187_c0	contig_1_1319261:1318065 | contig_1_1578221:1577265 | contig_1_1576942:1575734	GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	UniRef90_P00964	53.98	2.17e-143	451	85	contig_1	1319261	1318065	|GLNSYN-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.1.2;http://identifiers.org/seed.reaction:rxn00187;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00187;http://identifiers.org/kegg.reaction:R00253;http://identifiers.org/bigg.reaction:GALh;http://identifiers.org/bigg.reaction:GALm;http://identifiers.org/bigg.reaction:GLNS;http://identifiers.org/biocyc:META:GLUTAMINESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100024	MNXR100024	rxn00187	R00253	GALh;GALm;GLNS	GLUTAMINESYN-RXN	|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0967651054998435	rxn00916_Shan	"cpd00002[c0],cpd00013[c0],cpd00497[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0],cpd00126[c0]"	"ATP[c0],NH3[c0],XMP[c0],PPi[c0],AMP[c0],H+[c0],GMP[c0]"	"-1,-1,-1,1,1,3,1"	"1,1,1,1,1,1,1"	rxn00916	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00916_c0	contig_1_952463:951303	GMP-SYN-GLUT-RXN	xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)	6.3.5.2/6.3.4.1	UniRef90_A1K5U3	63.66	2.17e-160	476	74	contig_1	952463	951303	|PWY-7221|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.5.2;http://identifiers.org/ec-code:6.3.4.1;http://identifiers.org/seed.reaction:rxn00916;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00916;http://identifiers.org/kegg.reaction:R01230;http://identifiers.org/bigg.reaction:GMPS;http://identifiers.org/bigg.reaction:GMPSm;http://identifiers.org/biocyc:META:GMP-SYN-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR100383	MNXR100383	rxn00916	R01230	GMPS;GMPSm	GMP-SYN-NH3-RXN	|PWY-7221|	guanosine ribonucleotides de novo biosynthesis	false	75	0	0	0	IMP-DEHYDROG-RXN GMP-SYN-GLUT-RXN GDPKIN-RXN
rxn00949_c0	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	0.00735210402166031	rxn00949_Shan	"cpd00001[c0],cpd00135[c0],cpd00013[c0],cpd00067[c0],cpd00094[c0],cpd00239[c0]"	"H2O[c0],Homocysteine[c0],NH3[c0],H+[c0],2-Oxobutyrate[c0],H2S[c0]"	"-1,-1,1,1,1,1"	"1,1,1,1,1,1"	rxn00949	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	FALSE	0	1000	rxn00949_c0	contig_1_1543382:1544533	HOMOCYSTEINE-DESULFHYDRASE-RXN	homocysteine desulfhydrase	4.4.1.2	UniRef90_O05394	37.83	3.57e-68	229	89	contig_1	1543514	1544533	|PWY66-426|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.4.1.2;http://identifiers.org/seed.reaction:rxn00949;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00949;http://identifiers.org/kegg.reaction:R01283;http://identifiers.org/biocyc:META:HOMOCYSTEINE-DESULFHYDRASE-RXN;http://identifiers.org/metanetx.reaction:MNXR106902	MNXR106902	rxn00949	R01283	NA	HOMOCYSTEINE-DESULFHYDRASE-RXN	|PWY66-426|	hydrogen sulfide biosynthesis II (mammalian)	false	50	1	0	0	LCYSDESULF-RXN HOMOCYSTEINE-DESULFHYDRASE-RXN
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00307252298159027	rxn02475_Shan	"cpd00001[c0],cpd00067[c0],cpd00957[c0],cpd00013[c0],cpd00931[c0]"	"H2O[c0],H+[c0],2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone[c0],NH3[c0],5-Amino-6--5-phosphoribosylaminouracil[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn02475	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	FALSE	0	1000	rxn02475_c0	contig_1_34066:33218	RXN-10058	2,5-diamino-6-(5-phosphoribitylamino)pyrimidin-4(3H)-one deaminase	3.5.4.26	UniRef90_P25539	38.644	1.62e-68	202	79	contig_1	34066	33218	|PWY-6167|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.26;http://identifiers.org/seed.reaction:rxn02475;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02475;http://identifiers.org/kegg.reaction:R03459;http://identifiers.org/bigg.reaction:DHPPDA2;http://identifiers.org/biocyc:META:RIBOFLAVINSYNDEAM-RXN;http://identifiers.org/metanetx.reaction:MNXR97435	MNXR97435	rxn02475	R03459	DHPPDA2	RIBOFLAVINSYNDEAM-RXN	|PWY-6167|	flavin biosynthesis II (archaea)	false	30	0	0	0	RXN-10058 RXN-10055 DIOHBUTANONEPSYN-RXN
rxn05466_c0	TRANS-RXN-173.ce	3.36403685349554	rxn05466_Shan	"cpd00013[e0],cpd00013[c0]"	"NH3[e0],NH3[c0]"	"-1,1"	"2,1"	rxn05466	TRANS-RXN-173.ce	TRUE	-1000	1000	rxn05466_c0	contig_1_1580254:1578899	gnl|TC-DB|AFC35023.1|1.A.11.2.14	transport-1.A.11.2.14-ammonia	NA	gnl|TC-DB|AFC35023.1|1.A.11.2.14	26.737	6.63e-26	107	98	contig_1	1580254	1578899	NA	good_blast	NA	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/SBO:0000185;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/bigg.reaction:NH4t;http://identifiers.org/bigg.reaction:NH4tex;http://identifiers.org/bigg.reaction:NH4ti;http://identifiers.org/bigg.reaction:NH4tm;http://identifiers.org/bigg.reaction:NH4tn;http://identifiers.org/bigg.reaction:NH4tp;http://identifiers.org/bigg.reaction:NH4tpp;http://identifiers.org/biocyc:META:RXN-9615;http://identifiers.org/biocyc:META:TRANS-RXN0-206;http://identifiers.org/biocyc:META:TRANS-RXN0-544;http://identifiers.org/metanetx.reaction:MNXR101950	MNXR101950	rxn05466	NA	NH4t;NH4tex;NH4ti;NH4tm;NH4tn;NH4tp;NH4tpp	RXN-9615;TRANS-RXN0-206;TRANS-RXN0-544	NA
rxn10506_c0	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	1.37261797508456e-28	rxn10506_Shan	"cpd00001[c0],cpd00067[c0],cpd15807[c0],cpd00013[c0],cpd02720[c0]"	"H2O[c0],H+[c0],2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate[c0],NH3[c0],5-Amino-6--5-phosphoribitylaminouracil[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn10506	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	FALSE	0	1000	rxn10506_c0	contig_1_34066:33218	RXN-10058	2,5-diamino-6-(5-phosphoribitylamino)pyrimidin-4(3H)-one deaminase	3.5.4.26	UniRef90_P25539	38.644	1.62e-68	202	79	contig_1	34066	33218	|PWY-6167|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.26;http://identifiers.org/seed.reaction:rxn10506;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn10506;http://identifiers.org/kegg.reaction:R09377;http://identifiers.org/biocyc:META:RXN-10058;http://identifiers.org/metanetx.reaction:MNXR112805	MNXR112805	rxn10506	R09377	NA	RXN-10058	|PWY-6167|	flavin biosynthesis II (archaea)	false	30	0	0	0	RXN-10058 RXN-10055 DIOHBUTANONEPSYN-RXN
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00307252298163946	rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0		OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	UniRef90_C1D679	46.875	1.38e-44	159	72	contig_1	1961310	1960645	|PWY-5188|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	false	66	0	0	0	PORPHOBILSYNTH-RXN GSAAMINOTRANS-RXN GLUTRNAREDUCT-RXN GLURS-RXN
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00307252298159438	rxn00138_Shan	"cpd00002[c0],cpd00013[c0],cpd00638[c0],cpd00003[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],Deamido-NAD[c0],NAD[c0],PPi[c0],AMP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00138_c0		NAD-SYNTH-NH3-RXN	NAD+ synthetase, NH3-dependent	6.3.1.5	UniRef90_A5G7Y9	35.662	4.25e-38	139	94	contig_1	1689931	1690707	|PWY-7761|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.1.5;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/kegg.reaction:R00189;http://identifiers.org/bigg.reaction:NADS1;http://identifiers.org/bigg.reaction:NADS1m;http://identifiers.org/bigg.reaction:NADS1n;http://identifiers.org/biocyc:META:NAD-SYNTH-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR101897	MNXR101897	rxn00138	R00189	NADS1;NADS1m;NADS1n	NAD-SYNTH-NH3-RXN	|PWY-7761|	NAD salvage pathway II (PNC IV cycle)	false	0	0	0	0
rxn00340_c0	L-aspartate:ammonia ligase (AMP-forming)	0.0890711297861739	rxn00340_Shan	"cpd00002[c0],cpd00013[c0],cpd00041[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0],cpd00132[c0]"	"ATP[c0],NH3[c0],L-Aspartate[c0],PPi[c0],AMP[c0],H+[c0],L-Asparagine[c0]"	"-1,-1,-1,1,1,2,1"	"1,1,1,1,1,1,1"	rxn00340	L-aspartate:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00340_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00340;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00340;http://identifiers.org/kegg.reaction:R00483;http://identifiers.org/bigg.reaction:ASNS2;http://identifiers.org/biocyc:META:ASNSYNA-RXN;http://identifiers.org/metanetx.reaction:MNXR96060	MNXR96060	rxn00340	R00483	ASNS2	ASNSYNA-RXN	NA
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0590902735232584	rxn00410_Shan	"cpd00002[c0],cpd00013[c0],cpd00062[c0],cpd00008[c0],cpd00009[c0],cpd00052[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],UTP[c0],ADP[c0],Phosphate[c0],CTP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00410	UTP:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00410_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/kegg.reaction:R00571;http://identifiers.org/bigg.reaction:CTPS1;http://identifiers.org/biocyc:META:RXN-14325;http://identifiers.org/metanetx.reaction:MNXR96944	MNXR96944	rxn00410	R00571	CTPS1	RXN-14325	NA
rxn00908_c0	glycine synthase	0.392267165127341	rxn00908_Shan	"cpd00003[c0],cpd00033[c0],cpd00087[c0],cpd00004[c0],cpd00011[c0],cpd00013[c0],cpd00125[c0]"	"NAD[c0],Glycine[c0],Tetrahydrofolate[c0],NADH[c0],CO2[c0],NH3[c0],5-10-Methylenetetrahydrofolate[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00908	glycine synthase	FALSE	0	1000	rxn00908_c0		RXN-8629	lipoamide dehydrogenase	1.8.1.4/1.6.4.3	UniRef90_Q9Z773	33.237	1.6e-62	196	95	contig_1	158111	159136	|GLYCINE-SYN2-PWY|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.1.4;http://identifiers.org/ec-code:1.6.4.3;http://identifiers.org/seed.reaction:rxn00908;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00908;http://identifiers.org/kegg.reaction:R01221;http://identifiers.org/bigg.reaction:GLYCL;http://identifiers.org/bigg.reaction:GLYCL_2;http://identifiers.org/bigg.reaction:GLYCLm;http://identifiers.org/bigg.reaction:GLYS;http://identifiers.org/metanetx.reaction:MNXR100330	MNXR100330	rxn00908	R01221	GLYCL;GLYCL_2;GLYCLm;GLYS	NA	|GLYCINE-SYN2-PWY|	glycine biosynthesis II	false	0	0	0	0
