Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00001_Shan	"cpd00001[c0],cpd00012[c0],cpd00009[c0],cpd00067[c0]"	"H2O[c0],PPi[c0],Phosphate[c0],H+[c0]"	"-1,-1,2,1"	"1,1,1,1"	rxn00001	diphosphate phosphohydrolase	FALSE	0	1000	rxn00001_c0	scaffold_1792_70011:70694	INORGPYROPHOSPHAT-RXN	diphosphate phosphatase	3.6.1.1	UniRef90_Q9X015	36.975	5.69e-36	132	83	scaffold_1792	70011	70694	|PWY-7805|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.6.1.1;http://identifiers.org/seed.reaction:rxn00001;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00001;http://identifiers.org/kegg.reaction:R00004;http://identifiers.org/bigg.reaction:IDPh;http://identifiers.org/bigg.reaction:IDPm;http://identifiers.org/bigg.reaction:PPA;http://identifiers.org/bigg.reaction:PPA_1;http://identifiers.org/bigg.reaction:PPA_1pp;http://identifiers.org/bigg.reaction:PPAer;http://identifiers.org/bigg.reaction:PPAm;http://identifiers.org/bigg.reaction:PPAn;http://identifiers.org/bigg.reaction:r0009;http://identifiers.org/biocyc:META:INORGPYROPHOSPHAT-RXN;http://identifiers.org/metanetx.reaction:MNXR100808	MNXR100808	rxn00001	R00004	IDPh;IDPm;PPA;PPA_1;PPA_1pp;PPAer;PPAm;PPAn;r0009	INORGPYROPHOSPHAT-RXN	|PWY-7805|	(aminomethyl)phosphonate degradation	false	12	0	0	0	INORGPYROPHOSPHAT-RXN
rxn00003_Shan	"cpd00011[c0],cpd00668[c0],cpd00020[c0],cpd00067[c0]"	"CO2[c0],ALCTT[c0],Pyruvate[c0],H+[c0]"	"-1,-1,2,1"	"1,1,1,1"	rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00003_c0	((scaffold_1042_12226:10634 | scaffold_2996_9593:8010 | scaffold_527_25126:23756 | scaffold_880_6176:4554))	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	sp|P08142|ILVB_ECOLI	29.466	1.79e-69	240	95	scaffold_1042	12226	10634	|ILEUSYN-PWY|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA	|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	80	0	1	0	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN ACETOOHBUTSYN-RXN
rxn00004_Shan	"cpd02570[c0],cpd00020[c0]"	"Parapyruvate[c0],Pyruvate[c0]"	"-1,2"	"1,1"	rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	TRUE	-1000	1000	rxn00004_c0		RXN-2464	4-hydroxy-4-methyl-2-oxoglutarate aldolase	4.1.3.17	UniRef90_Q2SK70	27.684	0.36	27.7	92	scaffold_527	94299	94802	|GALLATE-DEGRADATION-II-PWY|	bad_blast	keyenzyme	NA	0	NA	9	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.3.17;http://identifiers.org/seed.reaction:rxn00004;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00004;http://identifiers.org/kegg.reaction:R00008;http://identifiers.org/biocyc:META:4.1.3.17-RXN;http://identifiers.org/metanetx.reaction:MNXR106336	MNXR106336	rxn00004	R00008	NA	4.1.3.17-RXN	|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	true	66	0	1	1	GALLATE-DIOXYGENASE-RXN RXN-2463
rxn00006_Shan	"cpd00025[c0],cpd00001[c0],cpd00007[c0]"	"H2O2[c0],H2O[c0],O2[c0]"	"-2,2,1"	"1,1,1"	rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	FALSE	0	1000	rxn00006_c0	scaffold_2684_9606:7774	CATAL-RXN	catalase	1.11.1.6/1.11.1.21	UniRef90_A1BEI1	70.098	0	883	83	scaffold_2684	9606	7774	|DETOX1-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.11.1.6;http://identifiers.org/ec-code:1.11.1.21;http://identifiers.org/seed.reaction:rxn00006;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00006;http://identifiers.org/kegg.reaction:R00009;http://identifiers.org/bigg.reaction:CAT;http://identifiers.org/bigg.reaction:CATm;http://identifiers.org/bigg.reaction:CATp;http://identifiers.org/biocyc:META:CATAL-RXN;http://identifiers.org/metanetx.reaction:MNXR96455	MNXR96455	rxn00006	R00009	CAT;CATm;CATp	CATAL-RXN	|DETOX1-PWY|	superoxide radicals degradation	true	100	0	0	0	SUPEROX-DISMUT-RXN CATAL-RXN
rxn00010_Shan	"cpd00040[c0],cpd00067[c0],cpd00011[c0],cpd00843[c0]"	"Glyoxalate[c0],H+[c0],CO2[c0],Tartronate semialdehyde[c0]"	"-2,-1,1,1"	"1,1,1,1"	rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	FALSE	0	1000	rxn00010_c0	scaffold_1042_12226:10634 | scaffold_2996_9593:8010 | scaffold_527_25126:23756 | scaffold_880_6176:4554	GLYOCARBOLIG-RXN	glyoxylate carboligase	4.1.1.47	UniRef90_P0AEP8	29.19	1.62e-45	170	88	scaffold_1042	12190	10700	|GLYCOLATEMET-PWY|	good_blast	keyenzyme	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303	MNXR100303	rxn00010	R00013	GLXCBL;GLXCL	GLYOCARBOLIG-RXN	|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	true	75	0	1	1	GLYOCARBOLIG-RXN RXN0-5289 GKI-RXN
rxn00011_Shan	"cpd00011[c0],cpd03049[c0],cpd00020[c0],cpd00056[c0],cpd00067[c0]"	"CO2[c0],2-Hydroxyethyl-ThPP[c0],Pyruvate[c0],TPP[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00011_c0	((scaffold_1042_12226:10634 | scaffold_2716_46947:47900 | scaffold_2996_9593:8010 | scaffold_527_25126:23756 | scaffold_7043_28499:29440 | scaffold_880_6176:4554) & (scaffold_7043_29449:30420))	R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	1.2.4.1	UniRef90_O66113	43.692	5.74e-79	265	70	scaffold_7043	29449	30420	map00010	good_blast	NA	Subunit 2	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.2.4.1;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583	map00010	Glycolysis / Gluconeogenesis	false	64	9	0	0	R01061 R00264 R07104 R01058 R00014 R00209 R00209 R00725 R00767 R00299 R00430 R00764 R01512 R01845 R00341 R04206 R01015 R01518 R01057 R01662 R00236 R00920 R00711 R01063
rxn00019_Shan	"cpd00007[c0],cpd01433[c0],cpd00067[c0],cpd00075[c0],cpd00178[c0]"	"O2[c0],2-Nitropropane[c0],H+[c0],Nitrite[c0],Acetone[c0]"	"-1,-2,2,2,2"	"1,1,1,1,1"	rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	FALSE	0	1000	rxn00019_c0	scaffold_2684_24231:25262 | scaffold_585_26488:25739	2-NITROPROPANE-DIOXYGENASE-RXN	ethylnitronate monooxygenase	1.13.12.16/1.13.11.32	UniRef50_A0A0E4GXI0	53.36	1.7e-52	180	90	scaffold_585	26488	25739	|PWY-723|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.13.12.16;http://identifiers.org/ec-code:1.13.11.32;http://identifiers.org/seed.reaction:rxn00019;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|PWY-723|	alkylnitronates degradation	false	50	0	1	1	2-NITROPROPANE-DIOXYGENASE-RXN
rxn00022_Shan	"cpd00001[c0],cpd00179[c0],cpd00027[c0]"	"H2O[c0],Maltose[c0],D-Glucose[c0]"	"-1,-1,2"	"1,1,1"	rxn00022	maltose glucohydrolase	FALSE	0	1000	rxn00022_c0	scaffold_2684_50707:52176	RXN0-5183	maltotriose glucosidase	3.2.1.20	UniRef90_P43473	31.927	1.56e-82	278	93	scaffold_2684	50707	52176	|GLYCOCAT-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.20;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/kegg.reaction:R00028;http://identifiers.org/bigg.reaction:MALT;http://identifiers.org/bigg.reaction:MALTe;http://identifiers.org/bigg.reaction:MALTly;http://identifiers.org/biocyc:META:RXN-15910;http://identifiers.org/metanetx.reaction:MNXR101350	MNXR101350	rxn00022	R00028	MALT;MALTe;MALTly	RXN-15910	|GLYCOCAT-PWY|	glycogen degradation I	false	50	0	1	0	AMYLOMALT-RXN RXN0-5183 PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN
rxn00029_Shan	"cpd00338[c0],cpd00001[c0],cpd00067[c0],cpd00689[c0]"	"5-Aminolevulinate[c0],H2O[c0],H+[c0],Porphobilinogen[c0]"	"-2,2,1,1"	"1,1,1,1"	rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	0	1000	rxn00029_c0	scaffold_8411_1715:846	PORPHOBILSYNTH-RXN	porphobilinogen synthase	4.2.1.24	UniRef90_O67876	51.034	6.93e-93	299	87	scaffold_8411	1715	846	|PWY-5188|	good_blast	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.24;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	true	83	0	0	0	OHMETHYLBILANESYN-RXN PORPHOBILSYNTH-RXN GSAAMINOTRANS-RXN GLUTRNAREDUCT-RXN GLURS-RXN
rxn00032_Shan	"cpd00007[c0],cpd00098[c0],cpd00001[c0],cpd00447[c0]"	"O2[c0],Choline[c0],H2O[c0],Betaine aldehyde[c0]"	"-1,-2,2,2"	"1,1,1,1"	rxn00032	Choline:oxygen 1-oxidoreductase	FALSE	0	1000	rxn00032_c0	scaffold_1756_46904:45291	CHOLINE-OXIDASEII-RXN	Betaine aldehyde oxidase	1.1.3.17	UniRef90_Q7X2H8	36.396	3.49e-77	262	95	scaffold_1756	46904	45291	|PWY-3721|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.3.17;http://identifiers.org/seed.reaction:rxn00032;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|PWY-3721|	choline degradation II	true	100	0	0	0	CHOLINE-OXIDASEII-RXN CHOLINE-OXIDASE-RXN
