react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
rxn00003_c0	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1]))	((contig_1_673424:672204))	rxn00003	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	tr|Q0KCU4|Q0KCU4_CUPNH	59.902	8.35e-153	483	70	contig_1	673424	672204	|ILEUSYN-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA
rxn00006_c0	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	FALSE	NA	NA	0	1000	0	x[1]	contig_1_303630:302281	rxn00006	CATAL-RXN	catalase	1.11.1.6/1.11.1.21	NA	UniRef90_P0A327	65.789	0	624	91	contig_1	303630	302281	|DETOX1-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.11.1.6;http://identifiers.org/ec-code:1.11.1.21;http://identifiers.org/seed.reaction:rxn00006;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00006;http://identifiers.org/kegg.reaction:R00009;http://identifiers.org/bigg.reaction:CAT;http://identifiers.org/bigg.reaction:CATm;http://identifiers.org/bigg.reaction:CATp;http://identifiers.org/biocyc:META:CATAL-RXN;http://identifiers.org/metanetx.reaction:MNXR96455	MNXR96455	rxn00006	R00009	CAT;CATm;CATp	CATAL-RXN
rxn00011_c0	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1]))	((contig_1_673424:672204))	rxn00011	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	tr|Q0KCU4|Q0KCU4_CUPNH	59.902	8.35e-153	483	70	contig_1	673424	672204	|ILEUSYN-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	NA	NA	0	1000	0	x[1]	contig_1_638059:637130	rxn00029	PORPHOBILSYNTH-RXN	porphobilinogen synthase	4.2.1.24	NA	UniRef90_O84638	45.338	2.43e-83	271	91	contig_1	638059	637130	|PWY-5188|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.24;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN
rxn00032_c0	Choline:oxygen 1-oxidoreductase	FALSE	NA	NA	0	1000	0	x[1] | x[2]	contig_1_292882:294459 | contig_1_1270761:1272320	rxn00032	CHOLINE-OXIDASEII-RXN	Betaine aldehyde oxidase	1.1.3.17	NA	UniRef90_Q7X2H8	31.712	3.02e-65	227	94	contig_1	292885	294459	|PWY-3721|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.3.17;http://identifiers.org/seed.reaction:rxn00032;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00062_c0	ATP phosphohydrolase	FALSE	NA	NA	0	1000	0	((x[1]) & (x[2] | x[3]) & (x[4]) & (x[5] | x[6]) & (x[7] | x[8] | x[9] | x[10] | x[11] | x[12] | x[13])) | x[14]	((contig_1_834203:832692) & (contig_1_827591:826857 | contig_1_826743:826255) & (contig_1_829178:828612) & (contig_1_543071:544099 | contig_1_1918096:1919154) & (contig_1_423686:425692 | contig_1_887655:889283 | contig_1_1044019:1045092 | contig_1_1189799:1190536 | contig_1_87643:88341 | contig_1_23007:22255 | contig_1_1996528:1997232)) | contig_1_1912121:1911228	rxn00062	ATPSYN-RXN	ATP synthase	7.1.2.2/3.6.3.14	NA	UniRef50_A0A0K2SPI9	55.754	2.85e-178	552	98	contig_1	834203	832692	|PWY-7980|	good_blast	full	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.1.2.2;http://identifiers.org/ec-code:3.6.3.14;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/kegg.reaction:R00086;http://identifiers.org/bigg.reaction:ATPM;http://identifiers.org/bigg.reaction:ATPPHm;http://identifiers.org/bigg.reaction:ATPS;http://identifiers.org/bigg.reaction:NTP1;http://identifiers.org/biocyc:META:ATPASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96131	MNXR96131	rxn00062	R00086	ATPM;ATPPHm;ATPS;NTP1	ATPASE-RXN
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	TRUE	NA	NA	-1000	1000	0	((x[1]))	((contig_1_399198:400532))	rxn00069	GLUTAMATE-SYNTHASE-NADH-RXN	glutamate synthase (NADH-dependent)	1.4.1.14	NA	UniRef50_A0A0X1SKJ5	56	8.16e-162	503	93	contig_1	399198	400532	|GLUGLNSYN-PWY|	good_blast	full	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.14;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/kegg.reaction:R00093;http://identifiers.org/bigg.reaction:GLUS;http://identifiers.org/bigg.reaction:GLUSx;http://identifiers.org/biocyc:META:GLUTAMATE-SYNTHASE-NADH-RXN;http://identifiers.org/metanetx.reaction:MNXR100289	MNXR100289	rxn00069	R00093	GLUS;GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN
rxn00070_c0	glutathione:NAD+ oxidoreductase	TRUE	NA	NA	-1000	1000	0	x[1]	contig_1_1490600:1491850	rxn00070	GLUTATHIONE-REDUCT-NADPH-RXN	glutathione reductase	1.8.1.7/1.6.4.2	NA	UniRef90_P06715	36.19	9.55e-82	271	93	contig_1	1490606	1491850	|PWY-4081|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.1.7;http://identifiers.org/ec-code:1.6.4.2;http://identifiers.org/seed.reaction:rxn00070;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00070;http://identifiers.org/kegg.reaction:R00094;http://identifiers.org/bigg.reaction:GDR;http://identifiers.org/bigg.reaction:GDRh;http://identifiers.org/bigg.reaction:GDRm;http://identifiers.org/bigg.reaction:r0021;http://identifiers.org/bigg.reaction:r0022;http://identifiers.org/metanetx.reaction:MNXR100097	MNXR100097	rxn00070	R00094	GDR;GDRh;GDRm;r0021;r0022	NA
rxn00076_c0	NAD+ phosphohydrolase	FALSE	NA	NA	0	1000	0	x[1] | x[2]	contig_1_1803502:1803050 | contig_1_850479:849928	rxn00076	DUTP-PYROP-RXN	deoxyuridine 5'-triphosphate nucleotidohydrolase	3.6.1.23/3.6.1.9/3.6.1.19	NA	UniRef90_Q5QZB6	56.291	2.71e-55	182	99	contig_1	1803502	1803050	|PWY-7184|	bad_blast	keyenzyme	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.6.1.23;http://identifiers.org/ec-code:3.6.1.9;http://identifiers.org/ec-code:3.6.1.19;http://identifiers.org/seed.reaction:rxn00076;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00076;http://identifiers.org/kegg.reaction:R00103;http://identifiers.org/bigg.reaction:NADDP;http://identifiers.org/bigg.reaction:NADDPe;http://identifiers.org/bigg.reaction:NADDPp;http://identifiers.org/bigg.reaction:NPH;http://identifiers.org/biocyc:META:NADPYROPHOSPHAT-RXN;http://identifiers.org/metanetx.reaction:MNXR101861	MNXR101861	rxn00076	R00103	NADDP;NADDPe;NADDPp;NPH	NADPYROPHOSPHAT-RXN
rxn00077_c0	ATP:NAD+ 2'-phosphotransferase	FALSE	NA	NA	0	1000	0	x[1]	contig_1_356501:357217	rxn00077	NAD-KIN-RXN	NAD kinase	2.7.1.23	NA	UniRef90_Q3SHA5	46.25	2.71e-63	212	82	contig_1	356501	357217	|NADPHOS-DEPHOS-PWY-1|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.23;http://identifiers.org/seed.reaction:rxn00077;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00077;http://identifiers.org/kegg.reaction:R00104;http://identifiers.org/bigg.reaction:NADK;http://identifiers.org/bigg.reaction:NADKm;http://identifiers.org/biocyc:META:NAD-KIN-RXN;http://identifiers.org/metanetx.reaction:MNXR101882	MNXR101882	rxn00077	R00104	NADK;NADKm	NAD-KIN-RXN
