target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	rxn00182_Shan	"cpd00001[c0],cpd00003[c0],cpd00023[c0],cpd00004[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NAD[c0],L-Glutamate[c0],NADH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00182_c0		GLUTAMATE-DEHYDROGENASE-RXN	glutamate dehydrogenase (NAD-dependent)	1.4.1.2		NA	NA	NA	NA		NA	NA	|P162-PWY|	no_blast	threshold	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.2;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/kegg.reaction:R00243;http://identifiers.org/bigg.reaction:GDH;http://identifiers.org/bigg.reaction:GDH1;http://identifiers.org/bigg.reaction:GDHm;http://identifiers.org/bigg.reaction:GLUDxi;http://identifiers.org/biocyc:META:GLUTAMATE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR100085	MNXR100085	rxn00182	R00243	GDH;GDH1;GDHm;GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN	|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	true	80	0	0	0	KETOGLUTREDUCT-RXN RXN-1083 RXN-1082 R11-RXN RXN-11667 RXN-11662 ACETYL-COA-ACETYLTRANSFER-RXN RXN-16834
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	-1000	rxn00184_Shan	"cpd00001[c0],cpd00006[c0],cpd00023[c0],cpd00005[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NADP[c0],L-Glutamate[c0],NADPH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00184_c0	((scaffold_7043_6419:4977))	rxn00184	NADP-specific glutamate dehydrogenase	1.4.1.4		NA	NA	NA	NA		NA	NA	seed.pwy57	no_blast	threshold	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.4;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/kegg.reaction:R00248;http://identifiers.org/bigg.reaction:GDH_nadp;http://identifiers.org/bigg.reaction:GLUDy;http://identifiers.org/bigg.reaction:GLUDyi;http://identifiers.org/bigg.reaction:GLUDym;http://identifiers.org/biocyc:META:GLUTDEHYD-RXN;http://identifiers.org/metanetx.reaction:MNXR100086	MNXR100086	rxn00184	R00248	GDH_nadp;GLUDy;GLUDyi;GLUDym	GLUTDEHYD-RXN	seed.pwy57	Proline Synthesis	true	83	0	0	0	rxn02373 rxn00179 rxn00931 rxn00929 rxn00929
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	-2.03540887849443e-14	rxn00456_Shan	"cpd00001[c0],cpd00060[c0],cpd00013[c0],cpd00094[c0],cpd00324[c0]"	"H2O[c0],L-Methionine[c0],NH3[c0],2-Oxobutyrate[c0],MTTL[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00456	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	FALSE	0	1000	rxn00456_c0	scaffold_1493_28722:29996 | scaffold_1756_44690:43434 | scaffold_3300_3870:4994 | scaffold_527_2941:1808	RXN-11064	RXN-11064	4.4.1.11	UniRef90_A0A0J6G7P5	45.128	4.83e-93	302	97	scaffold_3300	3870	4994	|PWY-6931|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.4.1.11;http://identifiers.org/seed.reaction:rxn00456;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00456;http://identifiers.org/kegg.reaction:R00654;http://identifiers.org/bigg.reaction:METGL;http://identifiers.org/biocyc:META:METHIONINE-GAMMA-LYASE-RXN;http://identifiers.org/metanetx.reaction:MNXR101474	MNXR101474	rxn00456	R00654	METGL	METHIONINE-GAMMA-LYASE-RXN	|PWY-6931|	seleno-amino acid detoxification and volatilization I	false	50	0	0	0	RXN-11064
rxn00654_c0	N-Carbamoyl-beta-alanine amidohydrolase	3.47508360055646e-13	rxn00654_Shan	"cpd00001[c0],cpd00067[c0],cpd01720[c0],cpd00011[c0],cpd00013[c0],cpd00085[c0]"	"H2O[c0],H+[c0],3-Ureidopropanoate[c0],CO2[c0],NH3[c0],beta-Alanine[c0]"	"-1,-2,-1,1,1,1"	"1,1,1,1,1,1"	rxn00654	N-Carbamoyl-beta-alanine amidohydrolase	FALSE	0	1000	rxn00654_c0	scaffold_1270_11098:9857 | scaffold_1493_30762:31574 | scaffold_2716_17828:19072	BETA-UREIDOPROPIONASE-RXN	beta-alanine synthase	3.5.1.6	UniRef50_A0A085J983	44.471	1.73e-115	368	98	scaffold_2716	17828	19072	|PWY-3982|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.1.6;http://identifiers.org/seed.reaction:rxn00654;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00654;http://identifiers.org/kegg.reaction:R00905;http://identifiers.org/bigg.reaction:BUPN;http://identifiers.org/bigg.reaction:UPPN;http://identifiers.org/biocyc:META:BETA-UREIDOPROPIONASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96347	MNXR96347	rxn00654	R00905	BUPN;UPPN	BETA-UREIDOPROPIONASE-RXN	|PWY-3982|	uracil degradation I (reductive)	true	100	0	0	0	1.3.1.2-RXN DIHYDROPYRIMIDINASE-RXN BETA-UREIDOPROPIONASE-RXN
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	1000	rxn00804_Shan	"cpd00001[c0],cpd00003[c0],cpd00107[c0],cpd00004[c0],cpd00013[c0],cpd00067[c0],cpd00200[c0]"	"H2O[c0],NAD[c0],L-Leucine[c0],NADH[c0],NH3[c0],H+[c0],4MOP[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00804	L-leucine:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00804_c0		R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	1.4.1.9		NA	NA	NA	NA		NA	NA	map00280	no_seq_data	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.9;http://identifiers.org/seed.reaction:rxn00804;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00804;http://identifiers.org/kegg.reaction:R01088;http://identifiers.org/bigg.reaction:LLEUDr;http://identifiers.org/biocyc:META:LEUCINE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR101096	MNXR101096	rxn00804	R01088	LLEUDr	LEUCINE-DEHYDROGENASE-RXN	map00280	Valine, leucine and isoleucine degradation	true	86	8	0	0	R04203 R02047 R05066 R00705 R00264 R01702 R02661 R04095 R02661 R00209 R00391 R03174 R00927 R04187 R04188 R01214 R01214 R03158 R08090 R03224 R02085 R01357 R08924 R04138
rxn00926_c0	Adenine aminohydrolase	-2.27373675443233e-13	rxn00926_Shan	"cpd00001[c0],cpd00067[c0],cpd00128[c0],cpd00013[c0],cpd00226[c0]"	"H2O[c0],H+[c0],Adenine[c0],NH3[c0],HYXN[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn00926	Adenine aminohydrolase	FALSE	0	1000	rxn00926_c0	scaffold_1042_25473:24481 | scaffold_1042_26541:25552 | scaffold_1042_32557:31736 | scaffold_527_5760:6812	ADENINE-DEAMINASE-RXN	adenine deaminase	3.5.4.2	UniRef90_A5G460	54.819	5.54e-110	349	96	scaffold_1042	25473	24481	|PWY-6610|	good_blast	keyenzyme	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.2;http://identifiers.org/seed.reaction:rxn00926;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00926;http://identifiers.org/kegg.reaction:R01244;http://identifiers.org/bigg.reaction:ADD;http://identifiers.org/biocyc:META:ADENINE-DEAMINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR95443	MNXR95443	rxn00926	R01244	ADD	ADENINE-DEAMINASE-RXN	|PWY-6610|	adenine salvage	true	66	0	1	1	HYPOXANPRIBOSYLTRAN-RXN ADENINE-DEAMINASE-RXN
rxn01217_c0	dCMP aminohydrolase	4.02945496418369e-13	rxn01217_Shan	"cpd00001[c0],cpd00067[c0],cpd00206[c0],cpd00013[c0],cpd00299[c0]"	"H2O[c0],H+[c0],dCMP[c0],NH3[c0],dUMP[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn01217	dCMP aminohydrolase	FALSE	0	1000	rxn01217_c0	scaffold_3610_60024:61352	DCMP-DEAMINASE-RXN	deoxycytidylate deaminase	3.5.4.12	UniRef50_A0A1E4ZVC2	32.836	9.79e-51	184	85	scaffold_3610	60024	61352	|PWY-7210|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.12;http://identifiers.org/seed.reaction:rxn01217;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01217;http://identifiers.org/kegg.reaction:R01663;http://identifiers.org/bigg.reaction:DCMPDA;http://identifiers.org/biocyc:META:DCMP-DEAMINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR97185	MNXR97185	rxn01217	R01663	DCMPDA	DCMP-DEAMINASE-RXN	|PWY-7210|	pyrimidine deoxyribonucleotides biosynthesis from CTP	false	62	0	1	1	DCDPKIN-RXN DTMPKI-RXN DTDPKIN-RXN CDPREDUCT-RXN DCMP-DEAMINASE-RXN
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	1000	rxn01573_Shan	"cpd00001[c0],cpd00003[c0],cpd00322[c0],cpd00004[c0],cpd00013[c0],cpd00067[c0],cpd00508[c0]"	"H2O[c0],NAD[c0],L-Isoleucine[c0],NADH[c0],NH3[c0],H+[c0],3MOP[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn01573	L-Isoleucine:NAD+ oxidoreductase(deaminating)	TRUE	-1000	1000	rxn01573_c0		R00145	alpha-amino acid:NAD+ oxidoreductase (deaminating)	1.4.1.9		NA	NA	NA	NA		NA	NA	map00280	no_seq_data	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.9;http://identifiers.org/seed.reaction:rxn01573;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01573;http://identifiers.org/kegg.reaction:R02196;http://identifiers.org/biocyc:META:ILEDEAMINE-RXN;http://identifiers.org/metanetx.reaction:MNXR107368	MNXR107368	rxn01573	R02196	NA	ILEDEAMINE-RXN	map00280	Valine, leucine and isoleucine degradation	true	86	8	0	0	R04203 R02047 R05066 R00705 R00264 R01702 R02661 R04095 R02661 R00209 R00391 R03174 R00927 R04187 R04188 R01214 R01214 R03158 R08090 R03224 R02085 R01357 R08924 R04138
rxn03839_c0	R05551	-9.46633086265214e-30	rxn03839_Shan	"cpd00013[c0],cpd00400[c0],cpd00001[c0],cpd01150[c0]"	"NH3[c0],Acrylate[c0],H2O[c0],Acrylamide[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn03839	R05551	TRUE	-1000	0	rxn03839_c0	scaffold_1042_68463:67114 | scaffold_1270_13009:14385 | scaffold_18661_6741:8072 | scaffold_2352_6787:5411 | scaffold_2716_44789:46126	GUANIDINOBUTANAMIDE-NH3-RXN	guanidinobutyramidase	3.5.1.4	UniRef90_K9NBS6	33.117	3.26e-54	193	96	scaffold_1042	68463	67114	|ARGDEG-V-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.1.4;http://identifiers.org/seed.reaction:rxn03839;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn03839;http://identifiers.org/kegg.reaction:R05551;http://identifiers.org/bigg.reaction:AMID5;http://identifiers.org/biocyc:META:R311-RXN;http://identifiers.org/metanetx.reaction:MNXR95816	MNXR95816	rxn03839	R05551	AMID5	R311-RXN	|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	33	0	1	0	GUANIDINOBUTANAMIDE-NH3-RXN
rxn05466_c0	TRANS-RXN-173.ce	-3.88679024544415e-13	rxn05466_Shan	"cpd00013[e0],cpd00013[c0]"	"NH3[e0],NH3[c0]"	"-1,1"	"2,1"	rxn05466	TRANS-RXN-173.ce	TRUE	-1000	1000	rxn05466_c0	scaffold_1270_8423:7182	gnl|TC-DB|Q93IP6|1.A.11.2.3	transport-1.A.11.2.3-ammonia	NA	gnl|TC-DB|Q93IP6|1.A.11.2.3	41.026	3.47e-76	257	85	scaffold_1270	8423	7182	NA	good_blast	NA	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/SBO:0000185;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/bigg.reaction:NH4t;http://identifiers.org/bigg.reaction:NH4tex;http://identifiers.org/bigg.reaction:NH4ti;http://identifiers.org/bigg.reaction:NH4tm;http://identifiers.org/bigg.reaction:NH4tn;http://identifiers.org/bigg.reaction:NH4tp;http://identifiers.org/bigg.reaction:NH4tpp;http://identifiers.org/biocyc:META:RXN-9615;http://identifiers.org/biocyc:META:TRANS-RXN0-206;http://identifiers.org/biocyc:META:TRANS-RXN0-544;http://identifiers.org/metanetx.reaction:MNXR101950	MNXR101950	rxn05466	NA	NH4t;NH4tex;NH4ti;NH4tm;NH4tn;NH4tp;NH4tpp	RXN-9615;TRANS-RXN0-206;TRANS-RXN0-544	NA
