react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
rxn00003_c0	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1]) & (x[2]))	((contig_16_1102198:1103424) & (contig_16_2005801:2007417))	rxn00003	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	UniRef50_Q7NGT4	38.628	6.05e-111	360	98	contig_16	2005801	2007417	|ILEUSYN-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA
rxn00011_c0	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1]) & (x[2]))	((contig_16_1102198:1103424) & (contig_16_2005801:2007417))	rxn00011	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	UniRef50_Q7NGT4	38.628	6.05e-111	360	98	contig_16	2005801	2007417	|ILEUSYN-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	TRUE	NA	NA	-1000	1000	0	((x[1]))	((contig_16_914733:916091))	rxn00069	GLUTAMATE-SYNTHASE-NADH-RXN	glutamate synthase (NADH-dependent)	1.4.1.14	NA	UniRef50_A0A0P0USZ5	42.953	1.38e-113	365	92	contig_16	914748	916070	|GLUGLNSYN-PWY|	good_blast	full	Subunit 2	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.14;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00069;http://identifiers.org/kegg.reaction:R00093;http://identifiers.org/bigg.reaction:GLUS;http://identifiers.org/bigg.reaction:GLUSx;http://identifiers.org/biocyc:META:GLUTAMATE-SYNTHASE-NADH-RXN;http://identifiers.org/metanetx.reaction:MNXR100289	MNXR100289	rxn00069	R00093	GLUS;GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN
rxn00083_c0	NADPH:NAD+ oxidoreductase	TRUE	NA	NA	-1000	1000	0	((x[1]))	((contig_16_186259:185156))	rxn00083	PYRNUTRANSHYDROGEN-RXN	NAD(P) transhydrogenase	1.6.1.2/1.6.1.3/1.6.1.1	NA	UniRef50_A0A073CJV6	39.257	1.52e-69	234	95	contig_16	186283	185177	|PWY-5083|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.6.1.2;http://identifiers.org/ec-code:1.6.1.3;http://identifiers.org/ec-code:1.6.1.1;http://identifiers.org/seed.reaction:rxn00083;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00083;http://identifiers.org/kegg.reaction:R00112;http://identifiers.org/bigg.reaction:NADTRHD;http://identifiers.org/bigg.reaction:NNOR;http://identifiers.org/biocyc:META:PYRNUTRANSHYDROGEN-RXN;http://identifiers.org/metanetx.reaction:MNXR101898	MNXR101898	rxn00083	R00112	NADTRHD;NNOR	PYRNUTRANSHYDROGEN-RXN
rxn00088_c0	NADP+ 2'-phosphohydrolase	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1579823:1581712	rxn00088	ACID-PHOSPHATASE-RXN	purple acid phosphatase	3.1.3.2	NA	tr|B0VHT6|B0VHT6_CLOAI	27.959	8.16e-57	209	79	contig_16	1579823	1581712	|PWY-6348|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.1.3.2;http://identifiers.org/seed.reaction:rxn00088;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00088;http://identifiers.org/kegg.reaction:R00118;http://identifiers.org/bigg.reaction:N2PH;http://identifiers.org/bigg.reaction:NADPPPS;http://identifiers.org/bigg.reaction:NADPPPSm;http://identifiers.org/biocyc:META:RXN-5822;http://identifiers.org/metanetx.reaction:MNXR101798	MNXR101798	rxn00088	R00118	N2PH;NADPPPS;NADPPPSm	RXN-5822
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1658315:1660051	rxn00138	NAD-SYNTH-GLN-RXN	glutamine-dependent NAD synthase	6.3.5.1	NA	UniRef90_O67091	36.102	4.76e-100	329	99	contig_16	1658315	1660051	|PWY3O-4107|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.5.1;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/kegg.reaction:R00189;http://identifiers.org/bigg.reaction:NADS1;http://identifiers.org/bigg.reaction:NADS1m;http://identifiers.org/bigg.reaction:NADS1n;http://identifiers.org/biocyc:META:NAD-SYNTH-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR101897	MNXR101897	rxn00138	R00189	NADS1;NADS1m;NADS1n	NAD-SYNTH-NH3-RXN
rxn00141_c0	S-Adenosyl-L-homocysteine hydrolase	TRUE	NA	NA	-1000	1000	0	x[1]	contig_16_2016163:2014757	rxn00141	ADENOSYLHOMOCYSTEINASE-RXN	S-adenosylhomocysteine hydrolase	3.3.1.1	NA	UniRef90_A4SF77	53.04	5.79e-156	486	98	contig_16	2016163	2014757	|METHIONINE-DEG1-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.3.1.1;http://identifiers.org/seed.reaction:rxn00141;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00141;http://identifiers.org/kegg.reaction:R00192;http://identifiers.org/bigg.reaction:ADSHm;http://identifiers.org/bigg.reaction:AHCi;http://identifiers.org/biocyc:META:ADENOSYLHOMOCYSTEINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR95492	MNXR95492	rxn00141	R00192	ADSHm;AHCi	ADENOSYLHOMOCYSTEINASE-RXN
rxn00154_c0	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	FALSE	NA	NA	0	1000	0	x[1]	contig_16_1815521:1816879	rxn00154	RXN-8629	lipoamide dehydrogenase	1.8.1.4/1.6.4.3	NA	UniRef90_P31046	34.454	1.61e-61	213	97	contig_16	1815521	1816879	|GLYCINE-SYN2-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.1.4;http://identifiers.org/ec-code:1.6.4.3;http://identifiers.org/seed.reaction:rxn00154;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00154;http://identifiers.org/kegg.reaction:R00209;http://identifiers.org/bigg.reaction:PDH;http://identifiers.org/bigg.reaction:PDHm;http://identifiers.org/biocyc:META:PYRUVDEH-RXN;http://identifiers.org/metanetx.reaction:MNXR102425	MNXR102425	rxn00154	R00209	PDH;PDHm	PYRUVDEH-RXN
rxn00161_c0	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	FALSE	NA	NA	0	1000	0	((x[1]))	((contig_16_961346:959106))	rxn00161	MALIC-NADP-RXN	malate dehydrogenase	1.1.1.40	NA	sp|P76558|MAO2_ECOLI	30.75	2.52e-70	248	99	contig_16	961346	959106	|GLUCONEO-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.1.40;http://identifiers.org/seed.reaction:rxn00161;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00161;http://identifiers.org/kegg.reaction:R00216;http://identifiers.org/bigg.reaction:MDHC_nadp_hr;http://identifiers.org/bigg.reaction:ME2;http://identifiers.org/bigg.reaction:ME2m;http://identifiers.org/biocyc:META:MALIC-NADP-RXN;http://identifiers.org/metanetx.reaction:MNXR101443	MNXR101443	rxn00161	R00216	MDHC_nadp_hr;ME2;ME2m	MALIC-NADP-RXN
rxn00162_c0	oxaloacetate carboxy-lyase (pyruvate-forming)	FALSE	NA	NA	0	1000	0	((x[1]))	((contig_16_961346:959106))	rxn00162	MALIC-NADP-RXN	malate dehydrogenase	1.1.1.40	NA	sp|P76558|MAO2_ECOLI	30.75	2.52e-70	248	99	contig_16	961346	959106	|GLUCONEO-PWY|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.1.40;http://identifiers.org/seed.reaction:rxn00162;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00162;http://identifiers.org/kegg.reaction:R00217;http://identifiers.org/bigg.reaction:OAADC;http://identifiers.org/biocyc:META:OXALODECARB-RXN;http://identifiers.org/metanetx.reaction:MNXR102097	MNXR102097	rxn00162	R00217	OAADC	OXALODECARB-RXN
