# gapseq version: 1.2 c1e35b7c
# Transporter sequence DB md5sum: b99a77e (2022-08-26)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	36.612	5.56e-28	108	91	contig_16	458605	458075	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	40.909	3.5	21.6	72	contig_16	393736	393852	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	40.909	3.5	21.6	72	contig_16	393736	393852	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	32.086	5.53e-24	97.1	71	contig_16	612211	612759	transporter
gnl|TC-DB|Q5QRI8|1.A.53.1.1	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q5QRI8|1.A.53.1.1	27.660	6.8	20.8	70	contig_16	833259	833399	transporter
gnl|TC-DB|C6L855|1.A.98.1.1	1.A.98.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|C6L855|1.A.98.1.1	28.986	3.0	22.7	79	contig_16	917128	917307	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	36.170	5.6	20.8	88	contig_16	956456	956340	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	30.769	0.091	25.4	75	contig_16	1913174	1913058	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	33.333	6.5	20.4	75	contig_16	1175730	1175605	transporter
gnl|TC-DB|Q9NJC6|1.C.47.3.2	1.C.47.3.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9NJC6|1.C.47.3.2	18.056	5.2	22.3	80	contig_16	420262	420477	transporter
gnl|TC-DB|P53157|2.A.105.1.1	2.A.105.1.1	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P53157|2.A.105.1.1	24.731	7.0	22.7	70	contig_16	517266	517018	transporter
