Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00011_Shan	"cpd00011[c0],cpd03049[c0],cpd00020[c0],cpd00056[c0],cpd00067[c0]"	"CO2[c0],2-Hydroxyethyl-ThPP[c0],Pyruvate[c0],TPP[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	-1000	0	rxn00011_c0	((contig_1_1012752:1014416))	RXN-6161	pyruvate decarboxylase	4.1.1.1	UniRef50_A0A158GGJ3	27.223	3.57e-56	202	87	contig_1	1012770	1014368	|PWY3O-440|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.1;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583	|PWY3O-440|	pyruvate fermentation to acetoin III	false	33	1	0	0	RXN-6161
rxn00015_Shan	"cpd00118[c0],cpd00013[c0],cpd03802[c0]"	"Putrescine[c0],NH3[c0],Homospermidine[c0]"	"-2,1,1"	"1,1,1"	rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	TRUE	-1000	1000	rxn00015_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00015;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00015;http://identifiers.org/kegg.reaction:R00018;http://identifiers.org/bigg.reaction:HSPMS;http://identifiers.org/biocyc:META:2.5.1.44-RXN;http://identifiers.org/metanetx.reaction:MNXR100740	MNXR100740	rxn00015	R00018	HSPMS	2.5.1.44-RXN	NA
rxn00029_Shan	"cpd00338[c0],cpd00001[c0],cpd00067[c0],cpd00689[c0]"	"5-Aminolevulinate[c0],H2O[c0],H+[c0],Porphobilinogen[c0]"	"-2,2,1,1"	"1,1,1,1"	rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	0	1000	rxn00029_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN	NA
rxn00058_Shan	"cpd00007[c0],cpd00067[c0],cpd00110[c0],cpd00001[c0],cpd00109[c0]"	"O2[c0],H+[c0],Cytochrome c2+[c0],H2O[c0],Cytochrome c3+[c0]"	"-1,-4,-4,2,4"	"1,1,1,1,1"	rxn00058	Ferrocytochrome-c:oxygen oxidoreductase	FALSE	0	1000	rxn00058_c0	contig_1_300929:299439	RXN1YI0-22	plastocyanin oxidase	7.1.1.9	UniRef90_P33518	41.27	3.54e-114	371	84	contig_1	300929	299439	|PWY1YI0-3|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.1.1.9;http://identifiers.org/seed.reaction:rxn00058;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|PWY1YI0-3|	aerobic respiration (NDH-1 to cytochrome c oxidase via plastocyanin)	true	100	0	0	0	NADH-PQ-DEHYDROG-RXN PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN RXN1YI0-22
rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0	contig_1_846751:847554	OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	UniRef90_A9A1A1	53.903	1.85e-96	308	86	contig_1	846751	847554	|PWY-5188|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	false	50	0	0	0	OHMETHYLBILANESYN-RXN GSAAMINOTRANS-RXN GLUTRNAREDUCT-RXN
rxn00062_Shan	"cpd00001[c0],cpd00002[c0],cpd00008[c0],cpd00009[c0],cpd00067[c0]"	"H2O[c0],ATP[c0],ADP[c0],Phosphate[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00062	ATP phosphohydrolase	FALSE	0	1000	rxn00062_c0	((contig_1_455419:456324) & (contig_1_452873:452274) & (contig_1_460812:461828)) | contig_1_888386:889363 | contig_1_160079:160849	ATPSYN-RXN	ATP synthase	7.1.2.2/3.6.3.14	UniRef50_A0A075FZ90	51.312	1.79e-109	347	98	contig_1	460815	461840	|PWY-7980|	good_blast	full	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:7.1.2.2;http://identifiers.org/ec-code:3.6.3.14;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00062;http://identifiers.org/kegg.reaction:R00086;http://identifiers.org/bigg.reaction:ATPM;http://identifiers.org/bigg.reaction:ATPPHm;http://identifiers.org/bigg.reaction:ATPS;http://identifiers.org/bigg.reaction:NTP1;http://identifiers.org/biocyc:META:ATPASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96131	MNXR96131	rxn00062	R00086	ATPM;ATPPHm;ATPS;NTP1	ATPASE-RXN	|PWY-7980|	ATP biosynthesis	true	100	0	0	0	ATPSYN-RXN
rxn00076_Shan	"cpd00001[c0],cpd00003[c0],cpd00018[c0],cpd00067[c0],cpd00355[c0]"	"H2O[c0],NAD[c0],AMP[c0],H+[c0],Nicotinamide ribonucleotide[c0]"	"-1,-1,1,2,1"	"1,1,1,1,1"	rxn00076	NAD+ phosphohydrolase	FALSE	0	1000	rxn00076_c0	contig_1_320951:320379	DUTP-PYROP-RXN	dUTP diphosphatase	3.6.1.23/3.6.1.9/3.6.1.19	UniRef50_A0A075GZU4	50.521	3.24e-61	201	100	contig_1	320951	320379	|PWY-6545|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.6.1.23;http://identifiers.org/ec-code:3.6.1.9;http://identifiers.org/ec-code:3.6.1.19;http://identifiers.org/seed.reaction:rxn00076;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00076;http://identifiers.org/kegg.reaction:R00103;http://identifiers.org/bigg.reaction:NADDP;http://identifiers.org/bigg.reaction:NADDPe;http://identifiers.org/bigg.reaction:NADDPp;http://identifiers.org/bigg.reaction:NPH;http://identifiers.org/biocyc:META:NADPYROPHOSPHAT-RXN;http://identifiers.org/metanetx.reaction:MNXR101861	MNXR101861	rxn00076	R00103	NADDP;NADDPe;NADDPp;NPH	NADPYROPHOSPHAT-RXN	|PWY-6545|	pyrimidine deoxyribonucleotides de novo biosynthesis III	false	33	0	1	0	DUTP-PYROP-RXN UDPREDUCT-RXN CDPREDUCT-RXN
rxn00078_Shan	"cpd00002[c0],cpd00004[c0],cpd00005[c0],cpd00008[c0],cpd00067[c0]"	"ATP[c0],NADH[c0],NADPH[c0],ADP[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00078	ATP:NADH 2'-phosphotransferase	FALSE	0	1000	rxn00078_c0	contig_1_75093:75905 | contig_1_1416853:1415885	NADH-KINASE-RXN	NADH kinase	2.7.1.86/2.7.1.96	UniRef50_A0A075G9K5	68.635	3.28e-129	400	100	contig_1	75093	75905	|PWY-5083|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.86;http://identifiers.org/ec-code:2.7.1.96;http://identifiers.org/seed.reaction:rxn00078;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00078;http://identifiers.org/kegg.reaction:R00105;http://identifiers.org/biocyc:META:NADH-KINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR106390	MNXR106390	rxn00078	R00105	NA	NADH-KINASE-RXN	|PWY-5083|	NAD(P)/NADPH interconversion	false	50	1	0	0	NADH-DEHYDROG-A-RXN NADH-KINASE-RXN
rxn00097_Shan	"cpd00002[c0],cpd00018[c0],cpd00067[c0],cpd00008[c0]"	"ATP[c0],AMP[c0],H+[c0],ADP[c0]"	"-1,-1,-1,2"	"1,1,1,1"	rxn00097	ATP:AMP phosphotransferase	TRUE	-1000	1000	rxn00097_c0		ADENYL-KIN-RXN	AMP kinase	2.7.4.3	UniRef90_Q9HIT1	37.158	9.59e-33	119	97	contig_1	26574	26029	|PWY-7219|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.4.3;http://identifiers.org/seed.reaction:rxn00097;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00097;http://identifiers.org/kegg.reaction:R00127;http://identifiers.org/bigg.reaction:ADK1;http://identifiers.org/bigg.reaction:ADK1m;http://identifiers.org/bigg.reaction:ATAMh;http://identifiers.org/biocyc:META:ADENYL-KIN-RXN;http://identifiers.org/metanetx.reaction:MNXR95450	MNXR95450	rxn00097	R00127	ADK1;ADK1m;ATAMh	ADENYL-KIN-RXN	|PWY-7219|	adenosine ribonucleotides de novo biosynthesis	false	66	0	0	0	ADENYLOSUCCINATE-SYNTHASE-RXN AMPSYN-RXN
rxn00100_Shan	"cpd00002[c0],cpd00655[c0],cpd00008[c0],cpd00010[c0],cpd00067[c0]"	"ATP[c0],Dephospho-CoA[c0],ADP[c0],CoA[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	FALSE	0	1000	rxn00100_c0		DEPHOSPHOCOAKIN-RXN	dephospho-CoA kinase	2.7.1.24	UniRef50_A0A2H5VEW4	45.604	3.84e-52	175	97	contig_1	469966	469421	|COA-PWY|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.24;http://identifiers.org/seed.reaction:rxn00100;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00100;http://identifiers.org/kegg.reaction:R00130;http://identifiers.org/bigg.reaction:DPCOAK;http://identifiers.org/bigg.reaction:DPCOAKm;http://identifiers.org/biocyc:META:DEPHOSPHOCOAKIN-RXN;http://identifiers.org/metanetx.reaction:MNXR97762	MNXR97762	rxn00100	R00130	DPCOAK;DPCOAKm	DEPHOSPHOCOAKIN-RXN	|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	false	50	0	1	1	P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN
