target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00130739201726892	rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0	contig_1_846751:847554	OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	UniRef90_A9A1A1	53.903	1.85e-96	308	86	contig_1	846751	847554	|PWY-5188|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	false	50	0	0	0	OHMETHYLBILANESYN-RXN GSAAMINOTRANS-RXN GLUTRNAREDUCT-RXN
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000546372783802416	rxn00138_Shan	"cpd00002[c0],cpd00013[c0],cpd00638[c0],cpd00003[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],Deamido-NAD[c0],NAD[c0],PPi[c0],AMP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00138_c0	contig_1_350945:350202 | contig_1_798144:798731	NAD-SYNTH-NH3-RXN	NAD+ synthetase, NH3-dependent	6.3.1.5	UniRef90_A3DP41	44.177	3.03e-70	231	91	contig_1	350945	350202	|PWY-7761|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.1.5;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/kegg.reaction:R00189;http://identifiers.org/bigg.reaction:NADS1;http://identifiers.org/bigg.reaction:NADS1m;http://identifiers.org/bigg.reaction:NADS1n;http://identifiers.org/biocyc:META:NAD-SYNTH-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR101897	MNXR101897	rxn00138	R00189	NADS1;NADS1m;NADS1n	NAD-SYNTH-NH3-RXN	|PWY-7761|	NAD salvage pathway II (PNC IV cycle)	false	20	0	0	0	NAD-SYNTH-NH3-RXN
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	rxn00182_Shan	"cpd00001[c0],cpd00003[c0],cpd00023[c0],cpd00004[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NAD[c0],L-Glutamate[c0],NADH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00182_c0	contig_1_1281117:1279870	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	glutamate dehydrogenase	1.4.1.3	UniRef90_O59650	45.952	1.39e-109	350	98	contig_1	1281117	1279870	|ARGININE-SYN4-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.3;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00182;http://identifiers.org/kegg.reaction:R00243;http://identifiers.org/bigg.reaction:GDH;http://identifiers.org/bigg.reaction:GDH1;http://identifiers.org/bigg.reaction:GDHm;http://identifiers.org/bigg.reaction:GLUDxi;http://identifiers.org/biocyc:META:GLUTAMATE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR100085	MNXR100085	rxn00182	R00243	GDH;GDH1;GDHm;GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN	|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	false	25	0	0	0	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1.14353731349284	rxn00184_Shan	"cpd00001[c0],cpd00006[c0],cpd00023[c0],cpd00005[c0],cpd00013[c0],cpd00024[c0],cpd00067[c0]"	"H2O[c0],NADP[c0],L-Glutamate[c0],NADPH[c0],NH3[c0],2-Oxoglutarate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00184_c0	contig_1_1281117:1279870	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	glutamate dehydrogenase	1.4.1.3	UniRef90_O59650	45.952	1.39e-109	350	98	contig_1	1281117	1279870	|ARGININE-SYN4-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.4.1.3;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00184;http://identifiers.org/kegg.reaction:R00248;http://identifiers.org/bigg.reaction:GDH_nadp;http://identifiers.org/bigg.reaction:GLUDy;http://identifiers.org/bigg.reaction:GLUDyi;http://identifiers.org/bigg.reaction:GLUDym;http://identifiers.org/biocyc:META:GLUTDEHYD-RXN;http://identifiers.org/metanetx.reaction:MNXR100086	MNXR100086	rxn00184	R00248	GDH_nadp;GLUDy;GLUDyi;GLUDym	GLUTDEHYD-RXN	|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	false	25	0	0	0	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	0.308986046673171	rxn00187_Shan	"cpd00002[c0],cpd00013[c0],cpd00023[c0],cpd00008[c0],cpd00009[c0],cpd00053[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],L-Glutamate[c0],ADP[c0],Phosphate[c0],L-Glutamine[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00187	L-Glutamate:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00187_c0	contig_1_583154:584560	GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	UniRef90_O08467	34.855	1.86e-78	261	97	contig_1	583154	584560	|GLNSYN-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.1.2;http://identifiers.org/seed.reaction:rxn00187;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00187;http://identifiers.org/kegg.reaction:R00253;http://identifiers.org/bigg.reaction:GALh;http://identifiers.org/bigg.reaction:GALm;http://identifiers.org/bigg.reaction:GLNS;http://identifiers.org/biocyc:META:GLUTAMINESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100024	MNXR100024	rxn00187	R00253	GALh;GALm;GLNS	GLUTAMINESYN-RXN	|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN
rxn00347_c0	L-Aspartate ammonia-lyase	997.903002110176	rxn00347_Shan	"cpd00041[c0],cpd00013[c0],cpd00106[c0]"	"L-Aspartate[c0],NH3[c0],Fumarate[c0]"	"-1,1,1"	"1,1,1"	rxn00347	L-Aspartate ammonia-lyase	FALSE	0	1000	rxn00347_c0	contig_1_1241688:1240342	ASPARTASE-RXN	aspartate ammonia-lyase	4.3.1.1	UniRef50_A0A0B5FN48	40.889	6.68e-96	313	96	contig_1	1241688	1240342	|GLUTDEG-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.3.1.1;http://identifiers.org/seed.reaction:rxn00347;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00347;http://identifiers.org/kegg.reaction:R00490;http://identifiers.org/bigg.reaction:ASPT;http://identifiers.org/biocyc:META:ASPARTASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96099	MNXR96099	rxn00347	R00490	ASPT	ASPARTASE-RXN	|GLUTDEG-PWY|	L-glutamate degradation II	true	100	0	0	0	ASPAMINOTRANS-RXN ASPARTASE-RXN
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)	0.0697126501844157	rxn00737_Shan	"cpd00161[c0],cpd00013[c0],cpd00094[c0]"	"L-Threonine[c0],NH3[c0],2-Oxobutyrate[c0]"	"-1,1,1"	"1,1,1"	rxn00737	L-threonine ammonia-lyase (2-oxobutanoate-forming)	FALSE	0	1000	rxn00737_c0	((contig_1_1277985:1278539))	RXN-15122	threonine deaminase	4.3.1.19/4.2.1.16	UniRef50_A0A0N8P1V9	62.703	1.26e-70	228	92	contig_1	1277985	1278539	|ILEUSYN-PWY|	good_blast	threshold	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.3.1.19;http://identifiers.org/ec-code:4.2.1.16;http://identifiers.org/seed.reaction:rxn00737;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00737;http://identifiers.org/kegg.reaction:R00996;http://identifiers.org/bigg.reaction:TAL;http://identifiers.org/bigg.reaction:THRD_L;http://identifiers.org/bigg.reaction:THRD_Lm;http://identifiers.org/biocyc:META:THREDEHYD-RXN;http://identifiers.org/metanetx.reaction:MNXR104714	MNXR104714	rxn00737	R00996	TAL;THRD_L;THRD_Lm	THREDEHYD-RXN	|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	true	80	0	1	1	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN RXN-15122
rxn00926_c0	Adenine aminohydrolase	2.27034168522607e-27	rxn00926_Shan	"cpd00001[c0],cpd00067[c0],cpd00128[c0],cpd00013[c0],cpd00226[c0]"	"H2O[c0],H+[c0],Adenine[c0],NH3[c0],HYXN[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn00926	Adenine aminohydrolase	FALSE	0	1000	rxn00926_c0	contig_1_683635:685398	ADENINE-DEAMINASE-RXN	adenine deaminase	3.5.4.2	UniRef90_A0RZ37	49.493	0	591	97	contig_1	683635	685398	|PWY-6610|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.5.4.2;http://identifiers.org/seed.reaction:rxn00926;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00926;http://identifiers.org/kegg.reaction:R01244;http://identifiers.org/bigg.reaction:ADD;http://identifiers.org/biocyc:META:ADENINE-DEAMINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR95443	MNXR95443	rxn00926	R01244	ADD	ADENINE-DEAMINASE-RXN	|PWY-6610|	adenine salvage	false	33	0	1	1	ADENINE-DEAMINASE-RXN
rxn05466_c0	TRANS-RXN-173.ce	1.21331299632045	rxn05466_Shan	"cpd00013[e0],cpd00013[c0]"	"NH3[e0],NH3[c0]"	"-1,1"	"2,1"	rxn05466	TRANS-RXN-173.ce	TRUE	-1000	1000	rxn05466_c0	contig_1_459917:458427	gnl|TC-DB|O67997|1.A.11.1.4	transport-1.A.11.1.4-ammonia	NA	gnl|TC-DB|O67997|1.A.11.1.4	44.444	8.13e-87	285	90	contig_1	459785	458445	NA	good_blast	NA	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/SBO:0000185;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/bigg.reaction:NH4t;http://identifiers.org/bigg.reaction:NH4tex;http://identifiers.org/bigg.reaction:NH4ti;http://identifiers.org/bigg.reaction:NH4tm;http://identifiers.org/bigg.reaction:NH4tn;http://identifiers.org/bigg.reaction:NH4tp;http://identifiers.org/bigg.reaction:NH4tpp;http://identifiers.org/biocyc:META:RXN-9615;http://identifiers.org/biocyc:META:TRANS-RXN0-206;http://identifiers.org/biocyc:META:TRANS-RXN0-544;http://identifiers.org/metanetx.reaction:MNXR101950	MNXR101950	rxn05466	NA	NH4t;NH4tex;NH4ti;NH4tm;NH4tn;NH4tp;NH4tpp	RXN-9615;TRANS-RXN0-206;TRANS-RXN0-544	NA
rxn16233_c0	4-hydroxyphenylpyruvate:5-amino-6-(D-ribitylamino)uracil 4-hydroxybenzyltransferase	0.000165863166234145	rxn16233_Shan	"cpd00001[c0],cpd00017[c0],cpd00868[c0],cpd02882[c0],cpd00013[c0],cpd00060[c0],cpd00067[c0],cpd00180[c0],cpd03091[c0],cpd15839[c0]"	"H2O[c0],S-Adenosyl-L-methionine[c0],p-hydroxyphenylpyruvate[c0],4--1-D-Ribitylamino-5-aminouracil[c0],NH3[c0],L-Methionine[c0],H+[c0],Oxalate[c0],5'-Deoxyadenosine[c0],7,8-didemethyl-8-hydroxy-5-deazariboflavin[c0]"	"-1,-2,-1,-1,1,2,2,1,2,1"	"1,1,1,1,1,1,1,1,1,1"	rxn16233	4-hydroxyphenylpyruvate:5-amino-6-(D-ribitylamino)uracil 4-hydroxybenzyltransferase	FALSE	0	1000	rxn16233_c0	((contig_1_1327319:1326786) & (contig_1_1091151:1092233 | contig_1_1092791:1093471 | contig_1_982743:983477))	RXN-19229	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-methylphenol transferase	2.5.1.147/2.5.1.77/4.3.1.32	UniRef50_A0A0C5CCG2	56.077	7.27e-144	447	96	contig_1	1091151	1092233	|PWY-5198|	good_blast	NA	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.147;http://identifiers.org/ec-code:2.5.1.77;http://identifiers.org/ec-code:4.3.1.32;http://identifiers.org/seed.reaction:rxn16233;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|PWY-5198|	factor 420 biosynthesis II (mycobacteria)	false	66	1	1	0	RXN-8078 RXN-19229 RXN-19230
