react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID
rxn00001_c0	diphosphate phosphohydrolase	FALSE	NA	NA	0	1000	0	x[1]	scaffold_1792_70011:70694	rxn00001	INORGPYROPHOSPHAT-RXN	diphosphate phosphatase	3.6.1.1	NA	UniRef90_Q9X015	36.975	5.69e-36	132	83	scaffold_1792	70011	70694	|PWY-7805|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.6.1.1;http://identifiers.org/seed.reaction:rxn00001;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00001;http://identifiers.org/kegg.reaction:R00004;http://identifiers.org/bigg.reaction:IDPh;http://identifiers.org/bigg.reaction:IDPm;http://identifiers.org/bigg.reaction:PPA;http://identifiers.org/bigg.reaction:PPA_1;http://identifiers.org/bigg.reaction:PPA_1pp;http://identifiers.org/bigg.reaction:PPAer;http://identifiers.org/bigg.reaction:PPAm;http://identifiers.org/bigg.reaction:PPAn;http://identifiers.org/bigg.reaction:r0009;http://identifiers.org/biocyc:META:INORGPYROPHOSPHAT-RXN;http://identifiers.org/metanetx.reaction:MNXR100808	MNXR100808	rxn00001	R00004	IDPh;IDPm;PPA;PPA_1;PPA_1pp;PPAer;PPAm;PPAn;r0009	INORGPYROPHOSPHAT-RXN
rxn00003_c0	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1] | x[2] | x[3] | x[4]))	((scaffold_1042_12226:10634 | scaffold_2996_9593:8010 | scaffold_527_25126:23756 | scaffold_880_6176:4554))	rxn00003	ACETOOHBUTSYN-RXN	2-aceto-2-hydroxy-butyrate synthase	2.2.1.6/4.1.3.18	NA	sp|P08142|ILVB_ECOLI	29.466	1.79e-69	240	95	scaffold_1042	12226	10634	|ILEUSYN-PWY|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.2.1.6;http://identifiers.org/ec-code:4.1.3.18;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00003;http://identifiers.org/kegg.reaction:R00006;http://identifiers.org/metanetx.reaction:MNXR106335	MNXR106335	rxn00003	R00006	NA	NA
rxn00004_c0	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	TRUE	NA	NA	-1000	1000	0			rxn00004	RXN-2464	4-hydroxy-4-methyl-2-oxoglutarate aldolase	4.1.3.17	NA	UniRef90_Q2SK70	27.684	0.36	27.7	92	scaffold_527	94299	94802	|GALLATE-DEGRADATION-II-PWY|	bad_blast	keyenzyme	NA	0	NA	9	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.3.17;http://identifiers.org/seed.reaction:rxn00004;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00004;http://identifiers.org/kegg.reaction:R00008;http://identifiers.org/biocyc:META:4.1.3.17-RXN;http://identifiers.org/metanetx.reaction:MNXR106336	MNXR106336	rxn00004	R00008	NA	4.1.3.17-RXN
rxn00006_c0	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	FALSE	NA	NA	0	1000	0	x[1]	scaffold_2684_9606:7774	rxn00006	CATAL-RXN	catalase	1.11.1.6/1.11.1.21	NA	UniRef90_A1BEI1	70.098	0	883	83	scaffold_2684	9606	7774	|DETOX1-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.11.1.6;http://identifiers.org/ec-code:1.11.1.21;http://identifiers.org/seed.reaction:rxn00006;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00006;http://identifiers.org/kegg.reaction:R00009;http://identifiers.org/bigg.reaction:CAT;http://identifiers.org/bigg.reaction:CATm;http://identifiers.org/bigg.reaction:CATp;http://identifiers.org/biocyc:META:CATAL-RXN;http://identifiers.org/metanetx.reaction:MNXR96455	MNXR96455	rxn00006	R00009	CAT;CATm;CATp	CATAL-RXN
rxn00010_c0	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	FALSE	NA	NA	0	1000	0	x[1] | x[2] | x[3] | x[4]	scaffold_1042_12226:10634 | scaffold_2996_9593:8010 | scaffold_527_25126:23756 | scaffold_880_6176:4554	rxn00010	GLYOCARBOLIG-RXN	glyoxylate carboligase	4.1.1.47	NA	UniRef90_P0AEP8	29.19	1.62e-45	170	88	scaffold_1042	12190	10700	|GLYCOLATEMET-PWY|	good_blast	keyenzyme	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.47;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00010;http://identifiers.org/kegg.reaction:R00013;http://identifiers.org/bigg.reaction:GLXCBL;http://identifiers.org/bigg.reaction:GLXCL;http://identifiers.org/biocyc:META:GLYOCARBOLIG-RXN;http://identifiers.org/metanetx.reaction:MNXR100303	MNXR100303	rxn00010	R00013	GLXCBL;GLXCL	GLYOCARBOLIG-RXN
rxn00011_c0	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	TRUE	NA	NA	-1000	0	0	((x[1] | x[2] | x[3] | x[4] | x[5] | x[6]) & (x[7]))	((scaffold_1042_12226:10634 | scaffold_2716_46947:47900 | scaffold_2996_9593:8010 | scaffold_527_25126:23756 | scaffold_7043_28499:29440 | scaffold_880_6176:4554) & (scaffold_7043_29449:30420))	rxn00011	R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	1.2.4.1	NA	UniRef90_O66113	43.692	5.74e-79	265	70	scaffold_7043	29449	30420	map00010	good_blast	NA	Subunit 2	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.2.4.1;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00011;http://identifiers.org/kegg.reaction:R00014;http://identifiers.org/bigg.reaction:PDHam1hi;http://identifiers.org/bigg.reaction:PDHam1mi;http://identifiers.org/biocyc:META:RXN-12583;http://identifiers.org/metanetx.reaction:MNXR102428	MNXR102428	rxn00011	R00014	PDHam1hi;PDHam1mi	RXN-12583
rxn00019_c0	2-Nitropropane:oxygen 2-oxidoreductase	FALSE	NA	NA	0	1000	0	x[1] | x[2]	scaffold_2684_24231:25262 | scaffold_585_26488:25739	rxn00019	2-NITROPROPANE-DIOXYGENASE-RXN	ethylnitronate monooxygenase	1.13.12.16/1.13.11.32	NA	UniRef50_A0A0E4GXI0	53.36	1.7e-52	180	90	scaffold_585	26488	25739	|PWY-723|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.13.12.16;http://identifiers.org/ec-code:1.13.11.32;http://identifiers.org/seed.reaction:rxn00019;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
rxn00022_c0	maltose glucohydrolase	FALSE	NA	NA	0	1000	0	x[1]	scaffold_2684_50707:52176	rxn00022	RXN0-5183	maltotriose glucosidase	3.2.1.20	NA	UniRef90_P43473	31.927	1.56e-82	278	93	scaffold_2684	50707	52176	|GLYCOCAT-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:3.2.1.20;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00022;http://identifiers.org/kegg.reaction:R00028;http://identifiers.org/bigg.reaction:MALT;http://identifiers.org/bigg.reaction:MALTe;http://identifiers.org/bigg.reaction:MALTly;http://identifiers.org/biocyc:META:RXN-15910;http://identifiers.org/metanetx.reaction:MNXR101350	MNXR101350	rxn00022	R00028	MALT;MALTe;MALTly	RXN-15910
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	NA	NA	0	1000	0	x[1]	scaffold_8411_1715:846	rxn00029	PORPHOBILSYNTH-RXN	porphobilinogen synthase	4.2.1.24	NA	UniRef90_O67876	51.034	6.93e-93	299	87	scaffold_8411	1715	846	|PWY-5188|	good_blast	threshold	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.24;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN
rxn00032_c0	Choline:oxygen 1-oxidoreductase	FALSE	NA	NA	0	1000	0	x[1]	scaffold_1756_46904:45291	rxn00032	CHOLINE-OXIDASEII-RXN	Betaine aldehyde oxidase	1.1.3.17	NA	UniRef90_Q7X2H8	36.396	3.49e-77	262	95	scaffold_1756	46904	45291	|PWY-3721|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.3.17;http://identifiers.org/seed.reaction:rxn00032;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA
